true	pred	chrom	distance	enhancer_name	promoter_name
1	0.8988	chr14	46049	GM12878|chr14:77379596-77380268	GM12878|chr14:77425980-77425981
1	0.9221	chr14	4771	GM12878|chr14:74211591-74211867	GM12878|chr14:74206957-74206958
1	0.1469	chr14	141845	GM12878|chr14:74211591-74211867	GM12878|chr14:74353573-74353574
1	0.1469	chr14	141779	GM12878|chr14:74211591-74211867	GM12878|chr14:74353507-74353508
1	0.1468	chr14	141708	GM12878|chr14:74211591-74211867	GM12878|chr14:74353436-74353437
1	0.9218	chr14	3561	GM12878|chr14:74210204-74210835	GM12878|chr14:74206957-74206958
1	0.9422	chr14	16481	GM12878|chr14:74210204-74210835	GM12878|chr14:74227000-74227001
1	0.9548	chr18	49068	GM12878|chr18:61603792-61604213	GM12878|chr18:61554933-61554934
1	0.9523	chr18	49463	GM12878|chr18:61604240-61604555	GM12878|chr18:61554933-61554934
1	0.7971	chr14	12510	GM12878|chr14:74219232-74219704	GM12878|chr14:74206957-74206958
1	0.9652	chr18	48625	GM12878|chr18:61603360-61603759	GM12878|chr18:61554933-61554934
1	0.8862	chr16	110687	GM12878|chr16:84540574-84541417	GM12878|chr16:84651682-84651683
1	0.5001	chr18	158516	GM12878|chr18:60822480-60823118	GM12878|chr18:60981314-60981315
1	0.7882	chr16	18538	GM12878|chr16:81850344-81850874	GM12878|chr16:81832070-81832071
1	0.5032	chr18	157876	GM12878|chr18:60823243-60823634	GM12878|chr18:60981314-60981315
1	0.7907	chr16	19046	GM12878|chr16:81850879-81851355	GM12878|chr16:81832070-81832071
1	0.3506	chr16	134417	GM12878|chr16:81907471-81907825	GM12878|chr16:81773230-81773231
1	0.3487	chr16	134740	GM12878|chr16:81907471-81907825	GM12878|chr16:81772907-81772908
1	0.3487	chr16	134946	GM12878|chr16:81907471-81907825	GM12878|chr16:81772701-81772702
1	0.4484	chr16	75577	GM12878|chr16:81907471-81907825	GM12878|chr16:81832070-81832071
1	0.6933	chr16	106573	GM12878|chr16:84544669-84545551	GM12878|chr16:84651682-84651683
1	0.6213	chr16	109290	GM12878|chr16:84542234-84542552	GM12878|chr16:84651682-84651683
1	0.806	chr16	109506	GM12878|chr16:84542121-84542232	GM12878|chr16:84651682-84651683
1	0.9203	chr16	31983	GM12878|chr16:81037321-81037616	GM12878|chr16:81069451-81069452
1	0.9341	chr16	31731	GM12878|chr16:81037696-81037746	GM12878|chr16:81069451-81069452
1	0.9341	chr16	31585	GM12878|chr16:81037748-81037986	GM12878|chr16:81069451-81069452
1	0.6922	chr18	157410	GM12878|chr18:60823713-60824097	GM12878|chr18:60981314-60981315
1	0.6902	chr18	157025	GM12878|chr18:60824113-60824466	GM12878|chr18:60981314-60981315
1	0.9203	chr16	32362	GM12878|chr16:81036923-81037256	GM12878|chr16:81069451-81069452
1	0.7608	chr18	156397	GM12878|chr18:60824588-60825247	GM12878|chr18:60981314-60981315
1	0.9144	chr16	11272	GM12878|chr16:81843172-81843514	GM12878|chr16:81832070-81832071
1	0.762	chr16	16377	GM12878|chr16:81848268-81848629	GM12878|chr16:81832070-81832071
1	0.7839	chr16	17200	GM12878|chr16:81849125-81849418	GM12878|chr16:81832070-81832071
1	0.886	chr16	10639	GM12878|chr16:81842467-81842954	GM12878|chr16:81832070-81832071
1	0.9515	chr16	9091	GM12878|chr16:81763876-81764403	GM12878|chr16:81773230-81773231
1	0.952	chr16	8768	GM12878|chr16:81763876-81764403	GM12878|chr16:81772907-81772908
1	0.9479	chr16	8562	GM12878|chr16:81763876-81764403	GM12878|chr16:81772701-81772702
1	0.8473	chr16	23713	GM12878|chr16:81749072-81749963	GM12878|chr16:81773230-81773231
1	0.855	chr16	23390	GM12878|chr16:81749072-81749963	GM12878|chr16:81772907-81772908
1	0.855	chr16	23184	GM12878|chr16:81749072-81749963	GM12878|chr16:81772701-81772702
1	0.9664	chr16	22091	GM12878|chr16:75520438-75520936	GM12878|chr16:75498595-75498596
1	0.9664	chr16	22052	GM12878|chr16:75520438-75520936	GM12878|chr16:75498634-75498635
1	0.9664	chr16	22100	GM12878|chr16:75520438-75520936	GM12878|chr16:75498586-75498587
1	0.4021	chr20	146320	GM12878|chr20:62485463-62485987	GM12878|chr20:62339404-62339405
1	0.4021	chr20	146311	GM12878|chr20:62485463-62485987	GM12878|chr20:62339413-62339414
1	0.4021	chr20	146287	GM12878|chr20:62485463-62485987	GM12878|chr20:62339437-62339438
1	0.4021	chr20	146283	GM12878|chr20:62485463-62485987	GM12878|chr20:62339441-62339442
1	0.4397	chr20	145509	GM12878|chr20:62485463-62485987	GM12878|chr20:62340215-62340216
1	0.4021	chr20	146338	GM12878|chr20:62485463-62485987	GM12878|chr20:62339386-62339387
1	0.4021	chr20	146370	GM12878|chr20:62485463-62485987	GM12878|chr20:62339354-62339355
1	0.4021	chr20	146377	GM12878|chr20:62485463-62485987	GM12878|chr20:62339347-62339348
1	0.4247	chr20	146457	GM12878|chr20:62485463-62485987	GM12878|chr20:62339267-62339268
1	0.4247	chr20	146535	GM12878|chr20:62485463-62485987	GM12878|chr20:62339189-62339190
1	0.4247	chr20	146715	GM12878|chr20:62485463-62485987	GM12878|chr20:62339009-62339010
1	0.3695	chr20	146032	GM12878|chr20:62486140-62486625	GM12878|chr20:62340349-62340350
1	0.3695	chr20	146166	GM12878|chr20:62486140-62486625	GM12878|chr20:62340215-62340216
1	0.4011	chr20	146940	GM12878|chr20:62486140-62486625	GM12878|chr20:62339441-62339442
1	0.4011	chr20	146944	GM12878|chr20:62486140-62486625	GM12878|chr20:62339437-62339438
1	0.4011	chr20	146968	GM12878|chr20:62486140-62486625	GM12878|chr20:62339413-62339414
1	0.4011	chr20	146977	GM12878|chr20:62486140-62486625	GM12878|chr20:62339404-62339405
1	0.3707	chr20	145375	GM12878|chr20:62485463-62485987	GM12878|chr20:62340349-62340350
1	0.9295	chr14	11370	GM12878|chr14:74238245-74238498	GM12878|chr14:74227000-74227001
1	0.2353	chr14	116104	GM12878|chr14:74237214-74237726	GM12878|chr14:74353573-74353574
1	0.2174	chr14	116038	GM12878|chr14:74237214-74237726	GM12878|chr14:74353507-74353508
1	0.2197	chr14	115967	GM12878|chr14:74237214-74237726	GM12878|chr14:74353436-74353437
1	0.9332	chr14	11734	GM12878|chr14:74238499-74238971	GM12878|chr14:74227000-74227001
1	0.7901	chr14	31777	GM12878|chr14:74238499-74238971	GM12878|chr14:74206957-74206958
1	0.7436	chr14	2335	GM12878|chr14:74229185-74229488	GM12878|chr14:74227000-74227001
1	0.923	chr14	20313	GM12878|chr14:74247197-74247431	GM12878|chr14:74227000-74227001
1	0.6515	chr16	103048	GM12878|chr16:84548320-84548950	GM12878|chr16:84651682-84651683
1	0.9657	chr14	81088	GM12878|chr14:93500393-93500678	GM12878|chr14:93581623-93581624
1	0.9645	chr14	81680	GM12878|chr14:93500393-93500678	GM12878|chr14:93582215-93582216
1	0.9657	chr14	80708	GM12878|chr14:93500746-93501085	GM12878|chr14:93581623-93581624
1	0.9674	chr14	81300	GM12878|chr14:93500746-93501085	GM12878|chr14:93582215-93582216
1	0.8527	chr14	8929	GM12878|chr14:94433901-94434515	GM12878|chr14:94443136-94443137
1	0.9197	chr14	13753	GM12878|chr14:94428999-94429769	GM12878|chr14:94443136-94443137
1	0.9468	chr14	53026	GM12878|chr14:91830957-91831034	GM12878|chr14:91884021-91884022
1	0.9468	chr14	53125	GM12878|chr14:91830957-91831034	GM12878|chr14:91884120-91884121
1	0.9468	chr14	53192	GM12878|chr14:91830957-91831034	GM12878|chr14:91884187-91884188
1	0.9544	chr14	53563	GM12878|chr14:91830355-91830894	GM12878|chr14:91884187-91884188
1	0.9544	chr14	53496	GM12878|chr14:91830355-91830894	GM12878|chr14:91884120-91884121
1	0.9544	chr14	53397	GM12878|chr14:91830355-91830894	GM12878|chr14:91884021-91884022
1	0.8781	chr14	61933	GM12878|chr14:91821195-91823315	GM12878|chr14:91884187-91884188
1	0.8781	chr14	61866	GM12878|chr14:91821195-91823315	GM12878|chr14:91884120-91884121
1	0.8781	chr14	61767	GM12878|chr14:91821195-91823315	GM12878|chr14:91884021-91884022
1	0.874	chr14	50526	GM12878|chr14:91833397-91833927	GM12878|chr14:91884187-91884188
1	0.874	chr14	50459	GM12878|chr14:91833397-91833927	GM12878|chr14:91884120-91884121
1	0.874	chr14	50360	GM12878|chr14:91833397-91833927	GM12878|chr14:91884021-91884022
1	0.9383	chr12	101421	GM12878|chr12:26884174-26884412	GM12878|chr12:26985713-26985714
1	0.9383	chr12	101426	GM12878|chr12:26884174-26884412	GM12878|chr12:26985718-26985719
1	0.9322	chr12	101838	GM12878|chr12:26884174-26884412	GM12878|chr12:26986130-26986131
1	0.828	chr14	68186	GM12878|chr14:91815837-91816167	GM12878|chr14:91884187-91884188
1	0.828	chr14	68119	GM12878|chr14:91815837-91816167	GM12878|chr14:91884120-91884121
1	0.828	chr14	68020	GM12878|chr14:91815837-91816167	GM12878|chr14:91884021-91884022
1	0.3439	chr16	86116	GM12878|chr16:86021973-86022850	GM12878|chr16:85936294-85936295
1	0.7504	chr16	52582	GM12878|chr16:86021973-86022850	GM12878|chr16:85969828-85969829
1	0.3439	chr16	85967	GM12878|chr16:86021973-86022850	GM12878|chr16:85936443-85936444
1	0.9241	chr16	11723	GM12878|chr16:85981357-85981747	GM12878|chr16:85969828-85969829
1	0.9241	chr16	12144	GM12878|chr16:85981772-85982174	GM12878|chr16:85969828-85969829
1	0.6628	chr16	51024	GM12878|chr16:86020253-86021454	GM12878|chr16:85969828-85969829
1	0.321	chr16	84409	GM12878|chr16:86020253-86021454	GM12878|chr16:85936443-85936444
1	0.321	chr16	84558	GM12878|chr16:86020253-86021454	GM12878|chr16:85936294-85936295
1	0.9334	chr16	39554	GM12878|chr16:88811988-88812142	GM12878|chr16:88851618-88851619
1	0.5658	chr16	104009	GM12878|chr16:88747378-88747842	GM12878|chr16:88851618-88851619
1	0.5614	chr16	103278	GM12878|chr16:88748152-88748529	GM12878|chr16:88851618-88851619
1	0.9277	chr16	18156	GM12878|chr16:88747378-88747842	GM12878|chr16:88729453-88729454
1	0.9304	chr16	18092	GM12878|chr16:88747378-88747842	GM12878|chr16:88729517-88729518
1	0.9304	chr16	18041	GM12878|chr16:88747378-88747842	GM12878|chr16:88729568-88729569
1	0.9304	chr16	17833	GM12878|chr16:88747378-88747842	GM12878|chr16:88729776-88729777
