true	pred	chrom	distance	enhancer_name	promoter_name
1	0.9857035173444014	chr17	100747.0	NHEK|chr17:17841633-17842085	NHEK|chr17:17942605-17942606
1	0.9907796691672957	chr17	100664.0	NHEK|chr17:17841633-17842085	NHEK|chr17:17942522-17942523
1	0.9907796691672957	chr17	100623.0	NHEK|chr17:17841633-17842085	NHEK|chr17:17942481-17942482
1	0.995694249888251	chr2	137847.5	NHEK|chr2:114651929-114652306	NHEK|chr2:114514269-114514270
1	0.9957251382741632	chr2	137717.5	NHEK|chr2:114651929-114652306	NHEK|chr2:114514399-114514400
1	0.9928148933468296	chr2	136236.5	NHEK|chr2:114650379-114650634	NHEK|chr2:114514269-114514270
1	0.992817490048754	chr2	136106.5	NHEK|chr2:114650379-114650634	NHEK|chr2:114514399-114514400
1	0.9897940416585114	chr17	103416.5	NHEK|chr17:17838900-17839479	NHEK|chr17:17942605-17942606
1	0.9933891070153424	chr17	103333.5	NHEK|chr17:17838900-17839479	NHEK|chr17:17942522-17942523
1	0.9933891070153424	chr17	103292.5	NHEK|chr17:17838900-17839479	NHEK|chr17:17942481-17942482
1	0.9703941152073815	chr17	99088.5	NHEK|chr17:17843394-17843475	NHEK|chr17:17942522-17942523
1	0.9703941152073815	chr17	99047.5	NHEK|chr17:17843394-17843475	NHEK|chr17:17942481-17942482
1	0.9930402546878543	chr17	100378.5	NHEK|chr17:17842088-17842367	NHEK|chr17:17942605-17942606
1	0.9956200077082594	chr17	100295.5	NHEK|chr17:17842088-17842367	NHEK|chr17:17942522-17942523
1	0.9956200077082594	chr17	100254.5	NHEK|chr17:17842088-17842367	NHEK|chr17:17942481-17942482
1	0.9664463221753871	chr13	131977.5	NHEK|chr13:42490672-42491151	NHEK|chr13:42622888-42622889
1	0.9815606276361111	chr2	196129.5	NHEK|chr2:27860703-27862086	NHEK|chr2:27665264-27665265
1	0.9815606276361111	chr2	196146.5	NHEK|chr2:27860703-27862086	NHEK|chr2:27665247-27665248
1	0.991516901329701	chr2	209887.5	NHEK|chr2:27860703-27862086	NHEK|chr2:27651506-27651507
1	0.996007795947365	chr2	210737.5	NHEK|chr2:27860703-27862086	NHEK|chr2:27650656-27650657
1	0.7089855551626814	chr9	551960.5	NHEK|chr9:99622049-99622494	NHEK|chr9:100174231-100174232
1	0.715984142220176	chr9	552104.5	NHEK|chr9:99622049-99622494	NHEK|chr9:100174375-100174376
1	0.958129411784183	chr2	194562.5	NHEK|chr2:27859676-27859979	NHEK|chr2:27665264-27665265
1	0.8009131838524904	chr13	133477.0	NHEK|chr13:42489259-42489565	NHEK|chr13:42622888-42622889
1	0.958129411784183	chr2	194579.5	NHEK|chr2:27859676-27859979	NHEK|chr2:27665247-27665248
1	0.9743172437711308	chr2	208320.5	NHEK|chr2:27859676-27859979	NHEK|chr2:27651506-27651507
1	0.9926835705215798	chr2	209170.5	NHEK|chr2:27859676-27859979	NHEK|chr2:27650656-27650657
1	0.3035564175078007	chr9	554840.0	NHEK|chr9:99619169-99619615	NHEK|chr9:100174231-100174232
1	0.31082747812330913	chr9	554984.0	NHEK|chr9:99619169-99619615	NHEK|chr9:100174375-100174376
1	0.31194144466053214	chr9	553741.5	NHEK|chr9:99620200-99620781	NHEK|chr9:100174231-100174232
1	0.31932126275087946	chr9	553885.5	NHEK|chr9:99620200-99620781	NHEK|chr9:100174375-100174376
1	0.966644882215897	chr17	99171.5	NHEK|chr17:17843394-17843475	NHEK|chr17:17942605-17942606
1	0.9511604804928178	chr17	390001.5	NHEK|chr17:19655799-19655914	NHEK|chr17:19265854-19265855
1	0.9808326300869115	chr2	104869.5	NHEK|chr2:26572513-26572886	NHEK|chr2:26467829-26467830
1	0.9808326300869115	chr2	104882.5	NHEK|chr2:26572513-26572886	NHEK|chr2:26467816-26467817
1	0.9808326300869115	chr2	104936.5	NHEK|chr2:26572513-26572886	NHEK|chr2:26467762-26467763
1	0.9844921350513766	chr2	105105.5	NHEK|chr2:26572513-26572886	NHEK|chr2:26467593-26467594
