true	pred	chrom	distance	enhancer_name	promoter_name
1	0.9112	chr16	36769	IMR90|chr16:676807-676886	IMR90|chr16:640076-640077
1	0.3878	chr12	244193	IMR90|chr12:109199009-109199251	IMR90|chr12:108954936-108954937
1	0.3864	chr12	243965	IMR90|chr12:109199009-109199251	IMR90|chr12:108955164-108955165
1	0.3236	chr12	242753	IMR90|chr12:109199009-109199251	IMR90|chr12:108956376-108956377
1	0.3236	chr12	242748	IMR90|chr12:109199009-109199251	IMR90|chr12:108956381-108956382
1	0.8939	chr18	89237	IMR90|chr18:8794413-8795379	IMR90|chr18:8705658-8705659
1	0.1228	chr12	289878	IMR90|chr12:109244624-109245007	IMR90|chr12:108954936-108954937
1	0.1194	chr12	289650	IMR90|chr12:109244624-109245007	IMR90|chr12:108955164-108955165
1	0.5184	chr12	288438	IMR90|chr12:109244624-109245007	IMR90|chr12:108956376-108956377
1	0.5184	chr12	288433	IMR90|chr12:109244624-109245007	IMR90|chr12:108956381-108956382
1	0.1472	chr12	291664	IMR90|chr12:109247845-109248248	IMR90|chr12:108956381-108956382
1	0.604	chr12	242450	IMR90|chr12:109197143-109197632	IMR90|chr12:108954936-108954937
1	0.6136	chr12	241010	IMR90|chr12:109197143-109197632	IMR90|chr12:108956376-108956377
1	0.6136	chr12	241005	IMR90|chr12:109197143-109197632	IMR90|chr12:108956381-108956382
1	0.4096	chr12	241723	IMR90|chr12:109196533-109196787	IMR90|chr12:108954936-108954937
1	0.3891	chr12	241495	IMR90|chr12:109196533-109196787	IMR90|chr12:108955164-108955165
1	0.6	chr12	240283	IMR90|chr12:109196533-109196787	IMR90|chr12:108956376-108956377
1	0.6	chr12	240278	IMR90|chr12:109196533-109196787	IMR90|chr12:108956381-108956382
1	0.3979	chr12	241249	IMR90|chr12:109195962-109196410	IMR90|chr12:108954936-108954937
1	0.5833	chr12	242222	IMR90|chr12:109197143-109197632	IMR90|chr12:108955164-108955165
1	0.9241	chr12	34539	IMR90|chr12:8123036-8123785	IMR90|chr12:8088870-8088871
1	0.6432	chr12	243526	IMR90|chr12:109198115-109198812	IMR90|chr12:108954936-108954937
1	0.6296	chr12	243298	IMR90|chr12:109198115-109198812	IMR90|chr12:108955164-108955165
1	0.3818	chr12	242086	IMR90|chr12:109198115-109198812	IMR90|chr12:108956376-108956377
1	0.3818	chr12	242081	IMR90|chr12:109198115-109198812	IMR90|chr12:108956381-108956382
1	0.1472	chr12	291669	IMR90|chr12:109247845-109248248	IMR90|chr12:108956376-108956377
1	0.2804	chr18	104172	IMR90|chr18:33604986-33605358	IMR90|chr18:33709343-33709344
1	0.2804	chr18	104109	IMR90|chr18:33604986-33605358	IMR90|chr18:33709280-33709281
1	0.2162	chr18	104662	IMR90|chr18:33604986-33605358	IMR90|chr18:33709833-33709834
1	0.2162	chr18	104682	IMR90|chr18:33604986-33605358	IMR90|chr18:33709853-33709854
1	0.0223	chr18	96906	IMR90|chr18:33604986-33605358	IMR90|chr18:33702077-33702078
1	0.2162	chr18	104689	IMR90|chr18:33604986-33605358	IMR90|chr18:33709860-33709861
1	0.3086	chr12	292881	IMR90|chr12:109247845-109248248	IMR90|chr12:108955164-108955165
1	0.0729	chr18	551396	IMR90|chr18:9974307-9974963	IMR90|chr18:10526030-10526031
1	0.3263	chr12	293512	IMR90|chr12:109248283-109248615	IMR90|chr12:108954936-108954937
1	0.3086	chr12	293284	IMR90|chr12:109248283-109248615	IMR90|chr12:108955164-108955165
1	0.1472	chr12	292072	IMR90|chr12:109248283-109248615	IMR90|chr12:108956376-108956377
1	0.1472	chr12	292067	IMR90|chr12:109248283-109248615	IMR90|chr12:108956381-108956382
1	0.5585	chr18	277181	IMR90|chr18:8982445-8983236	IMR90|chr18:8705658-8705659
1	0.3734	chr12	293109	IMR90|chr12:109247845-109248248	IMR90|chr12:108954936-108954937
1	0.9817	chr12	67898	IMR90|chr12:104612685-104612973	IMR90|chr12:104680726-104680727
1	0.9817	chr12	67874	IMR90|chr12:104612685-104612973	IMR90|chr12:104680702-104680703
1	0.9817	chr12	67830	IMR90|chr12:104612685-104612973	IMR90|chr12:104680658-104680659
1	0.9815	chr12	67631	IMR90|chr12:104612685-104612973	IMR90|chr12:104680459-104680460
1	0.9789	chr12	66951	IMR90|chr12:104612685-104612973	IMR90|chr12:104679779-104679780
1	0.9366	chr12	61671	IMR90|chr12:104612685-104612973	IMR90|chr12:104674499-104674500
1	0.979	chr16	288696	IMR90|chr16:86253381-86254159	IMR90|chr16:86542465-86542466
1	0.979	chr16	288712	IMR90|chr16:86253381-86254159	IMR90|chr16:86542481-86542482
1	0.979	chr16	288713	IMR90|chr16:86253381-86254159	IMR90|chr16:86542482-86542483
1	0.9789	chr16	288935	IMR90|chr16:86253381-86254159	IMR90|chr16:86542704-86542705
1	0.9684	chr16	290363	IMR90|chr16:86253381-86254159	IMR90|chr16:86544132-86544133
1	0.9817	chr12	68006	IMR90|chr12:104612685-104612973	IMR90|chr12:104680834-104680835
1	0.0085	chr12	401247	IMR90|chr12:6178496-6179315	IMR90|chr12:6580152-6580153
1	0.9805	chr12	67214	IMR90|chr12:104612980-104614261	IMR90|chr12:104680834-104680835
1	0.9805	chr12	67106	IMR90|chr12:104612980-104614261	IMR90|chr12:104680726-104680727
