label,enhancer_distance_to_promoter,enhancer_chrom,enhancer_start,enhancer_end,enhancer_name,promoter_chrom,promoter_start,promoter_end,promoter_name
1,92874.5,chr9,613609,614420,HMEC|chr9:613609-614420,chr9,705389,707389,HMEC|chr9:706888-706889
1,35040.5,chr12,120668218,120668781,HMEC|chr12:120668218-120668781,chr12,120703040,120705040,HMEC|chr12:120703539-120703540
1,72706.5,chr19,38470286,38470863,HMEC|chr19:38470286-38470863,chr19,38396368,38398368,HMEC|chr19:38397867-38397868
1,53819.0,chr3,119866015,119866649,HMEC|chr3:119866015-119866649,chr3,119812013,119814013,HMEC|chr3:119812512-119812513
1,53068.0,chr3,119866015,119866649,HMEC|chr3:119866015-119866649,chr3,119812764,119814764,HMEC|chr3:119813263-119813264
1,52147.5,chr3,119864155,119865166,HMEC|chr3:119864155-119865166,chr3,119812013,119814013,HMEC|chr3:119812512-119812513
1,51396.5,chr3,119864155,119865166,HMEC|chr3:119864155-119865166,chr3,119812764,119814764,HMEC|chr3:119813263-119813264
1,45368.0,chr22,38744067,38744697,HMEC|chr22:38744067-38744697,chr22,38698514,38700514,HMEC|chr22:38699013-38699014
1,47614.0,chr22,38744067,38744697,HMEC|chr22:38744067-38744697,chr22,38696268,38698268,HMEC|chr22:38696767-38696768
1,48352.0,chr22,38744067,38744697,HMEC|chr22:38744067-38744697,chr22,38695530,38697530,HMEC|chr22:38696029-38696030
1,53849.0,chr22,38744067,38744697,HMEC|chr22:38744067-38744697,chr22,38690033,38692033,HMEC|chr22:38690532-38690533
1,67239.0,chr4,119266913,119267293,HMEC|chr4:119266913-119267293,chr4,119198364,119200364,HMEC|chr4:119199863-119199864
1,67193.0,chr4,119266913,119267293,HMEC|chr4:119266913-119267293,chr4,119198410,119200410,HMEC|chr4:119199909-119199910
1,67190.0,chr4,119266913,119267293,HMEC|chr4:119266913-119267293,chr4,119198413,119200413,HMEC|chr4:119199912-119199913
1,66888.0,chr4,119266913,119267293,HMEC|chr4:119266913-119267293,chr4,119198715,119200715,HMEC|chr4:119200214-119200215
1,66264.5,chr4,119265962,119266295,HMEC|chr4:119265962-119266295,chr4,119198364,119200364,HMEC|chr4:119199863-119199864
1,66218.5,chr4,119265962,119266295,HMEC|chr4:119265962-119266295,chr4,119198410,119200410,HMEC|chr4:119199909-119199910
1,66215.5,chr4,119265962,119266295,HMEC|chr4:119265962-119266295,chr4,119198413,119200413,HMEC|chr4:119199912-119199913
1,65913.5,chr4,119265962,119266295,HMEC|chr4:119265962-119266295,chr4,119198715,119200715,HMEC|chr4:119200214-119200215
1,496506.5,chr8,118627166,118628005,HMEC|chr8:118627166-118628005,chr8,119123592,119125592,HMEC|chr8:119124091-119124092
1,495995.5,chr8,118627166,118628005,HMEC|chr8:118627166-118628005,chr8,119123081,119125081,HMEC|chr8:119123580-119123581
1,495067.5,chr8,118627166,118628005,HMEC|chr8:118627166-118628005,chr8,119122153,119124153,HMEC|chr8:119122652-119122653
1,501184.5,chr8,118622670,118623145,HMEC|chr8:118622670-118623145,chr8,119123592,119125592,HMEC|chr8:119124091-119124092
1,500673.5,chr8,118622670,118623145,HMEC|chr8:118622670-118623145,chr8,119123081,119125081,HMEC|chr8:119123580-119123581
1,499745.5,chr8,118622670,118623145,HMEC|chr8:118622670-118623145,chr8,119122153,119124153,HMEC|chr8:119122652-119122653
1,74744.0,chr19,39034535,39035447,HMEC|chr19:39034535-39035447,chr19,39108235,39110235,HMEC|chr19:39109734-39109735
1,74746.0,chr19,39034535,39035447,HMEC|chr19:39034535-39035447,chr19,39108237,39110237,HMEC|chr19:39109736-39109737
1,318840.5,chr4,119903039,119903432,HMEC|chr4:119903039-119903432,chr4,120221576,120223576,HMEC|chr4:120222075-120222076
1,322364.5,chr4,119903039,119903432,HMEC|chr4:119903039-119903432,chr4,120225100,120227100,HMEC|chr4:120225599-120225600
1,312766.0,chr4,119909220,119909400,HMEC|chr4:119909220-119909400,chr4,120221576,120223576,HMEC|chr4:120222075-120222076
1,36071.5,chr12,120667359,120667624,HMEC|chr12:120667359-120667624,chr12,120703063,120705063,HMEC|chr12:120703562-120703563
1,99220.0,chr22,37724149,37724421,HMEC|chr22:37724149-37724421,chr22,37823005,37825005,HMEC|chr22:37823504-37823505
1,98153.0,chr22,37725180,37725524,HMEC|chr22:37725180-37725524,chr22,37823005,37825005,HMEC|chr22:37823504-37823505
1,35726.0,chr12,120667653,120668043,HMEC|chr12:120667653-120668043,chr12,120703074,120705074,HMEC|chr12:120703573-120703574
