label,enhancer_distance_to_promoter,enhancer_chrom,enhancer_start,enhancer_end,enhancer_name,promoter_chrom,promoter_start,promoter_end,promoter_name
1,75423.0,chr16,154577,155481,K562|chr16:154577-155481,chr16,228952,230952,K562|chr16:230451-230452
1,105873.5,chr5,148824934,148825239,K562|chr5:148824934-148825239,chr5,148930460,148932460,K562|chr5:148930959-148930960
1,268205.0,chr19,19486134,19486314,K562|chr19:19486134-19486314,chr19,19753929,19755929,K562|chr19:19754428-19754429
1,268252.0,chr19,19486134,19486314,K562|chr19:19486134-19486314,chr19,19753976,19755976,K562|chr19:19754475-19754476
1,280169.0,chr19,19486134,19486314,K562|chr19:19486134-19486314,chr19,19765893,19767893,K562|chr19:19766392-19766393
1,286701.0,chr19,19486134,19486314,K562|chr19:19486134-19486314,chr19,19772425,19774425,K562|chr19:19772924-19772925
1,287817.0,chr19,19486134,19486314,K562|chr19:19486134-19486314,chr19,19773541,19775541,K562|chr19:19774040-19774041
1,288278.0,chr19,19486134,19486314,K562|chr19:19486134-19486314,chr19,19774002,19776002,K562|chr19:19774501-19774502
1,929051.0,chr16,31888595,31889211,K562|chr16:31888595-31889211,chr16,30958352,30960352,K562|chr16:30959851-30959852
1,928516.0,chr16,31888595,31889211,K562|chr16:31888595-31889211,chr16,30958887,30960887,K562|chr16:30960386-30960387
1,920288.0,chr16,31888595,31889211,K562|chr16:31888595-31889211,chr16,30967115,30969115,K562|chr16:30968614-30968615
1,919826.0,chr16,31888595,31889211,K562|chr16:31888595-31889211,chr16,30967577,30969577,K562|chr16:30969076-30969077
1,120172.0,chr3,182434602,182434864,K562|chr3:182434602-182434864,chr3,182553405,182555405,K562|chr3:182554904-182554905
1,130190.5,chr1,1839957,1840882,K562|chr1:1839957-1840882,chr1,1709729,1711729,K562|chr1:1710228-1710229
1,130510.5,chr1,1839957,1840882,K562|chr1:1839957-1840882,chr1,1709409,1711409,K562|chr1:1709908-1709909
1,130561.5,chr1,1839957,1840882,K562|chr1:1839957-1840882,chr1,1709358,1711358,K562|chr1:1709857-1709858
1,116728.0,chr3,182434602,182434864,K562|chr3:182434602-182434864,chr3,182549961,182551961,K562|chr3:182551460-182551461
1,418193.0,chr10,75408286,75408562,K562|chr10:75408286-75408562,chr10,74988731,74990731,K562|chr10:74990230-74990231
1,495557.5,chr12,109034664,109035409,K562|chr12:109034664-109035409,chr12,109530094,109532094,K562|chr12:109530593-109530594
1,496227.5,chr12,109034664,109035409,K562|chr12:109034664-109035409,chr12,109530764,109532764,K562|chr12:109531263-109531264
1,496237.5,chr12,109034664,109035409,K562|chr12:109034664-109035409,chr12,109530774,109532774,K562|chr12:109531273-109531274
1,496240.5,chr12,109034664,109035409,K562|chr12:109034664-109035409,chr12,109530777,109532777,K562|chr12:109531276-109531277
1,500342.5,chr12,109034664,109035409,K562|chr12:109034664-109035409,chr12,109533879,109535879,K562|chr12:109535378-109535379
1,500886.5,chr12,109034664,109035409,K562|chr12:109034664-109035409,chr12,109534423,109536423,K562|chr12:109535922-109535923
1,500919.5,chr12,109034664,109035409,K562|chr12:109034664-109035409,chr12,109534456,109536456,K562|chr12:109535955-109535956
1,484864.0,chr1,45750705,45750817,K562|chr1:45750705-45750817,chr1,45264397,45266397,K562|chr1:45265896-45265897
1,484701.0,chr1,45750705,45750817,K562|chr1:45750705-45750817,chr1,45264560,45266560,K562|chr1:45266059-45266060
1,268186.0,chr19,19486134,19486314,K562|chr19:19486134-19486314,chr19,19753910,19755910,K562|chr19:19754409-19754410
1,268183.0,chr19,19486134,19486314,K562|chr19:19486134-19486314,chr19,19753907,19755907,K562|chr19:19754406-19754407
1,417771.5,chr1,150536573,150536870,K562|chr1:150536573-150536870,chr1,150952993,150954993,K562|chr1:150954492-150954493
1,577246.0,chr12,108958445,108958909,K562|chr12:108958445-108958909,chr12,109534423,109536423,K562|chr12:109535922-109535923
1,533319.0,chr6,107306775,107307195,K562|chr6:107306775-107307195,chr6,106773166,106775166,K562|chr6:106773665-106773666
1,119815.5,chr3,182434874,182435305,K562|chr3:182434874-182435305,chr3,182553405,182555405,K562|chr3:182554904-182554905
1,116371.5,chr3,182434874,182435305,K562|chr3:182434874-182435305,chr3,182549961,182551961,K562|chr3:182551460-182551461
1,571917.0,chr12,108958445,108958909,K562|chr12:108958445-108958909,chr12,109530094,109532094,K562|chr12:109530593-109530594
1,572587.0,chr12,108958445,108958909,K562|chr12:108958445-108958909,chr12,109530764,109532764,K562|chr12:109531263-109531264
1,572597.0,chr12,108958445,108958909,K562|chr12:108958445-108958909,chr12,109530774,109532774,K562|chr12:109531273-109531274
1,572600.0,chr12,108958445,108958909,K562|chr12:108958445-108958909,chr12,109530777,109532777,K562|chr12:109531276-109531277
1,141911.0,chr17,25925451,25925851,K562|chr17:25925451-25925851,chr17,25782240,25784240,K562|chr17:25783739-25783740
1,12684.0,chr17,25925451,25925851,K562|chr17:25925451-25925851,chr17,25936835,25938835,K562|chr17:25938334-25938335
1,11503.0,chr17,25925451,25925851,K562|chr17:25925451-25925851,chr17,25935654,25937654,K562|chr17:25937153-25937154
1,576702.0,chr12,108958445,108958909,K562|chr12:108958445-108958909,chr12,109533879,109535879,K562|chr12:109535378-109535379
1,577279.0,chr12,108958445,108958909,K562|chr12:108958445-108958909,chr12,109534456,109536456,K562|chr12:109535955-109535956
1,242522.5,chr1,150536573,150536870,K562|chr1:150536573-150536870,chr1,150778744,150780744,K562|chr1:150779243-150779244
1,271394.5,chr3,49481280,49481801,K562|chr3:49481280-49481801,chr3,49208646,49210646,K562|chr3:49210145-49210146
