label,enhancer_distance_to_promoter,enhancer_chrom,enhancer_start,enhancer_end,enhancer_name,promoter_chrom,promoter_start,promoter_end,promoter_name
1,182101.5,chr12,678895,680420,NHEK|chr12:678895-680420,chr12,860259,862259,NHEK|chr12:861758-861759
1,107316.5,chr3,43220474,43220953,NHEK|chr3:43220474-43220953,chr3,43326530,43328530,NHEK|chr3:43328029-43328030
1,3387.5,chr14,55030765,55031120,NHEK|chr14:55030765-55031120,chr14,55032830,55034830,NHEK|chr14:55034329-55034330
1,264703.0,chr7,115899834,115900438,NHEK|chr7:115899834-115900438,chr7,116163339,116165339,NHEK|chr7:116164838-116164839
1,100747.0,chr17,17841633,17842085,NHEK|chr17:17841633-17842085,chr17,17941106,17943106,NHEK|chr17:17942605-17942606
1,100664.0,chr17,17841633,17842085,NHEK|chr17:17841633-17842085,chr17,17942023,17944023,NHEK|chr17:17942522-17942523
1,100623.0,chr17,17841633,17842085,NHEK|chr17:17841633-17842085,chr17,17941982,17943982,NHEK|chr17:17942481-17942482
1,184864.5,chr7,98738530,98738807,NHEK|chr7:98738530-98738807,chr7,98922033,98924033,NHEK|chr7:98923532-98923533
1,265264.0,chr1,27444141,27444917,NHEK|chr1:27444141-27444917,chr1,27709293,27711293,NHEK|chr1:27709792-27709793
1,137847.5,chr2,114651929,114652306,NHEK|chr2:114651929-114652306,chr2,114513770,114515770,NHEK|chr2:114514269-114514270
1,137717.5,chr2,114651929,114652306,NHEK|chr2:114651929-114652306,chr2,114513900,114515900,NHEK|chr2:114514399-114514400
1,107318.5,chr3,43220474,43220953,NHEK|chr3:43220474-43220953,chr3,43326532,43328532,NHEK|chr3:43328031-43328032
1,2645.0,chr14,55036824,55037126,NHEK|chr14:55036824-55037126,chr14,55032830,55034830,NHEK|chr14:55034329-55034330
1,3160.0,chr14,55036824,55037126,NHEK|chr14:55036824-55037126,chr14,55032315,55034315,NHEK|chr14:55033814-55033815
1,384534.0,chr15,74689730,74690062,NHEK|chr15:74689730-74690062,chr15,75072930,75074930,NHEK|chr15:75074429-75074430
1,384502.0,chr15,74689730,74690062,NHEK|chr15:74689730-74690062,chr15,75072898,75074898,NHEK|chr15:75074397-75074398
1,136236.5,chr2,114650379,114650634,NHEK|chr2:114650379-114650634,chr2,114513770,114515770,NHEK|chr2:114514269-114514270
1,234608.5,chr11,113419739,113420136,NHEK|chr11:113419739-113420136,chr11,113183829,113185829,NHEK|chr11:113185328-113185329
1,136106.5,chr2,114650379,114650634,NHEK|chr2:114650379-114650634,chr2,114513900,114515900,NHEK|chr2:114514399-114514400
1,103416.5,chr17,17838900,17839479,NHEK|chr17:17838900-17839479,chr17,17941106,17943106,NHEK|chr17:17942605-17942606
1,103333.5,chr17,17838900,17839479,NHEK|chr17:17838900-17839479,chr17,17942023,17944023,NHEK|chr17:17942522-17942523
1,103292.5,chr17,17838900,17839479,NHEK|chr17:17838900-17839479,chr17,17941982,17943982,NHEK|chr17:17942481-17942482
1,238955.5,chr11,113423847,113424382,NHEK|chr11:113423847-113424382,chr11,113184659,113186659,NHEK|chr11:113185158-113185159
1,238863.5,chr11,113423847,113424382,NHEK|chr11:113423847-113424382,chr11,113183751,113185751,NHEK|chr11:113185250-113185251
1,238785.5,chr11,113423847,113424382,NHEK|chr11:113423847-113424382,chr11,113183829,113185829,NHEK|chr11:113185328-113185329
1,235268.5,chr11,113420317,113420538,NHEK|chr11:113420317-113420538,chr11,113184659,113186659,NHEK|chr11:113185158-113185159
1,3234.0,chr14,55037389,55037739,NHEK|chr14:55037389-55037739,chr14,55032830,55034830,NHEK|chr14:55034329-55034330
1,3749.0,chr14,55037389,55037739,NHEK|chr14:55037389-55037739,chr14,55032315,55034315,NHEK|chr14:55033814-55033815
1,235176.5,chr11,113420317,113420538,NHEK|chr11:113420317-113420538,chr11,113183751,113185751,NHEK|chr11:113185250-113185251
1,235098.5,chr11,113420317,113420538,NHEK|chr11:113420317-113420538,chr11,113183829,113185829,NHEK|chr11:113185328-113185329
1,234778.5,chr11,113419739,113420136,NHEK|chr11:113419739-113420136,chr11,113184659,113186659,NHEK|chr11:113185158-113185159
1,96470.0,chr8,17454137,17454617,NHEK|chr8:17454137-17454617,chr8,17550347,17552347,NHEK|chr8:17550846-17550847
1,2872.5,chr14,55030765,55031120,NHEK|chr14:55030765-55031120,chr14,55032315,55034315,NHEK|chr14:55033814-55033815
1,264919.0,chr7,115899834,115900438,NHEK|chr7:115899834-115900438,chr7,116163555,116165555,NHEK|chr7:116165054-116165055
1,264927.0,chr7,115899834,115900438,NHEK|chr7:115899834-115900438,chr7,116163563,116165563,NHEK|chr7:116165062-116165063
1,265658.0,chr7,115899834,115900438,NHEK|chr7:115899834-115900438,chr7,116164294,116166294,NHEK|chr7:116165793-116165794
1,99088.5,chr17,17843394,17843475,NHEK|chr17:17843394-17843475,chr17,17942023,17944023,NHEK|chr17:17942522-17942523
