true	pred	chrom	distance	enhancer_name	promoter_name
1	0.8347	chr17	141911	K562|chr17:25925451-25925851	K562|chr17:25783739-25783740
1	0.9182	chr17	12684	K562|chr17:25925451-25925851	K562|chr17:25938334-25938335
1	0.9205	chr17	11503	K562|chr17:25925451-25925851	K562|chr17:25937153-25937154
1	0.8156	chr9	60898	K562|chr9:131014580-131014888	K562|chr9:130953835-130953836
1	0.8156	chr9	60887	K562|chr9:131014580-131014888	K562|chr9:130953846-130953847
1	0.8156	chr9	60883	K562|chr9:131014580-131014888	K562|chr9:130953850-130953851
1	0.8156	chr9	60866	K562|chr9:131014580-131014888	K562|chr9:130953867-130953868
1	0.4967	chr17	2922	K562|chr17:25786500-25786824	K562|chr17:25783739-25783740
1	0.8156	chr9	60967	K562|chr9:131014580-131014888	K562|chr9:130953766-130953767
1	0.8156	chr9	60905	K562|chr9:131014580-131014888	K562|chr9:130953828-130953829
1	0.5525	chr17	5052	K562|chr17:25788578-25789007	K562|chr17:25783739-25783740
1	0.0217	chr17	1035169	K562|chr17:39823736-39823803	K562|chr17:38788599-38788600
1	0.0217	chr17	1035227	K562|chr17:39823736-39823803	K562|chr17:38788541-38788542
1	0.8223	chr9	61745	K562|chr9:131014580-131014888	K562|chr9:130952988-130952989
1	0.8284	chr9	61595	K562|chr9:131014580-131014888	K562|chr9:130953138-130953139
1	0.8889	chr17	145603	K562|chr17:25929250-25929437	K562|chr17:25783739-25783740
1	0.9304	chr17	7810	K562|chr17:25929250-25929437	K562|chr17:25937153-25937154
1	0.9606	chr17	8991	K562|chr17:25929250-25929437	K562|chr17:25938334-25938335
1	0.481	chr2	2897	K562|chr2:191048325-191048648	K562|chr2:191045588-191045589
1	0.481	chr2	2805	K562|chr2:191048325-191048648	K562|chr2:191045680-191045681
1	0.9705	chr9	85709	K562|chr9:131494873-131495215	K562|chr9:131580752-131580753
1	0.8636	chr17	145101	K562|chr17:25928608-25929075	K562|chr17:25783739-25783740
1	0.9267	chr9	92057	K562|chr9:131494873-131495215	K562|chr9:131587100-131587101
1	0.9332	chr17	8312	K562|chr17:25928608-25929075	K562|chr17:25937153-25937154
1	0.9627	chr17	9493	K562|chr17:25928608-25929075	K562|chr17:25938334-25938335
1	0.0227	chr17	1034804	K562|chr17:39823281-39823527	K562|chr17:38788599-38788600
1	0.0241	chr17	1034862	K562|chr17:39823281-39823527	K562|chr17:38788541-38788542
1	0.863	chr22	102170	K562|chr22:23624355-23624780	K562|chr22:23522396-23522397
1	0.8492	chr22	102015	K562|chr22:23624355-23624780	K562|chr22:23522551-23522552
1	0.8317	chr9	60656	K562|chr9:131013490-131013800	K562|chr9:130952988-130952989
1	0.8765	chr9	60506	K562|chr9:131013490-131013800	K562|chr9:130953138-130953139
1	0.8916	chr9	59878	K562|chr9:131013490-131013800	K562|chr9:130953766-130953767
1	0.8916	chr9	59816	K562|chr9:131013490-131013800	K562|chr9:130953828-130953829
1	0.8916	chr9	59809	K562|chr9:131013490-131013800	K562|chr9:130953835-130953836
1	0.8916	chr9	59798	K562|chr9:131013490-131013800	K562|chr9:130953846-130953847
1	0.8916	chr9	59794	K562|chr9:131013490-131013800	K562|chr9:130953850-130953851
1	0.7159	chr17	224320	K562|chr17:39894203-39894788	K562|chr17:40118815-40118816
1	0.7159	chr17	224337	K562|chr17:39894203-39894788	K562|chr17:40118832-40118833
1	0.7159	chr17	224404	K562|chr17:39894203-39894788	K562|chr17:40118899-40118900
1	0.7058	chr17	224855	K562|chr17:39894203-39894788	K562|chr17:40119350-40119351
1	0.8916	chr9	59777	K562|chr9:131013490-131013800	K562|chr9:130953867-130953868
1	0.2117	chr22	336283	K562|chr22:19615480-19615564	K562|chr22:19279238-19279239
1	0.7871	chr22	60239	K562|chr22:50768982-50769140	K562|chr22:50708821-50708822
1	0.8473	chr22	60172	K562|chr22:50769322-50769415	K562|chr22:50709195-50709196
1	0.646	chr22	60546	K562|chr22:50769322-50769415	K562|chr22:50708821-50708822
1	0.8473	chr22	59865	K562|chr22:50768982-50769140	K562|chr22:50709195-50709196
1	0.0724	chr2	916124	K562|chr2:176029428-176029673	K562|chr2:175113425-175113426
1	0.862	chr22	101586	K562|chr22:23623629-23624338	K562|chr22:23522396-23522397
1	0.863	chr22	101431	K562|chr22:23623629-23624338	K562|chr22:23522551-23522552
1	0.0724	chr2	916462	K562|chr2:176029428-176029673	K562|chr2:175113087-175113088
1	0.0724	chr2	916347	K562|chr2:176029428-176029673	K562|chr2:175113202-175113203
1	0.0724	chr2	916223	K562|chr2:176029428-176029673	K562|chr2:175113326-175113327
1	0.0207	chr17	1035684	K562|chr17:39823964-39824605	K562|chr17:38788599-38788600
1	0.0207	chr17	1035742	K562|chr17:39823964-39824605	K562|chr17:38788541-38788542
1	0.8229	chr9	61149	K562|chr9:131013836-131014440	K562|chr9:130952988-130952989
1	0.8291	chr9	60999	K562|chr9:131013836-131014440	K562|chr9:130953138-130953139
1	0.8905	chr9	60371	K562|chr9:131013836-131014440	K562|chr9:130953766-130953767
1	0.8905	chr9	60309	K562|chr9:131013836-131014440	K562|chr9:130953828-130953829
1	0.8905	chr9	60302	K562|chr9:131013836-131014440	K562|chr9:130953835-130953836
1	0.8905	chr9	60291	K562|chr9:131013836-131014440	K562|chr9:130953846-130953847
1	0.8905	chr9	60287	K562|chr9:131013836-131014440	K562|chr9:130953850-130953851
1	0.8156	chr9	60270	K562|chr9:131013836-131014440	K562|chr9:130953867-130953868
1	0.8069	chr9	148745	K562|chr9:140345403-140345493	K562|chr9:140196702-140196703
1	0.0295	chr17	1033691	K562|chr17:39822175-39822407	K562|chr17:38788599-38788600
1	0.0295	chr17	1033749	K562|chr17:39822175-39822407	K562|chr17:38788541-38788542
1	0.6175	chr9	232790	K562|chr9:140429304-140429683	K562|chr9:140196702-140196703
1	0.0105	chr17	579636	K562|chr17:46102363-46102913	K562|chr17:46682273-46682274
1	0.0157	chr17	589840	K562|chr17:46102363-46102913	K562|chr17:46692477-46692478
1	0.0094	chr17	589663	K562|chr17:46102363-46102913	K562|chr17:46692300-46692301
1	0.0094	chr17	589428	K562|chr17:46102363-46102913	K562|chr17:46692065-46692066
1	0.0091	chr17	588203	K562|chr17:46102363-46102913	K562|chr17:46690840-46690841
1	0.0076	chr17	585741	K562|chr17:46102363-46102913	K562|chr17:46688378-46688379
1	0.0077	chr17	583050	K562|chr17:46102363-46102913	K562|chr17:46685687-46685688
1	0.0105	chr17	579716	K562|chr17:46102363-46102913	K562|chr17:46682353-46682354
1	0.0105	chr17	579696	K562|chr17:46102363-46102913	K562|chr17:46682333-46682334
1	0.2031	chr9	466501	K562|chr9:101072948-101073466	K562|chr9:101539707-101539708
1	0.7651	chr9	129754	K562|chr9:101010966-101011502	K562|chr9:100881479-100881480
1	0.7651	chr9	129816	K562|chr9:101010966-101011502	K562|chr9:100881417-100881418
1	0.05	chr9	326382	K562|chr9:101010966-101011502	K562|chr9:100684851-100684852
1	0.0411	chr9	326480	K562|chr9:101010966-101011502	K562|chr9:100684753-100684754
1	0.002	chr9	1408381	K562|chr9:132446792-132447012	K562|chr9:131038520-131038521
1	0.0019	chr9	1408683	K562|chr9:132446792-132447012	K562|chr9:131038218-131038219
1	0.0019	chr9	1408634	K562|chr9:132446792-132447012	K562|chr9:131038267-131038268
1	0.0019	chr9	1408628	K562|chr9:132446792-132447012	K562|chr9:131038273-131038274
1	0.0299	chr17	1033265	K562|chr17:39821728-39822003	K562|chr17:38788599-38788600
1	0.0299	chr17	1033323	K562|chr17:39821728-39822003	K562|chr17:38788541-38788542
1	0.002	chr9	1408401	K562|chr9:132446792-132447012	K562|chr9:131038500-131038501
1	0.002	chr9	1408379	K562|chr9:132446792-132447012	K562|chr9:131038522-131038523
1	0.0157	chr17	589133	K562|chr17:46102946-46103744	K562|chr17:46692477-46692478
1	0.0157	chr17	588956	K562|chr17:46102946-46103744	K562|chr17:46692300-46692301
1	0.0157	chr17	588721	K562|chr17:46102946-46103744	K562|chr17:46692065-46692066
1	0.0126	chr17	587496	K562|chr17:46102946-46103744	K562|chr17:46690840-46690841
1	0.0076	chr17	585034	K562|chr17:46102946-46103744	K562|chr17:46688378-46688379
1	0.0058	chr17	582343	K562|chr17:46102946-46103744	K562|chr17:46685687-46685688
1	0.0107	chr17	579009	K562|chr17:46102946-46103744	K562|chr17:46682353-46682354
1	0.0107	chr17	578989	K562|chr17:46102946-46103744	K562|chr17:46682333-46682334
1	0.0107	chr17	578929	K562|chr17:46102946-46103744	K562|chr17:46682273-46682274
1	0.8982	chr9	148274	K562|chr9:140344889-140345065	K562|chr9:140196702-140196703
1	0.0024	chr9	1410770	K562|chr9:132446792-132447012	K562|chr9:131036131-131036132
1	0.0022	chr9	1409244	K562|chr9:132446792-132447012	K562|chr9:131037657-131037658
1	0.0094	chr17	590173	K562|chr17:46102279-46102330	K562|chr17:46692477-46692478
1	0.9389	chr9	97746	K562|chr9:33375817-33376547	K562|chr9:33473927-33473928
1	0.4876	chr2	3647	K562|chr2:191048985-191049672	K562|chr2:191045680-191045681
1	0.5077	chr2	3739	K562|chr2:191048985-191049672	K562|chr2:191045588-191045589
1	0.9357	chr17	8259	K562|chr17:25929595-25930556	K562|chr17:25938334-25938335
1	0.9275	chr17	7078	K562|chr17:25929595-25930556	K562|chr17:25937153-25937154
1	0.8821	chr17	146335	K562|chr17:25929595-25930556	K562|chr17:25783739-25783740
1	0.9238	chr9	98684	K562|chr9:33374782-33375706	K562|chr9:33473927-33473928
1	0.0094	chr17	589996	K562|chr17:46102279-46102330	K562|chr17:46692300-46692301
1	0.9283	chr2	121223	K562|chr2:65780408-65780661	K562|chr2:65659310-65659311
1	0.8387	chr17	114411	K562|chr17:62225982-62226369	K562|chr17:62340586-62340587
1	0.8081	chr9	52881	K562|chr9:80593302-80593683	K562|chr9:80646373-80646374
1	0.8255	chr9	52027	K562|chr9:80593302-80593683	K562|chr9:80645519-80645520
1	0.8081	chr9	53191	K562|chr9:80593078-80593287	K562|chr9:80646373-80646374
1	0.0063	chr17	590502	K562|chr17:46101763-46102188	K562|chr17:46692477-46692478
1	0.0063	chr17	590325	K562|chr17:46101763-46102188	K562|chr17:46692300-46692301
1	0.0063	chr17	590090	K562|chr17:46101763-46102188	K562|chr17:46692065-46692066
1	0.0087	chr17	588865	K562|chr17:46101763-46102188	K562|chr17:46690840-46690841
1	0.0077	chr17	586403	K562|chr17:46101763-46102188	K562|chr17:46688378-46688379
1	0.0071	chr17	583712	K562|chr17:46101763-46102188	K562|chr17:46685687-46685688
1	0.0069	chr17	580378	K562|chr17:46101763-46102188	K562|chr17:46682353-46682354
1	0.0069	chr17	580358	K562|chr17:46101763-46102188	K562|chr17:46682333-46682334
1	0.0069	chr17	580298	K562|chr17:46101763-46102188	K562|chr17:46682273-46682274
1	0.8204	chr9	52337	K562|chr9:80593078-80593287	K562|chr9:80645519-80645520
1	0.8387	chr17	114485	K562|chr17:62225982-62226369	K562|chr17:62340660-62340661
1	0.0094	chr17	589761	K562|chr17:46102279-46102330	K562|chr17:46692065-46692066
1	0.0091	chr17	588536	K562|chr17:46102279-46102330	K562|chr17:46690840-46690841
1	0.0078	chr17	586074	K562|chr17:46102279-46102330	K562|chr17:46688378-46688379
1	0.0073	chr17	583383	K562|chr17:46102279-46102330	K562|chr17:46685687-46685688
1	0.0105	chr17	580049	K562|chr17:46102279-46102330	K562|chr17:46682353-46682354
1	0.0105	chr17	580029	K562|chr17:46102279-46102330	K562|chr17:46682333-46682334
1	0.0105	chr17	579969	K562|chr17:46102279-46102330	K562|chr17:46682273-46682274
1	0.9267	chr9	91358	K562|chr9:131495430-131496055	K562|chr9:131587100-131587101
1	0.0247	chr17	1033993	K562|chr17:39822453-39822733	K562|chr17:38788599-38788600
1	0.0247	chr17	1034051	K562|chr17:39822453-39822733	K562|chr17:38788541-38788542
1	0.97	chr9	85010	K562|chr9:131495430-131496055	K562|chr9:131580752-131580753
1	0.8999	chr2	120763	K562|chr2:65780408-65780661	K562|chr2:65659770-65659771
1	0.0065	chr17	411666	K562|chr17:61929760-61930027	K562|chr17:61518226-61518227
1	0.0117	chr17	406348	K562|chr17:61929760-61930027	K562|chr17:61523544-61523545
1	0.0117	chr17	406154	K562|chr17:61929760-61930027	K562|chr17:61523738-61523739
1	0.9558	chr9	75951	K562|chr9:125208970-125209651	K562|chr9:125133358-125133359
1	0.8608	chr2	92302	K562|chr2:55368890-55369267	K562|chr2:55276775-55276776
1	0.9766	chr9	49985	K562|chr9:127483316-127483826	K562|chr9:127533555-127533556
1	0.9766	chr9	49995	K562|chr9:127483316-127483826	K562|chr9:127533565-127533566
1	0.9069	chr2	91398	K562|chr2:55368890-55369267	K562|chr2:55277679-55277680
1	0.9285	chr22	221654	K562|chr22:22818350-22818889	K562|chr22:23040273-23040274
1	0.0089	chr22	669854	K562|chr22:40598432-40598996	K562|chr22:39928859-39928860
1	0.8902	chr2	92794	K562|chr2:55369394-55369747	K562|chr2:55276775-55276776
1	0.8848	chr2	91890	K562|chr2:55369394-55369747	K562|chr2:55277679-55277680
1	0.0147	chr2	287994	K562|chr2:70256784-70257676	K562|chr2:69969235-69969236
1	0.0147	chr2	287996	K562|chr2:70256784-70257676	K562|chr2:69969233-69969234
1	0.0147	chr2	288124	K562|chr2:70256784-70257676	K562|chr2:69969105-69969106
1	0.9599	chr17	70617	K562|chr17:73392893-73393180	K562|chr17:73322418-73322419
1	0.827	chr17	3152	K562|chr17:73392893-73393180	K562|chr17:73389883-73389884
1	0.827	chr17	3091	K562|chr17:73392893-73393180	K562|chr17:73389944-73389945
1	0.7521	chr17	2922	K562|chr17:73392893-73393180	K562|chr17:73390113-73390114
1	0.7727	chr9	65653	K562|chr9:130805647-130806255	K562|chr9:130871603-130871604
1	0.0188	chr22	657386	K562|chr22:40586083-40586410	K562|chr22:39928859-39928860
1	0.8991	chr22	87865	K562|chr22:23610256-23610579	K562|chr22:23522551-23522552
1	0.9008	chr22	88020	K562|chr22:23610256-23610579	K562|chr22:23522396-23522397
1	0.0671	chr22	389328	K562|chr22:19715449-19715724	K562|chr22:20104914-20104915
1	0.0779	chr22	387874	K562|chr22:19715449-19715724	K562|chr22:20103460-20103461
1	0.0773	chr22	388036	K562|chr22:19715449-19715724	K562|chr22:20103622-20103623
1	0.0671	chr22	389231	K562|chr22:19715449-19715724	K562|chr22:20104817-20104818
1	0.0671	chr22	389360	K562|chr22:19715449-19715724	K562|chr22:20104946-20104947
1	0.1079	chr22	389484	K562|chr22:19715449-19715724	K562|chr22:20105070-20105071
