true	pred	chrom	distance	enhancer_name	promoter_name
1	0.9982145979413929	chr10	194288.0	IMR90|chr10:75648704-75649188	IMR90|chr10:75843233-75843234
1	0.9998085705264546	chr1	38932.5	IMR90|chr1:8723209-8723534	IMR90|chr1:8684438-8684439
1	0.9998820774609376	chr1	37587.5	IMR90|chr1:8721723-8722330	IMR90|chr1:8684438-8684439
1	0.9997704958335057	chr1	37091.5	IMR90|chr1:8721407-8721654	IMR90|chr1:8684438-8684439
1	0.9985956694844534	chr1	300353.5	IMR90|chr1:32421554-32422051	IMR90|chr1:32121448-32121449
1	0.9918656683226565	chr1	157485.5	IMR90|chr1:32421554-32422051	IMR90|chr1:32264316-32264317
1	0.9980443027872569	chr1	299024.5	IMR90|chr1:32420249-32420698	IMR90|chr1:32121448-32121449
1	0.9776820010167072	chr1	156156.5	IMR90|chr1:32420249-32420698	IMR90|chr1:32264316-32264317
1	0.9776820010167072	chr1	156033.5	IMR90|chr1:32420249-32420698	IMR90|chr1:32264439-32264440
1	0.9905960520953566	chr1	254941.0	IMR90|chr1:78002422-78002932	IMR90|chr1:77747735-77747736
1	0.9997748416397341	chr1	96855.5	IMR90|chr1:78567210-78567577	IMR90|chr1:78470537-78470538
1	0.9918656683226565	chr1	157362.5	IMR90|chr1:32421554-32422051	IMR90|chr1:32264439-32264440
1	0.9999880152560301	chr1	36140.0	IMR90|chr1:8720167-8720991	IMR90|chr1:8684438-8684439
1	0.9987987036465452	chr10	52493.5	IMR90|chr10:33298990-33299641	IMR90|chr10:33246821-33246822
1	0.9993315393624471	chr10	52178.5	IMR90|chr10:33298990-33299641	IMR90|chr10:33247136-33247137
1	0.9993315393624471	chr10	52169.5	IMR90|chr10:33298990-33299641	IMR90|chr10:33247145-33247146
1	0.9993315393624471	chr10	52168.5	IMR90|chr10:33298990-33299641	IMR90|chr10:33247146-33247147
1	0.9993315393624471	chr10	52160.5	IMR90|chr10:33298990-33299641	IMR90|chr10:33247154-33247155
1	0.9993315393624471	chr10	52155.5	IMR90|chr10:33298990-33299641	IMR90|chr10:33247159-33247160
1	0.9943426715183153	chr10	197215.5	IMR90|chr10:75645867-75646170	IMR90|chr10:75843233-75843234
1	0.9945697481079314	chr1	339810.0	IMR90|chr1:110187192-110187804	IMR90|chr1:110527307-110527308
1	0.99329098975566	chr10	194817.0	IMR90|chr10:75648303-75648531	IMR90|chr10:75843233-75843234
1	0.9992874193647606	chr1	306868.5	IMR90|chr1:32428167-32428468	IMR90|chr1:32121448-32121449
1	0.9910404777826431	chr1	164000.5	IMR90|chr1:32428167-32428468	IMR90|chr1:32264316-32264317
1	0.9910404777826431	chr1	163877.5	IMR90|chr1:32428167-32428468	IMR90|chr1:32264439-32264440
1	0.9980817606720496	chr10	195826.5	IMR90|chr10:75646912-75647903	IMR90|chr10:75843233-75843234
1	0.9985784206555676	chr10	51105.0	IMR90|chr10:33297690-33298164	IMR90|chr10:33246821-33246822
1	0.9994874847521484	chr10	50790.0	IMR90|chr10:33297690-33298164	IMR90|chr10:33247136-33247137
1	0.9994874847521484	chr10	50781.0	IMR90|chr10:33297690-33298164	IMR90|chr10:33247145-33247146
1	0.9994874847521484	chr10	50780.0	IMR90|chr10:33297690-33298164	IMR90|chr10:33247146-33247147
1	0.9994874847521484	chr10	50772.0	IMR90|chr10:33297690-33298164	IMR90|chr10:33247154-33247155
1	0.9994874847521484	chr10	50767.0	IMR90|chr10:33297690-33298164	IMR90|chr10:33247159-33247160
1	0.9960423268275483	chr1	341158.5	IMR90|chr1:110185997-110186302	IMR90|chr1:110527307-110527308
1	0.9870370638115659	chr1	138830.5	IMR90|chr1:167766087-167766808	IMR90|chr1:167905277-167905278
1	0.9885956149692813	chr1	139451.5	IMR90|chr1:167766087-167766808	IMR90|chr1:167905898-167905899
1	0.9875077438966118	chr1	139498.5	IMR90|chr1:167766087-167766808	IMR90|chr1:167905945-167905946
1	0.9882253585064108	chr1	139608.5	IMR90|chr1:167766087-167766808	IMR90|chr1:167906055-167906056
1	0.9921093853029067	chr1	139830.5	IMR90|chr1:167766087-167766808	IMR90|chr1:167906277-167906278
1	0.9870370638115659	chr1	139943.5	IMR90|chr1:167766087-167766808	IMR90|chr1:167906390-167906391
1	0.9982567123262679	chr1	254098.0	IMR90|chr1:169082770-169083402	IMR90|chr1:169337183-169337184
1	0.9982681480308481	chr1	254119.0	IMR90|chr1:169082770-169083402	IMR90|chr1:169337204-169337205
1	0.9985572668664752	chr1	254122.0	IMR90|chr1:169082770-169083402	IMR90|chr1:169337207-169337208
1	0.9981133866303313	chr1	248356.0	IMR90|chr1:169088589-169089067	IMR90|chr1:169337183-169337184
1	0.9983661038449533	chr1	248377.0	IMR90|chr1:169088589-169089067	IMR90|chr1:169337204-169337205
1	0.9979096253226026	chr1	248380.0	IMR90|chr1:169088589-169089067	IMR90|chr1:169337207-169337208
1	0.9989863139866739	chr1	247661.5	IMR90|chr1:169089414-169089631	IMR90|chr1:169337183-169337184
1	0.9991222029405399	chr1	247682.5	IMR90|chr1:169089414-169089631	IMR90|chr1:169337204-169337205
1	0.998847815782274	chr1	247685.5	IMR90|chr1:169089414-169089631	IMR90|chr1:169337207-169337208
1	0.9962565941698058	chr10	72167.0	IMR90|chr10:104575726-104576062	IMR90|chr10:104503726-104503727
1	0.988125173899248	chr1	4305.5	IMR90|chr1:27925693-27925982	IMR90|chr1:27930142-27930143
1	0.99109639791371	chr1	4264.5	IMR90|chr1:27925693-27925982	IMR90|chr1:27930101-27930102
1	0.9898276929771004	chr1	143932.5	IMR90|chr1:167760837-167761854	IMR90|chr1:167905277-167905278
1	0.9904578421548906	chr1	144553.5	IMR90|chr1:167760837-167761854	IMR90|chr1:167905898-167905899
1	0.9901980524502154	chr1	144600.5	IMR90|chr1:167760837-167761854	IMR90|chr1:167905945-167905946
1	0.9907625685904224	chr1	144710.5	IMR90|chr1:167760837-167761854	IMR90|chr1:167906055-167906056
1	0.9944485253877708	chr1	144932.5	IMR90|chr1:167760837-167761854	IMR90|chr1:167906277-167906278
1	0.9898276929771004	chr1	145045.5	IMR90|chr1:167760837-167761854	IMR90|chr1:167906390-167906391
1	0.9983283149278652	chr15	323437.5	IMR90|chr15:80747981-80748512	IMR90|chr15:81071683-81071684
1	0.9983283149278652	chr15	323465.5	IMR90|chr15:80747981-80748512	IMR90|chr15:81071711-81071712
1	0.9961553061360278	chr15	322285.0	IMR90|chr15:80748942-80749856	IMR90|chr15:81071683-81071684
1	0.9961553061360278	chr15	322313.0	IMR90|chr15:80748942-80749856	IMR90|chr15:81071711-81071712
1	0.998588876460454	chr1	83697.5	IMR90|chr1:28928009-28928682	IMR90|chr1:28844647-28844648
1	0.997576084755685	chr15	211448.0	IMR90|chr15:80860025-80860447	IMR90|chr15:81071683-81071684
1	0.9981955075954709	chr10	534335.0	IMR90|chr10:31072650-31074788	IMR90|chr10:31608053-31608054
1	0.9971270857242026	chr10	532898.0	IMR90|chr10:31075118-31075388	IMR90|chr10:31608150-31608151
1	0.9971270857242026	chr10	532848.0	IMR90|chr10:31075118-31075388	IMR90|chr10:31608100-31608101
1	0.9973670175039157	chr10	532801.0	IMR90|chr10:31075118-31075388	IMR90|chr10:31608053-31608054
1	0.9983201559413982	chr10	534432.0	IMR90|chr10:31072650-31074788	IMR90|chr10:31608150-31608151
1	0.9983201559413982	chr10	534382.0	IMR90|chr10:31072650-31074788	IMR90|chr10:31608100-31608101
1	0.9967810199682263	chr1	83567.5	IMR90|chr1:28928009-28928682	IMR90|chr1:28844777-28844778
1	0.997576084755685	chr15	211476.0	IMR90|chr15:80860025-80860447	IMR90|chr15:81071711-81071712
1	0.9836959905437904	chr1	266660.0	IMR90|chr1:85779451-85780117	IMR90|chr1:86046443-86046444
1	0.9974584163121781	chr15	188291.0	IMR90|chr15:81259739-81260211	IMR90|chr15:81071683-81071684
1	0.9949793115211365	chr10	2644.5	IMR90|chr10:81914710-81915549	IMR90|chr10:81917773-81917774
1	0.9927804597112533	chr10	49117.5	IMR90|chr10:81914710-81915549	IMR90|chr10:81964246-81964247
1	0.9753757264208898	chr10	50198.5	IMR90|chr10:81914710-81915549	IMR90|chr10:81965327-81965328
1	0.9974584163121781	chr15	188263.0	IMR90|chr15:81259739-81260211	IMR90|chr15:81071711-81071712
1	0.9987806908787812	chr1	316434.0	IMR90|chr1:112933424-112933820	IMR90|chr1:113250055-113250056
1	0.9988701078962399	chr1	316403.0	IMR90|chr1:112933424-112933820	IMR90|chr1:113250024-113250025
1	0.9988796573844058	chr1	316127.0	IMR90|chr1:112933424-112933820	IMR90|chr1:113249748-113249749
1	0.9988796573844058	chr1	316135.0	IMR90|chr1:112933424-112933820	IMR90|chr1:113249756-113249757
1	0.9988796573844058	chr1	316125.0	IMR90|chr1:112933424-112933820	IMR90|chr1:113249746-113249747
1	0.9988796573844058	chr1	316120.0	IMR90|chr1:112933424-112933820	IMR90|chr1:113249741-113249742
1	0.9988796573844058	chr1	316102.0	IMR90|chr1:112933424-112933820	IMR90|chr1:113249723-113249724
1	0.9973373278309708	chr1	228819.0	IMR90|chr1:112933424-112933820	IMR90|chr1:113162440-113162441
1	0.9973888786201011	chr1	228805.0	IMR90|chr1:112933424-112933820	IMR90|chr1:113162426-113162427
1	0.9968493013191762	chr1	228173.0	IMR90|chr1:112933424-112933820	IMR90|chr1:113161794-113161795
1	0.9982554654528581	chr1	228126.0	IMR90|chr1:112933424-112933820	IMR90|chr1:113161747-113161748
1	0.9996212594458619	chr21	312787.5	IMR90|chr21:36574654-36575095	IMR90|chr21:36262086-36262087
1	0.9993529215628021	chr21	313887.5	IMR90|chr21:36574654-36575095	IMR90|chr21:36260986-36260987
1	0.9977815556772949	chr21	315394.5	IMR90|chr21:36574654-36575095	IMR90|chr21:36259479-36259480
1	0.9866423293849382	chr10	215859.5	IMR90|chr10:14861985-14862510	IMR90|chr10:14646387-14646388
