true	pred	chrom	distance	enhancer_name	promoter_name
1	0.8234443031835095	chr16	75423.0	K562|chr16:154577-155481	K562|chr16:230451-230452
1	0.030052668974981166	chr16	929051.0	K562|chr16:31888595-31889211	K562|chr16:30959851-30959852
1	0.04733493782080365	chr16	928516.0	K562|chr16:31888595-31889211	K562|chr16:30960386-30960387
1	0.03377153851194503	chr16	920288.0	K562|chr16:31888595-31889211	K562|chr16:30968614-30968615
1	0.024832106145204574	chr16	919826.0	K562|chr16:31888595-31889211	K562|chr16:30969076-30969077
1	0.19186740241326253	chr12	495557.5	K562|chr12:109034664-109035409	K562|chr12:109530593-109530594
1	0.19293955797881382	chr12	496227.5	K562|chr12:109034664-109035409	K562|chr12:109531263-109531264
1	0.19293955797881382	chr12	496237.5	K562|chr12:109034664-109035409	K562|chr12:109531273-109531274
1	0.19293955797881382	chr12	496240.5	K562|chr12:109034664-109035409	K562|chr12:109531276-109531277
1	0.030779508301311195	chr12	500342.5	K562|chr12:109034664-109035409	K562|chr12:109535378-109535379
1	0.04386416560637265	chr12	500886.5	K562|chr12:109034664-109035409	K562|chr12:109535922-109535923
1	0.04500371900074814	chr12	500919.5	K562|chr12:109034664-109035409	K562|chr12:109535955-109535956
1	0.14727669524395126	chr12	577246.0	K562|chr12:108958445-108958909	K562|chr12:109535922-109535923
1	0.32815118847328856	chr12	571917.0	K562|chr12:108958445-108958909	K562|chr12:109530593-109530594
1	0.2973014095281789	chr12	572587.0	K562|chr12:108958445-108958909	K562|chr12:109531263-109531264
1	0.2973014095281789	chr12	572597.0	K562|chr12:108958445-108958909	K562|chr12:109531273-109531274
1	0.2973014095281789	chr12	572600.0	K562|chr12:108958445-108958909	K562|chr12:109531276-109531277
1	0.0867516435430981	chr12	576702.0	K562|chr12:108958445-108958909	K562|chr12:109535378-109535379
1	0.15264867543337282	chr12	577279.0	K562|chr12:108958445-108958909	K562|chr12:109535955-109535956
1	0.9974458182227394	chr16	13947.5	K562|chr16:75047085-75047296	K562|chr16:75033242-75033243
1	0.9963262673341774	chr16	13050.5	K562|chr16:75047085-75047296	K562|chr16:75034139-75034140
1	0.9990508436212048	chr16	13553.0	K562|chr16:75046603-75046989	K562|chr16:75033242-75033243
1	0.9988178754171987	chr16	12656.0	K562|chr16:75046603-75046989	K562|chr16:75034139-75034140
1	0.012590907523626066	chr12	494486.5	K562|chr12:109036047-109036168	K562|chr12:109530593-109530594
1	0.014290350391016159	chr12	495156.5	K562|chr12:109036047-109036168	K562|chr12:109531263-109531264
1	0.014290350391016159	chr12	495166.5	K562|chr12:109036047-109036168	K562|chr12:109531273-109531274
1	0.014290350391016159	chr12	495169.5	K562|chr12:109036047-109036168	K562|chr12:109531276-109531277
1	0.025637420143871163	chr12	500127.5	K562|chr12:109035686-109035971	K562|chr12:109535955-109535956
1	0.9965944204890245	chr16	14864.5	K562|chr16:75047876-75048339	K562|chr16:75033242-75033243
1	0.9975681474337317	chr16	13967.5	K562|chr16:75047876-75048339	K562|chr16:75034139-75034140
1	0.025309489322539274	chr12	500094.5	K562|chr12:109035686-109035971	K562|chr12:109535922-109535923
1	0.061532398272676314	chr12	494765.5	K562|chr12:109035686-109035971	K562|chr12:109530593-109530594
1	0.07433402334275672	chr12	495435.5	K562|chr12:109035686-109035971	K562|chr12:109531263-109531264
1	0.07433402334275672	chr12	495445.5	K562|chr12:109035686-109035971	K562|chr12:109531273-109531274
1	0.07433402334275672	chr12	495448.5	K562|chr12:109035686-109035971	K562|chr12:109531276-109531277
1	0.018591305386755554	chr12	499550.5	K562|chr12:109035686-109035971	K562|chr12:109535378-109535379
1	0.02638558350596757	chr12	499815.5	K562|chr12:109036047-109036168	K562|chr12:109535922-109535923
1	0.6026880847892292	chr14	172406.0	K562|chr14:75766123-75766255	K562|chr14:75593782-75593783
