true	pred	chrom	distance	enhancer_name	promoter_name
1	0.9987267939075036	chr5	70243.5	IMR90|chr5:148591156-148591423	IMR90|chr5:148521045-148521046
1	0.9977601563718567	chr11	82113.5	IMR90|chr11:8749926-8750621	IMR90|chr11:8832386-8832387
1	0.9997335547706733	chr11	10666.5	IMR90|chr11:8749926-8750621	IMR90|chr11:8739606-8739607
1	0.9995799390830581	chr5	70497.0	IMR90|chr5:148591633-148592129	IMR90|chr5:148521383-148521384
1	0.9995799390830581	chr5	70567.0	IMR90|chr5:148591633-148592129	IMR90|chr5:148521313-148521314
1	0.9996023337671062	chr5	70704.0	IMR90|chr5:148591633-148592129	IMR90|chr5:148521176-148521177
1	0.9993594810300729	chr5	70827.0	IMR90|chr5:148591633-148592129	IMR90|chr5:148521053-148521054
1	0.9993594810300729	chr5	70835.0	IMR90|chr5:148591633-148592129	IMR90|chr5:148521045-148521046
1	0.9989238529912727	chr5	42099.0	IMR90|chr5:148767532-148767968	IMR90|chr5:148809848-148809849
1	0.9964318440702185	chr8	126397.0	IMR90|chr8:42269727-42270771	IMR90|chr8:42396645-42396646
1	0.9995640927527043	chr8	126507.0	IMR90|chr8:42269727-42270771	IMR90|chr8:42396755-42396756
1	0.9974002966851551	chr8	126605.0	IMR90|chr8:42269727-42270771	IMR90|chr8:42396853-42396854
1	0.9952340059604309	chr11	82614.5	IMR90|chr11:8749926-8750621	IMR90|chr11:8832887-8832888
1	0.9987267939075036	chr5	70235.5	IMR90|chr5:148591156-148591423	IMR90|chr5:148521053-148521054
1	0.9993443743213682	chr5	70112.5	IMR90|chr5:148591156-148591423	IMR90|chr5:148521176-148521177
1	0.9993834046971641	chr11	96120.5	IMR90|chr11:8835148-8836307	IMR90|chr11:8739606-8739607
1	0.9982196895842096	chr11	3340.5	IMR90|chr11:8835148-8836307	IMR90|chr11:8832386-8832387
1	0.9982781914979924	chr11	2839.5	IMR90|chr11:8835148-8836307	IMR90|chr11:8832887-8832888
1	0.99697267937102	chr11	131769.5	IMR90|chr11:8835148-8836307	IMR90|chr11:8703957-8703958
1	0.9993411928590963	chr11	131392.5	IMR90|chr11:8835148-8836307	IMR90|chr11:8704334-8704335
1	0.9993411928590963	chr11	131391.5	IMR90|chr11:8835148-8836307	IMR90|chr11:8704335-8704336
1	0.9993618482145503	chr11	131388.5	IMR90|chr11:8835148-8836307	IMR90|chr11:8704338-8704339
1	0.9993618482145503	chr11	131370.5	IMR90|chr11:8835148-8836307	IMR90|chr11:8704356-8704357
1	0.9991906861900531	chr11	130979.5	IMR90|chr11:8835148-8836307	IMR90|chr11:8704747-8704748
1	0.9982645592822341	chr11	129921.5	IMR90|chr11:8835148-8836307	IMR90|chr11:8705805-8705806
1	0.9920468068450138	chr8	229516.0	IMR90|chr8:142085193-142086617	IMR90|chr8:141856388-141856389
1	0.9994666801787265	chr5	68644.0	IMR90|chr5:148589723-148590333	IMR90|chr5:148521383-148521384
1	0.999466263180432	chr5	68714.0	IMR90|chr5:148589723-148590333	IMR90|chr5:148521313-148521314
1	0.999466263180432	chr5	68851.0	IMR90|chr5:148589723-148590333	IMR90|chr5:148521176-148521177
1	0.9993053767435738	chr5	68974.0	IMR90|chr5:148589723-148590333	IMR90|chr5:148521053-148521054
1	0.9993053767435738	chr5	68982.0	IMR90|chr5:148589723-148590333	IMR90|chr5:148521045-148521046
1	0.9993443743213682	chr5	69905.5	IMR90|chr5:148591156-148591423	IMR90|chr5:148521383-148521384
1	0.9993443743213682	chr5	69975.5	IMR90|chr5:148591156-148591423	IMR90|chr5:148521313-148521314
1	0.9988469645470656	chr8	126820.0	IMR90|chr8:42269727-42270771	IMR90|chr8:42397068-42397069
1	0.9992541918131491	chr5	306802.5	IMR90|chr5:149521145-149522202	IMR90|chr5:149828475-149828476
1	0.9990370749693606	chr5	307585.5	IMR90|chr5:149521145-149522202	IMR90|chr5:149829258-149829259
1	0.9989909908601429	chr5	307636.5	IMR90|chr5:149521145-149522202	IMR90|chr5:149829309-149829310
1	0.9989909908601429	chr5	307645.5	IMR90|chr5:149521145-149522202	IMR90|chr5:149829318-149829319
1	0.9994299144148073	chr5	305671.5	IMR90|chr5:149522347-149523262	IMR90|chr5:149828475-149828476
1	0.999296128330833	chr5	306454.5	IMR90|chr5:149522347-149523262	IMR90|chr5:149829258-149829259
1	0.9992707726201252	chr5	306505.5	IMR90|chr5:149522347-149523262	IMR90|chr5:149829309-149829310
1	0.9992707726201252	chr5	306514.5	IMR90|chr5:149522347-149523262	IMR90|chr5:149829318-149829319
1	0.9864266093836143	chr5	89476.5	IMR90|chr5:77934196-77934705	IMR90|chr5:77844973-77844974
1	0.9997203951874368	chr5	107563.0	IMR90|chr5:148822158-148822440	IMR90|chr5:148929861-148929862
1	0.9994360850014219	chr11	66630.0	IMR90|chr11:65256681-65257069	IMR90|chr11:65190244-65190245
1	0.9994360850014219	chr11	66606.0	IMR90|chr11:65256681-65257069	IMR90|chr11:65190268-65190269
1	0.9994121658950974	chr11	66589.0	IMR90|chr11:65256681-65257069	IMR90|chr11:65190285-65190286
1	0.9985548719486528	chr5	307907.5	IMR90|chr5:149520296-149520841	IMR90|chr5:149828475-149828476
1	0.9979081746269708	chr5	308690.5	IMR90|chr5:149520296-149520841	IMR90|chr5:149829258-149829259
1	0.9978329288075344	chr5	308741.5	IMR90|chr5:149520296-149520841	IMR90|chr5:149829309-149829310
1	0.9978329288075344	chr5	308750.5	IMR90|chr5:149520296-149520841	IMR90|chr5:149829318-149829319
1	0.9974581987556179	chr5	2353.5	IMR90|chr5:77842344-77842897	IMR90|chr5:77844973-77844974
1	0.9789126746118488	chr8	227082.5	IMR90|chr8:142083037-142083906	IMR90|chr8:141856388-141856389
1	0.9994030118740009	chr6	48789.0	IMR90|chr6:43092837-43092901	IMR90|chr6:43044079-43044080
1	0.9999721067077064	chr8	377438.5	IMR90|chr8:41009082-41009491	IMR90|chr8:41386724-41386725
1	0.9999689453443378	chr8	377469.5	IMR90|chr8:41009082-41009491	IMR90|chr8:41386755-41386756
1	0.9964626031934546	chr11	530776.0	IMR90|chr11:33713482-33714092	IMR90|chr11:33183010-33183011
1	0.9964626031934546	chr11	530710.0	IMR90|chr11:33713482-33714092	IMR90|chr11:33183076-33183077
1	0.99363658542566	chr11	529201.0	IMR90|chr11:33711755-33712669	IMR90|chr11:33183010-33183011
1	0.99363658542566	chr11	529135.0	IMR90|chr11:33711755-33712669	IMR90|chr11:33183076-33183077
1	0.9989528697733663	chr8	165954.0	IMR90|chr8:141479446-141479936	IMR90|chr8:141645644-141645645
1	0.9990823218936128	chr8	166027.0	IMR90|chr8:141479446-141479936	IMR90|chr8:141645717-141645718
1	0.9994024889388193	chr5	172522.0	IMR90|chr5:141531128-141531792	IMR90|chr5:141703981-141703982
1	0.9988355026822584	chr5	173106.0	IMR90|chr5:141531128-141531792	IMR90|chr5:141704565-141704566
1	0.9988355026822584	chr5	173145.0	IMR90|chr5:141531128-141531792	IMR90|chr5:141704604-141704605
1	0.9982598521623591	chr8	170857.0	IMR90|chr8:141474189-141475533	IMR90|chr8:141645717-141645718
1	0.9978047864264156	chr8	170784.0	IMR90|chr8:141474189-141475533	IMR90|chr8:141645644-141645645
1	0.9947576997233039	chr6	214362.5	IMR90|chr6:139909899-139910340	IMR90|chr6:139695756-139695757
1	0.9960124652707919	chr6	223572.0	IMR90|chr6:139918785-139919873	IMR90|chr6:139695756-139695757
1	0.9975828297582344	chr6	389353.5	IMR90|chr6:140084971-140085250	IMR90|chr6:139695756-139695757
1	0.9964309596866969	chr6	390116.5	IMR90|chr6:140085618-140086129	IMR90|chr6:139695756-139695757
1	0.9999016690450102	chr5	45515.5	IMR90|chr5:140900740-140901451	IMR90|chr5:140855579-140855580
1	0.9996446147666722	chr11	69341.5	IMR90|chr11:65259141-65260032	IMR90|chr11:65190244-65190245
1	0.9996401745106571	chr11	69317.5	IMR90|chr11:65259141-65260032	IMR90|chr11:65190268-65190269
1	0.9996401745106571	chr11	69300.5	IMR90|chr11:65259141-65260032	IMR90|chr11:65190285-65190286
1	0.9995453278198239	chr6	48317.0	IMR90|chr6:43092837-43092901	IMR90|chr6:43044551-43044552
1	0.9994030118740009	chr6	48792.0	IMR90|chr6:43092837-43092901	IMR90|chr6:43044076-43044077
1	0.999509830543271	chr11	64978.0	IMR90|chr11:65254806-65255640	IMR90|chr11:65190244-65190245
1	0.999509830543271	chr11	64954.0	IMR90|chr11:65254806-65255640	IMR90|chr11:65190268-65190269
1	0.999509830543271	chr11	64937.0	IMR90|chr11:65254806-65255640	IMR90|chr11:65190285-65190286
1	0.9998107051699332	chr8	122580.0	IMR90|chr8:23267841-23268203	IMR90|chr8:23145441-23145442
1	0.99932622829891	chr8	123105.0	IMR90|chr8:23268470-23268624	IMR90|chr8:23145441-23145442
1	0.9980232905320577	chr5	8311.0	IMR90|chr5:153578462-153578740	IMR90|chr5:153570289-153570290
1	0.9987529706774174	chr6	717502.5	IMR90|chr6:20876227-20876712	IMR90|chr6:21593971-21593972
1	0.9923387933782019	chr5	216305.5	IMR90|chr5:153786405-153786786	IMR90|chr5:153570289-153570290
1	0.9382101801584595	chr5	3000.5	IMR90|chr5:153786405-153786786	IMR90|chr5:153783594-153783595
1	0.998251151363266	chr6	716581.0	IMR90|chr6:20877249-20877533	IMR90|chr6:21593971-21593972
1	0.9986328006232114	chr6	716194.5	IMR90|chr6:20877561-20877994	IMR90|chr6:21593971-21593972
1	0.9996516618028259	chr8	121730.5	IMR90|chr8:23266965-23267380	IMR90|chr8:23145441-23145442
1	0.9919849760885213	chr11	68152.0	IMR90|chr11:46263481-46265631	IMR90|chr11:46332707-46332708
1	0.9998627416607265	chr8	123296.0	IMR90|chr8:23268630-23268846	IMR90|chr8:23145441-23145442
1	0.9992633138168012	chr6	109617.5	IMR90|chr6:160100891-160101562	IMR90|chr6:160210843-160210844
1	0.9990800363811637	chr6	110271.5	IMR90|chr6:160100891-160101562	IMR90|chr6:160211497-160211498
1	0.9990238703583698	chr6	107323.0	IMR90|chr6:160103298-160103744	IMR90|chr6:160210843-160210844
1	0.9987850407622008	chr6	107977.0	IMR90|chr6:160103298-160103744	IMR90|chr6:160211497-160211498
1	0.999748757593194	chr8	123686.5	IMR90|chr8:23268958-23269299	IMR90|chr8:23145441-23145442
1	0.9948809554561663	chr6	301765.0	IMR90|chr6:161393114-161393542	IMR90|chr6:161695092-161695093
1	0.9916772683649459	chr6	300614.5	IMR90|chr6:161394222-161394735	IMR90|chr6:161695092-161695093
1	0.9889021421172457	chr6	300014.0	IMR90|chr6:161394900-161395258	IMR90|chr6:161695092-161695093
1	0.9944325171315523	chr6	299510.0	IMR90|chr6:161395322-161395844	IMR90|chr6:161695092-161695093
1	0.9940476462205322	chr5	204994.0	IMR90|chr5:153578462-153578740	IMR90|chr5:153783594-153783595
1	0.9995128928245273	chr6	48863.0	IMR90|chr6:43092837-43092901	IMR90|chr6:43044005-43044006
1	0.9993323542921172	chr5	328935.0	IMR90|chr5:80718452-80718910	IMR90|chr5:81047615-81047616
1	0.9986267380080276	chr5	292668.5	IMR90|chr5:151119425-151120226	IMR90|chr5:150827156-150827157
1	0.9992300437526345	chr5	293225.0	IMR90|chr5:151120246-151120518	IMR90|chr5:150827156-150827157
1	0.9988923163685668	chr11	65847.5	IMR90|chr11:65255901-65256284	IMR90|chr11:65190244-65190245
1	0.9988923163685668	chr11	65823.5	IMR90|chr11:65255901-65256284	IMR90|chr11:65190268-65190269
1	0.9988923163685668	chr11	65806.5	IMR90|chr11:65255901-65256284	IMR90|chr11:65190285-65190286
1	0.9996659166199009	chr6	48573.5	IMR90|chr6:43092902-43093349	IMR90|chr6:43044551-43044552
1	0.9971850340530124	chr5	293666.0	IMR90|chr5:151120612-151121034	IMR90|chr5:150827156-150827157
1	0.9995591951881049	chr6	49045.5	IMR90|chr6:43092902-43093349	IMR90|chr6:43044079-43044080
1	0.9995591951881049	chr6	49048.5	IMR90|chr6:43092902-43093349	IMR90|chr6:43044076-43044077
1	0.9996260397178236	chr6	49119.5	IMR90|chr6:43092902-43093349	IMR90|chr6:43044005-43044006
1	0.9983924981546822	chr5	294231.0	IMR90|chr5:151121244-151121532	IMR90|chr5:150827156-150827157
1	0.9996441451310644	chr5	328388.0	IMR90|chr5:80718452-80718910	IMR90|chr5:81047068-81047069
1	0.9994256810288226	chr5	304323.5	IMR90|chr5:149523797-149524508	IMR90|chr5:149828475-149828476
1	0.9992487808275156	chr5	305106.5	IMR90|chr5:149523797-149524508	IMR90|chr5:149829258-149829259
1	0.9992217208365474	chr5	305157.5	IMR90|chr5:149523797-149524508	IMR90|chr5:149829309-149829310
1	0.9992217208365474	chr5	305166.5	IMR90|chr5:149523797-149524508	IMR90|chr5:149829318-149829319
1	0.9980384244870013	chr5	330620.5	IMR90|chr5:80716034-80716457	IMR90|chr5:81046865-81046866
1	0.9969010436498621	chr5	331370.5	IMR90|chr5:80716034-80716457	IMR90|chr5:81047615-81047616
