true	pred	chrom	distance	enhancer_name	promoter_name
1	0.20482667466613935	chr7	145205.5	IMR90|chr7:42131035-42131778	IMR90|chr7:42276611-42276612
1	0.1257356687736417	chr7	139039.5	IMR90|chr7:42137297-42137848	IMR90|chr7:42276611-42276612
1	0.10770473840254148	chr7	136805.0	IMR90|chr7:42139394-42140220	IMR90|chr7:42276611-42276612
1	0.03325545543181545	chr4	608887.0	IMR90|chr4:77964905-77965375	IMR90|chr4:77356252-77356253
1	0.19505387712467695	chr19	150721.0	IMR90|chr19:42750378-42750740	IMR90|chr19:42901279-42901280
1	0.12913426770069694	chr19	212470.5	IMR90|chr19:18527179-18527530	IMR90|chr19:18314883-18314884
1	0.2016482593517252	chr19	283246.5	IMR90|chr19:42617659-42618408	IMR90|chr19:42901279-42901280
1	0.04416976510298106	chr19	211335.0	IMR90|chr19:18525711-18526727	IMR90|chr19:18314883-18314884
1	0.39019862301800606	chr19	213884.0	IMR90|chr19:42615416-42616338	IMR90|chr19:42829760-42829761
1	0.6274383370791852	chr19	214519.0	IMR90|chr19:42615416-42616338	IMR90|chr19:42830395-42830396
1	0.0736006207403794	chr19	285403.0	IMR90|chr19:42615416-42616338	IMR90|chr19:42901279-42901280
1	0.7586905424963762	chr4	174505.0	IMR90|chr4:6895097-6895741	IMR90|chr4:7069923-7069924
1	0.5518454251815774	chr4	175717.0	IMR90|chr4:6893922-6894492	IMR90|chr4:7069923-7069924
1	0.5152548533057308	chr19	211727.5	IMR90|chr19:42617659-42618408	IMR90|chr19:42829760-42829761
1	0.7524834399212161	chr19	212362.5	IMR90|chr19:42617659-42618408	IMR90|chr19:42830395-42830396
1	0.16101076751361304	chr3	109020.5	IMR90|chr3:137796895-137797316	IMR90|chr3:137906125-137906126
1	0.16059904253356289	chr3	109041.5	IMR90|chr3:137796895-137797316	IMR90|chr3:137906146-137906147
1	0.15377057437059366	chr3	109086.5	IMR90|chr3:137796895-137797316	IMR90|chr3:137906191-137906192
1	0.2636727687428505	chr3	109265.5	IMR90|chr3:137796895-137797316	IMR90|chr3:137906370-137906371
1	0.2636727687428505	chr3	109267.5	IMR90|chr3:137796895-137797316	IMR90|chr3:137906372-137906373
1	0.7028953478285873	chr19	210984.0	IMR90|chr19:18318772-18319552	IMR90|chr19:18530145-18530146
1	0.7028953478285873	chr19	211003.0	IMR90|chr19:18318772-18319552	IMR90|chr19:18530164-18530165
1	0.5434169682784076	chr19	33401.0	IMR90|chr19:10300360-10300578	IMR90|chr19:10333869-10333870
1	0.20538816032511417	chr3	108167.0	IMR90|chr3:137797640-137798320	IMR90|chr3:137906146-137906147
1	0.32565288177532536	chr19	50354.0	IMR90|chr19:18168964-18169698	IMR90|chr19:18118976-18118977
1	0.395671222371858	chr19	31633.0	IMR90|chr19:10301991-10302483	IMR90|chr19:10333869-10333870
1	0.2058865463282934	chr3	108146.0	IMR90|chr3:137797640-137798320	IMR90|chr3:137906125-137906126
1	0.19860042162126712	chr3	108212.0	IMR90|chr3:137797640-137798320	IMR90|chr3:137906191-137906192
1	0.32320074691217826	chr19	309016.5	IMR90|chr19:10055891-10056668	IMR90|chr19:10365295-10365296
1	0.36182052050340874	chr19	306406.5	IMR90|chr19:10055891-10056668	IMR90|chr19:10362685-10362686
1	0.36182052050340874	chr19	306363.5	IMR90|chr19:10055891-10056668	IMR90|chr19:10362642-10362643
1	0.36182052050340874	chr19	306360.5	IMR90|chr19:10055891-10056668	IMR90|chr19:10362639-10362640
1	0.46920367697769444	chr19	44487.5	IMR90|chr19:18389325-18389462	IMR90|chr19:18433880-18433881
1	0.4689638889968211	chr19	44528.5	IMR90|chr19:18389325-18389462	IMR90|chr19:18433921-18433922
1	0.46146556370208114	chr19	44690.5	IMR90|chr19:18389325-18389462	IMR90|chr19:18434083-18434084
1	0.9800323592722691	chr19	30193.5	IMR90|chr19:41829343-41829902	IMR90|chr19:41859815-41859816
1	0.618000907077385	chr19	306623.5	IMR90|chr19:10055891-10056668	IMR90|chr19:10362902-10362903
1	0.3474776680347476	chr3	108391.0	IMR90|chr3:137797640-137798320	IMR90|chr3:137906370-137906371
1	0.3474776680347476	chr3	108393.0	IMR90|chr3:137797640-137798320	IMR90|chr3:137906372-137906373
1	0.9805908816984868	chr19	30711.5	IMR90|chr19:41828886-41829323	IMR90|chr19:41859815-41859816
1	0.9053520136132147	chr3	388610.5	IMR90|chr3:170527042-170528235	IMR90|chr3:170139027-170139028
1	0.298293399601927	chr3	193233.5	IMR90|chr3:154604129-154604694	IMR90|chr3:154797644-154797645
1	0.04486481160604898	chr3	433704.0	IMR90|chr3:45701058-45701890	IMR90|chr3:45267769-45267770
1	0.9904648417192656	chr3	50643.5	IMR90|chr3:158440758-158441493	IMR90|chr3:158390481-158390482
1	0.9967275680124369	chr3	52885.0	IMR90|chr3:158443072-158443662	IMR90|chr3:158390481-158390482
1	0.9947352748652037	chr3	54796.5	IMR90|chr3:158445178-158445379	IMR90|chr3:158390481-158390482
1	0.2949184808644984	chr3	193024.5	IMR90|chr3:154604129-154604694	IMR90|chr3:154797435-154797436
1	0.05193246070138005	chr3	194709.0	IMR90|chr3:154602639-154603233	IMR90|chr3:154797644-154797645
1	0.051141744592626645	chr3	194500.0	IMR90|chr3:154602639-154603233	IMR90|chr3:154797435-154797436
1	0.05816919929659753	chr3	440602.0	IMR90|chr3:45708177-45708567	IMR90|chr3:45267769-45267770
1	0.20795484290053542	chr3	52339.5	IMR90|chr3:86987499-86988336	IMR90|chr3:87040256-87040257
1	0.008668131539465565	chr3	98565.5	IMR90|chr3:87137543-87139292	IMR90|chr3:87039851-87039852
1	0.0032323276393192504	chr3	98160.5	IMR90|chr3:87137543-87139292	IMR90|chr3:87040256-87040257
1	0.35960262065831267	chr3	51934.5	IMR90|chr3:86987499-86988336	IMR90|chr3:87039851-87039852
1	0.9856942231753518	chr3	55282.0	IMR90|chr3:158445597-158445931	IMR90|chr3:158390481-158390482
1	0.09259360276592747	chr3	53518.0	IMR90|chr3:86986322-86987156	IMR90|chr3:87040256-87040257
1	0.05691429904121945	chr3	440998.5	IMR90|chr3:45708577-45708960	IMR90|chr3:45267769-45267770
1	0.1798161889563838	chr3	53113.0	IMR90|chr3:86986322-86987156	IMR90|chr3:87039851-87039852
1	0.24720442210117272	chr3	441892.0	IMR90|chr3:45709451-45709873	IMR90|chr3:45267769-45267770
1	0.5499643182813916	chrX	106809.5	IMR90|chrX:109083185-109083496	IMR90|chrX:108976530-108976531
1	0.5223146825205222	chr7	57556.0	IMR90|chr7:106358603-106359393	IMR90|chr7:106301441-106301442
1	0.10133113494541436	chr7	56436.0	IMR90|chr7:106357702-106358054	IMR90|chr7:106301441-106301442
1	0.5499643182813916	chrX	106708.5	IMR90|chrX:109083185-109083496	IMR90|chrX:108976631-108976632
1	0.7688310963360392	chrX	107428.5	IMR90|chrX:109083681-109084238	IMR90|chrX:108976530-108976531
1	0.7688310963360392	chrX	107327.5	IMR90|chrX:109083681-109084238	IMR90|chrX:108976631-108976632
1	0.8150708476983283	chr3	115461.5	IMR90|chr3:16100532-16100977	IMR90|chr3:16216215-16216216
1	0.6821538260881863	chr19	691379.0	IMR90|chr19:13952058-13952684	IMR90|chr19:13260991-13260992
1	0.6624253438785573	chr19	691331.0	IMR90|chr19:13952058-13952684	IMR90|chr19:13261039-13261040
1	0.6577078151840121	chr19	691319.0	IMR90|chr19:13952058-13952684	IMR90|chr19:13261051-13261052
1	0.6218824402399695	chr19	691270.0	IMR90|chr19:13952058-13952684	IMR90|chr19:13261100-13261101
1	0.6498728591854177	chr19	691211.0	IMR90|chr19:13952058-13952684	IMR90|chr19:13261159-13261160
1	0.16431787344048096	chr19	691174.0	IMR90|chr19:13952058-13952684	IMR90|chr19:13261196-13261197
1	0.9415186286014221	chr19	691124.0	IMR90|chr19:13952058-13952684	IMR90|chr19:13261246-13261247
1	0.38711891196252246	chr19	689582.0	IMR90|chr19:13952058-13952684	IMR90|chr19:13262788-13262789
1	0.04049740413482855	chr7	112135.0	IMR90|chr7:73265137-73265527	IMR90|chr7:73153196-73153197
1	0.04049740413482855	chr7	112170.0	IMR90|chr7:73265137-73265527	IMR90|chr7:73153161-73153162
1	0.04049740413482855	chr7	112179.0	IMR90|chr7:73265137-73265527	IMR90|chr7:73153152-73153153
1	0.04049740413482855	chr7	112263.0	IMR90|chr7:73265137-73265527	IMR90|chr7:73153068-73153069
1	0.7240432724150383	chr3	73402.0	IMR90|chr3:124847562-124848846	IMR90|chr3:124774801-124774802
1	0.9689951452197886	chr3	114139.5	IMR90|chr3:16101778-16102255	IMR90|chr3:16216155-16216156
1	0.9689951452197886	chr3	114199.5	IMR90|chr3:16101778-16102255	IMR90|chr3:16216215-16216216
1	0.8150708476983283	chr3	115401.5	IMR90|chr3:16100532-16100977	IMR90|chr3:16216155-16216156
1	0.5818549630223948	chr19	692725.0	IMR90|chr19:13953574-13953860	IMR90|chr19:13260991-13260992
1	0.5599172893880372	chr19	692677.0	IMR90|chr19:13953574-13953860	IMR90|chr19:13261039-13261040
1	0.5599172893880372	chr19	692665.0	IMR90|chr19:13953574-13953860	IMR90|chr19:13261051-13261052
1	0.5213061496139949	chr19	692616.0	IMR90|chr19:13953574-13953860	IMR90|chr19:13261100-13261101
1	0.5513707711191379	chr19	692557.0	IMR90|chr19:13953574-13953860	IMR90|chr19:13261159-13261160
1	0.11358693776111338	chr19	692520.0	IMR90|chr19:13953574-13953860	IMR90|chr19:13261196-13261197
1	0.8754527945597825	chr19	692470.0	IMR90|chr19:13953574-13953860	IMR90|chr19:13261246-13261247
