true	pred	chrom	distance	enhancer_name	promoter_name
1	0.8948	chr16	112262	HeLa|chr16:80958303-80958747	HeLa|chr16:81070786-81070787
1	0.1012	chr12	205349	HeLa|chr12:69455405-69455942	HeLa|chr12:69250323-69250324
1	0.8948	chr16	112267	HeLa|chr16:80958303-80958747	HeLa|chr16:81070791-81070792
1	0.9908	chr14	30950	HeLa|chr14:77525674-77526295	HeLa|chr14:77495033-77495034
1	0.8431	chr16	110927	HeLa|chr16:80958303-80958747	HeLa|chr16:81069451-81069452
1	0.161	chr12	208549	HeLa|chr12:69458514-69459233	HeLa|chr12:69250323-69250324
1	0.8103	chr16	117526	HeLa|chr16:84655767-84656013	HeLa|chr16:84538363-84538364
1	0.8103	chr16	117625	HeLa|chr16:84655767-84656013	HeLa|chr16:84538264-84538265
1	0.8103	chr16	117628	HeLa|chr16:84655767-84656013	HeLa|chr16:84538261-84538262
1	0.8184	chr16	117219	HeLa|chr16:84655435-84655527	HeLa|chr16:84538261-84538262
1	0.8184	chr16	117216	HeLa|chr16:84655435-84655527	HeLa|chr16:84538264-84538265
1	0.8184	chr16	117117	HeLa|chr16:84655435-84655527	HeLa|chr16:84538363-84538364
1	0.1349	chr12	203411	HeLa|chr12:69453680-69453791	HeLa|chr12:69250323-69250324
1	0.9759	chr14	81141	HeLa|chr14:77413483-77414303	HeLa|chr14:77495033-77495034
1	0.9831	chr16	18265	HeLa|chr16:75516757-75517043	HeLa|chr16:75498634-75498635
1	0.9831	chr16	18304	HeLa|chr16:75516757-75517043	HeLa|chr16:75498595-75498596
1	0.9831	chr16	18313	HeLa|chr16:75516757-75517043	HeLa|chr16:75498586-75498587
1	0.9792	chr16	19005	HeLa|chr16:75517122-75517516	HeLa|chr16:75498313-75498314
1	0.1023	chr12	204879	HeLa|chr12:69455045-69455362	HeLa|chr12:69250323-69250324
1	0.9827	chr16	18749	HeLa|chr16:75517122-75517516	HeLa|chr16:75498569-75498570
1	0.9827	chr16	18732	HeLa|chr16:75517122-75517516	HeLa|chr16:75498586-75498587
1	0.9827	chr16	18723	HeLa|chr16:75517122-75517516	HeLa|chr16:75498595-75498596
1	0.9831	chr16	18330	HeLa|chr16:75516757-75517043	HeLa|chr16:75498569-75498570
1	0.9797	chr16	18586	HeLa|chr16:75516757-75517043	HeLa|chr16:75498313-75498314
1	0.9827	chr16	18684	HeLa|chr16:75517122-75517516	HeLa|chr16:75498634-75498635
1	0.9815	chr14	19788	HeLa|chr14:93601729-93602280	HeLa|chr14:93582215-93582216
1	0.9815	chr14	19837	HeLa|chr14:93601729-93602280	HeLa|chr14:93582166-93582167
1	0.3464	chr12	211237	HeLa|chr12:69461414-69461708	HeLa|chr12:69250323-69250324
