label,enhancer_distance_to_promoter,enhancer_chrom,enhancer_start,enhancer_end,enhancer_name,promoter_chrom,promoter_start,promoter_end,promoter_name
1,36769.5,chr16,676807,676886,IMR90|chr16:676807-676886,chr16,638577,640577,IMR90|chr16:640076-640077
1,70243.5,chr5,148591156,148591423,IMR90|chr5:148591156-148591423,chr5,148519546,148521546,IMR90|chr5:148521045-148521046
1,82113.5,chr11,8749926,8750621,IMR90|chr11:8749926-8750621,chr11,8831887,8833887,IMR90|chr11:8832386-8832387
1,10666.5,chr11,8749926,8750621,IMR90|chr11:8749926-8750621,chr11,8739107,8741107,IMR90|chr11:8739606-8739607
1,194288.0,chr10,75648704,75649188,IMR90|chr10:75648704-75649188,chr10,75841734,75843734,IMR90|chr10:75843233-75843234
1,145205.5,chr7,42131035,42131778,IMR90|chr7:42131035-42131778,chr7,42276112,42278112,IMR90|chr7:42276611-42276612
1,139039.5,chr7,42137297,42137848,IMR90|chr7:42137297-42137848,chr7,42276112,42278112,IMR90|chr7:42276611-42276612
1,38932.5,chr1,8723209,8723534,IMR90|chr1:8723209-8723534,chr1,8683939,8685939,IMR90|chr1:8684438-8684439
1,70497.0,chr5,148591633,148592129,IMR90|chr5:148591633-148592129,chr5,148519884,148521884,IMR90|chr5:148521383-148521384
1,70567.0,chr5,148591633,148592129,IMR90|chr5:148591633-148592129,chr5,148519814,148521814,IMR90|chr5:148521313-148521314
1,70704.0,chr5,148591633,148592129,IMR90|chr5:148591633-148592129,chr5,148519677,148521677,IMR90|chr5:148521176-148521177
1,70827.0,chr5,148591633,148592129,IMR90|chr5:148591633-148592129,chr5,148519554,148521554,IMR90|chr5:148521053-148521054
1,70835.0,chr5,148591633,148592129,IMR90|chr5:148591633-148592129,chr5,148519546,148521546,IMR90|chr5:148521045-148521046
1,136805.0,chr7,42139394,42140220,IMR90|chr7:42139394-42140220,chr7,42276112,42278112,IMR90|chr7:42276611-42276612
1,37587.5,chr1,8721723,8722330,IMR90|chr1:8721723-8722330,chr1,8683939,8685939,IMR90|chr1:8684438-8684439
1,191074.0,chr13,42222400,42223138,IMR90|chr13:42222400-42223138,chr13,42030195,42032195,IMR90|chr13:42031694-42031695
1,244193.0,chr12,109199009,109199251,IMR90|chr12:109199009-109199251,chr12,108954437,108956437,IMR90|chr12:108954936-108954937
1,243965.0,chr12,109199009,109199251,IMR90|chr12:109199009-109199251,chr12,108954665,108956665,IMR90|chr12:108955164-108955165
1,42099.0,chr5,148767532,148767968,IMR90|chr5:148767532-148767968,chr5,148808349,148810349,IMR90|chr5:148809848-148809849
1,242753.0,chr12,109199009,109199251,IMR90|chr12:109199009-109199251,chr12,108954877,108956877,IMR90|chr12:108956376-108956377
1,242748.0,chr12,109199009,109199251,IMR90|chr12:109199009-109199251,chr12,108954882,108956882,IMR90|chr12:108956381-108956382
1,37091.5,chr1,8721407,8721654,IMR90|chr1:8721407-8721654,chr1,8683939,8685939,IMR90|chr1:8684438-8684439
1,126397.0,chr8,42269727,42270771,IMR90|chr8:42269727-42270771,chr8,42396146,42398146,IMR90|chr8:42396645-42396646
1,126507.0,chr8,42269727,42270771,IMR90|chr8:42269727-42270771,chr8,42395256,42397256,IMR90|chr8:42396755-42396756
1,126605.0,chr8,42269727,42270771,IMR90|chr8:42269727-42270771,chr8,42396354,42398354,IMR90|chr8:42396853-42396854
1,82614.5,chr11,8749926,8750621,IMR90|chr11:8749926-8750621,chr11,8832388,8834388,IMR90|chr11:8832887-8832888
1,70235.5,chr5,148591156,148591423,IMR90|chr5:148591156-148591423,chr5,148519554,148521554,IMR90|chr5:148521053-148521054
1,300353.5,chr1,32421554,32422051,IMR90|chr1:32421554-32422051,chr1,32120949,32122949,IMR90|chr1:32121448-32121449
1,70112.5,chr5,148591156,148591423,IMR90|chr5:148591156-148591423,chr5,148519677,148521677,IMR90|chr5:148521176-148521177
1,96120.5,chr11,8835148,8836307,IMR90|chr11:8835148-8836307,chr11,8739107,8741107,IMR90|chr11:8739606-8739607
1,3340.5,chr11,8835148,8836307,IMR90|chr11:8835148-8836307,chr11,8831887,8833887,IMR90|chr11:8832386-8832387
1,2839.5,chr11,8835148,8836307,IMR90|chr11:8835148-8836307,chr11,8832388,8834388,IMR90|chr11:8832887-8832888
1,131769.5,chr11,8835148,8836307,IMR90|chr11:8835148-8836307,chr11,8702458,8704458,IMR90|chr11:8703957-8703958
1,131392.5,chr11,8835148,8836307,IMR90|chr11:8835148-8836307,chr11,8702835,8704835,IMR90|chr11:8704334-8704335
1,131391.5,chr11,8835148,8836307,IMR90|chr11:8835148-8836307,chr11,8702836,8704836,IMR90|chr11:8704335-8704336
1,131388.5,chr11,8835148,8836307,IMR90|chr11:8835148-8836307,chr11,8702839,8704839,IMR90|chr11:8704338-8704339
1,131370.5,chr11,8835148,8836307,IMR90|chr11:8835148-8836307,chr11,8702857,8704857,IMR90|chr11:8704356-8704357
1,130979.5,chr11,8835148,8836307,IMR90|chr11:8835148-8836307,chr11,8703248,8705248,IMR90|chr11:8704747-8704748
1,129921.5,chr11,8835148,8836307,IMR90|chr11:8835148-8836307,chr11,8704306,8706306,IMR90|chr11:8705805-8705806
1,229516.0,chr8,142085193,142086617,IMR90|chr8:142085193-142086617,chr8,141855889,141857889,IMR90|chr8:141856388-141856389
1,89237.0,chr18,8794413,8795379,IMR90|chr18:8794413-8795379,chr18,8704159,8706159,IMR90|chr18:8705658-8705659
1,68644.0,chr5,148589723,148590333,IMR90|chr5:148589723-148590333,chr5,148519884,148521884,IMR90|chr5:148521383-148521384
1,68714.0,chr5,148589723,148590333,IMR90|chr5:148589723-148590333,chr5,148519814,148521814,IMR90|chr5:148521313-148521314
1,68851.0,chr5,148589723,148590333,IMR90|chr5:148589723-148590333,chr5,148519677,148521677,IMR90|chr5:148521176-148521177
1,68974.0,chr5,148589723,148590333,IMR90|chr5:148589723-148590333,chr5,148519554,148521554,IMR90|chr5:148521053-148521054
1,68982.0,chr5,148589723,148590333,IMR90|chr5:148589723-148590333,chr5,148519546,148521546,IMR90|chr5:148521045-148521046
1,289878.5,chr12,109244624,109245007,IMR90|chr12:109244624-109245007,chr12,108954437,108956437,IMR90|chr12:108954936-108954937
1,289650.5,chr12,109244624,109245007,IMR90|chr12:109244624-109245007,chr12,108954665,108956665,IMR90|chr12:108955164-108955165
1,288438.5,chr12,109244624,109245007,IMR90|chr12:109244624-109245007,chr12,108954877,108956877,IMR90|chr12:108956376-108956377
1,288433.5,chr12,109244624,109245007,IMR90|chr12:109244624-109245007,chr12,108954882,108956882,IMR90|chr12:108956381-108956382
1,69905.5,chr5,148591156,148591423,IMR90|chr5:148591156-148591423,chr5,148519884,148521884,IMR90|chr5:148521383-148521384
1,69975.5,chr5,148591156,148591423,IMR90|chr5:148591156-148591423,chr5,148519814,148521814,IMR90|chr5:148521313-148521314
1,126820.0,chr8,42269727,42270771,IMR90|chr8:42269727-42270771,chr8,42396569,42398569,IMR90|chr8:42397068-42397069
1,157485.5,chr1,32421554,32422051,IMR90|chr1:32421554-32422051,chr1,32263817,32265817,IMR90|chr1:32264316-32264317
1,291664.5,chr12,109247845,109248248,IMR90|chr12:109247845-109248248,chr12,108954882,108956882,IMR90|chr12:108956381-108956382
1,242450.5,chr12,109197143,109197632,IMR90|chr12:109197143-109197632,chr12,108954437,108956437,IMR90|chr12:108954936-108954937
1,241010.5,chr12,109197143,109197632,IMR90|chr12:109197143-109197632,chr12,108954877,108956877,IMR90|chr12:108956376-108956377
1,241005.5,chr12,109197143,109197632,IMR90|chr12:109197143-109197632,chr12,108954882,108956882,IMR90|chr12:108956381-108956382
1,306802.5,chr5,149521145,149522202,IMR90|chr5:149521145-149522202,chr5,149827976,149829976,IMR90|chr5:149828475-149828476
1,307585.5,chr5,149521145,149522202,IMR90|chr5:149521145-149522202,chr5,149828759,149830759,IMR90|chr5:149829258-149829259
1,307636.5,chr5,149521145,149522202,IMR90|chr5:149521145-149522202,chr5,149828810,149830810,IMR90|chr5:149829309-149829310
1,307645.5,chr5,149521145,149522202,IMR90|chr5:149521145-149522202,chr5,149828819,149830819,IMR90|chr5:149829318-149829319
1,608887.0,chr4,77964905,77965375,IMR90|chr4:77964905-77965375,chr4,77354753,77356753,IMR90|chr4:77356252-77356253
1,299024.5,chr1,32420249,32420698,IMR90|chr1:32420249-32420698,chr1,32120949,32122949,IMR90|chr1:32121448-32121449
1,156156.5,chr1,32420249,32420698,IMR90|chr1:32420249-32420698,chr1,32263817,32265817,IMR90|chr1:32264316-32264317
1,156033.5,chr1,32420249,32420698,IMR90|chr1:32420249-32420698,chr1,32263940,32265940,IMR90|chr1:32264439-32264440
1,254941.0,chr1,78002422,78002932,IMR90|chr1:78002422-78002932,chr1,77746236,77748236,IMR90|chr1:77747735-77747736
1,241723.0,chr12,109196533,109196787,IMR90|chr12:109196533-109196787,chr12,108954437,108956437,IMR90|chr12:108954936-108954937
1,241495.0,chr12,109196533,109196787,IMR90|chr12:109196533-109196787,chr12,108954665,108956665,IMR90|chr12:108955164-108955165
