true	pred	chrom	distance	enhancer_name	promoter_name
1	0.7066	chr9	92874	HMEC|chr9:613609-614420	HMEC|chr9:706888-706889
1	0.5386	chr22	45368	HMEC|chr22:38744067-38744697	HMEC|chr22:38699013-38699014
1	0.5916	chr22	47614	HMEC|chr22:38744067-38744697	HMEC|chr22:38696767-38696768
1	0.7484	chr22	48352	HMEC|chr22:38744067-38744697	HMEC|chr22:38696029-38696030
1	0.3475	chr22	53849	HMEC|chr22:38744067-38744697	HMEC|chr22:38690532-38690533
1	0.8809	chr22	99220	HMEC|chr22:37724149-37724421	HMEC|chr22:37823504-37823505
1	0.7067	chr22	98153	HMEC|chr22:37725180-37725524	HMEC|chr22:37823504-37823505
1	0.7553	chr22	97835	HMEC|chr22:37725542-37725798	HMEC|chr22:37823504-37823505
1	0.7407	chr22	96172	HMEC|chr22:37727176-37727490	HMEC|chr22:37823504-37823505
1	0.871	chr22	44740	HMEC|chr22:38283524-38284200	HMEC|chr22:38328601-38328602
1	0.6445	chr9	267162	HMEC|chr9:114874888-114875572	HMEC|chr9:115142391-115142392
1	0.6445	chr9	267154	HMEC|chr9:114874888-114875572	HMEC|chr9:115142383-115142384
1	0.6445	chr9	266987	HMEC|chr9:114874888-114875572	HMEC|chr9:115142216-115142217
1	0.927	chr17	32360	HMEC|chr17:39736471-39736818	HMEC|chr17:39769004-39769005
1	0.927	chr17	32506	HMEC|chr17:39736471-39736818	HMEC|chr17:39769150-39769151
1	0.9237	chr17	33153	HMEC|chr17:39735746-39736250	HMEC|chr17:39769150-39769151
1	0.9456	chr9	133256	HMEC|chr9:117050926-117051266	HMEC|chr9:116917839-116917840
1	0.9455	chr9	132782	HMEC|chr9:117050388-117050857	HMEC|chr9:116917839-116917840
1	0.9237	chr17	33007	HMEC|chr17:39735746-39736250	HMEC|chr17:39769004-39769005
1	0.7313	chr9	47803	HMEC|chr9:124084386-124085060	HMEC|chr9:124132525-124132526
1	0.7458	chr9	47760	HMEC|chr9:124084386-124085060	HMEC|chr9:124132482-124132483
1	0.7782	chr9	49644	HMEC|chr9:124082757-124083006	HMEC|chr9:124132525-124132526
1	0.6205	chr9	49601	HMEC|chr9:124082757-124083006	HMEC|chr9:124132482-124132483
1	0.9053	chr22	74133	HMEC|chr22:36310591-36310944	HMEC|chr22:36236633-36236634
1	0.9041	chr22	74307	HMEC|chr22:36310591-36310944	HMEC|chr22:36236459-36236460
1	0.9041	chr22	74313	HMEC|chr22:36310591-36310944	HMEC|chr22:36236453-36236454
