true	pred	chrom	distance	enhancer_name	promoter_name
1	0.7022	chr19	72706	HMEC|chr19:38470286-38470863	HMEC|chr19:38397867-38397868
1	0.9474	chr3	53819	HMEC|chr3:119866015-119866649	HMEC|chr3:119812512-119812513
1	0.9557	chr3	53068	HMEC|chr3:119866015-119866649	HMEC|chr3:119813263-119813264
1	0.9439	chr3	52147	HMEC|chr3:119864155-119865166	HMEC|chr3:119812512-119812513
1	0.9455	chr3	51396	HMEC|chr3:119864155-119865166	HMEC|chr3:119813263-119813264
1	0.8948	chr4	67239	HMEC|chr4:119266913-119267293	HMEC|chr4:119199863-119199864
1	0.8925	chr4	67193	HMEC|chr4:119266913-119267293	HMEC|chr4:119199909-119199910
1	0.8925	chr4	67190	HMEC|chr4:119266913-119267293	HMEC|chr4:119199912-119199913
1	0.8979	chr4	66888	HMEC|chr4:119266913-119267293	HMEC|chr4:119200214-119200215
1	0.887	chr4	66264	HMEC|chr4:119265962-119266295	HMEC|chr4:119199863-119199864
1	0.8851	chr4	66218	HMEC|chr4:119265962-119266295	HMEC|chr4:119199909-119199910
1	0.8851	chr4	66215	HMEC|chr4:119265962-119266295	HMEC|chr4:119199912-119199913
1	0.8909	chr4	65913	HMEC|chr4:119265962-119266295	HMEC|chr4:119200214-119200215
1	0.6815	chr19	74744	HMEC|chr19:39034535-39035447	HMEC|chr19:39109734-39109735
1	0.6815	chr19	74746	HMEC|chr19:39034535-39035447	HMEC|chr19:39109736-39109737
1	0.3385	chr4	318840	HMEC|chr4:119903039-119903432	HMEC|chr4:120222075-120222076
1	0.5082	chr4	322364	HMEC|chr4:119903039-119903432	HMEC|chr4:120225599-120225600
1	0.4525	chr4	312766	HMEC|chr4:119909220-119909400	HMEC|chr4:120222075-120222076
1	0.3734	chr4	316290	HMEC|chr4:119909220-119909400	HMEC|chr4:120225599-120225600
1	0.9569	chr4	109214	HMEC|chr4:120024372-120024992	HMEC|chr4:120133895-120133896
1	0.9356	chr4	109907	HMEC|chr4:120023821-120024157	HMEC|chr4:120133895-120133896
1	0.5593	chr4	315494	HMEC|chr4:119909963-119910248	HMEC|chr4:120225599-120225600
1	0.416	chr4	311970	HMEC|chr4:119909963-119910248	HMEC|chr4:120222075-120222076
1	0.6815	chr19	74843	HMEC|chr19:39034535-39035447	HMEC|chr19:39109833-39109834
1	0.6815	chr19	74845	HMEC|chr19:39034535-39035447	HMEC|chr19:39109835-39109836
1	0.6815	chr19	74860	HMEC|chr19:39034535-39035447	HMEC|chr19:39109850-39109851
1	0.8211	chr7	266050	HMEC|chr7:115898758-115899268	HMEC|chr7:116165062-116165063
1	0.8211	chr7	266042	HMEC|chr7:115898758-115899268	HMEC|chr7:116165054-116165055
1	0.8025	chr7	265826	HMEC|chr7:115898758-115899268	HMEC|chr7:116164838-116164839
1	0.8342	chr7	267318	HMEC|chr7:115898758-115899268	HMEC|chr7:116166330-116166331
1	0.8342	chr7	267023	HMEC|chr7:115898758-115899268	HMEC|chr7:116166035-116166036
1	0.392	chr7	130574	HMEC|chr7:116442773-116443263	HMEC|chr7:116312443-116312444
1	0.1568	chr19	233949	HMEC|chr19:39127415-39128033	HMEC|chr19:38893774-38893775
1	0.392	chr7	130572	HMEC|chr7:116442773-116443263	HMEC|chr7:116312445-116312446
1	0.327	chr7	129015	HMEC|chr7:116441102-116441816	HMEC|chr7:116312443-116312444
1	0.327	chr7	129013	HMEC|chr7:116441102-116441816	HMEC|chr7:116312445-116312446
1	0.8395	chr7	266211	HMEC|chr7:115899834-115900438	HMEC|chr7:116166346-116166347
1	0.8395	chr7	266195	HMEC|chr7:115899834-115900438	HMEC|chr7:116166330-116166331
1	0.8395	chr7	265900	HMEC|chr7:115899834-115900438	HMEC|chr7:116166035-116166036
1	0.8326	chr7	264927	HMEC|chr7:115899834-115900438	HMEC|chr7:116165062-116165063
1	0.8326	chr7	264919	HMEC|chr7:115899834-115900438	HMEC|chr7:116165054-116165055
1	0.814	chr7	264703	HMEC|chr7:115899834-115900438	HMEC|chr7:116164838-116164839
1	0.8342	chr7	267334	HMEC|chr7:115898758-115899268	HMEC|chr7:116166346-116166347
1	0.8978	chr4	60976	HMEC|chr4:123686826-123687193	HMEC|chr4:123747985-123747986
1	0.8978	chr4	60853	HMEC|chr4:123686826-123687193	HMEC|chr4:123747862-123747863
1	0.9145	chr4	62187	HMEC|chr4:123685115-123686482	HMEC|chr4:123747985-123747986
1	0.9145	chr4	62064	HMEC|chr4:123685115-123686482	HMEC|chr4:123747862-123747863
1	0.883	chr4	186508	HMEC|chr4:103933286-103933605	HMEC|chr4:103746936-103746937
1	0.883	chr4	186503	HMEC|chr4:103933286-103933605	HMEC|chr4:103746941-103746942
1	0.8858	chr4	186428	HMEC|chr4:103933286-103933605	HMEC|chr4:103747016-103747017
1	0.8774	chr4	185421	HMEC|chr4:103933286-103933605	HMEC|chr4:103748023-103748024
1	0.8774	chr4	185166	HMEC|chr4:103933286-103933605	HMEC|chr4:103748278-103748279
1	0.8763	chr4	184766	HMEC|chr4:103933286-103933605	HMEC|chr4:103748678-103748679
1	0.8763	chr4	184737	HMEC|chr4:103933286-103933605	HMEC|chr4:103748707-103748708
1	0.8763	chr4	184735	HMEC|chr4:103933286-103933605	HMEC|chr4:103748709-103748710
1	0.8763	chr4	184476	HMEC|chr4:103933286-103933605	HMEC|chr4:103748968-103748969
1	0.8796	chr4	184439	HMEC|chr4:103933286-103933605	HMEC|chr4:103749005-103749006
1	0.8796	chr4	184340	HMEC|chr4:103933286-103933605	HMEC|chr4:103749104-103749105
1	0.8796	chr4	184259	HMEC|chr4:103933286-103933605	HMEC|chr4:103749185-103749186
1	0.8796	chr4	184233	HMEC|chr4:103933286-103933605	HMEC|chr4:103749211-103749212
1	0.8796	chr4	184129	HMEC|chr4:103933286-103933605	HMEC|chr4:103749315-103749316
1	0.8746	chr4	186236	HMEC|chr4:103932692-103933179	HMEC|chr4:103746698-103746699
1	0.8746	chr4	185998	HMEC|chr4:103932692-103933179	HMEC|chr4:103746936-103746937
1	0.8746	chr4	185993	HMEC|chr4:103932692-103933179	HMEC|chr4:103746941-103746942
1	0.8784	chr4	185918	HMEC|chr4:103932692-103933179	HMEC|chr4:103747016-103747017
1	0.892	chr4	184911	HMEC|chr4:103932692-103933179	HMEC|chr4:103748023-103748024
1	0.8783	chr4	184656	HMEC|chr4:103932692-103933179	HMEC|chr4:103748278-103748279
1	0.8833	chr4	184256	HMEC|chr4:103932692-103933179	HMEC|chr4:103748678-103748679
1	0.8833	chr4	184227	HMEC|chr4:103932692-103933179	HMEC|chr4:103748707-103748708
1	0.8833	chr4	184225	HMEC|chr4:103932692-103933179	HMEC|chr4:103748709-103748710
1	0.8833	chr4	183966	HMEC|chr4:103932692-103933179	HMEC|chr4:103748968-103748969
1	0.883	chr4	186746	HMEC|chr4:103933286-103933605	HMEC|chr4:103746698-103746699
1	0.485	chr19	56370	HMEC|chr19:42750378-42750740	HMEC|chr19:42806928-42806929
1	0.485	chr19	56363	HMEC|chr19:42750378-42750740	HMEC|chr19:42806921-42806922
1	0.0835	chr19	289857	HMEC|chr19:42615416-42616338	HMEC|chr19:42905733-42905734
1	0.0743	chr19	128711	HMEC|chr19:42617659-42618408	HMEC|chr19:42746744-42746745
1	0.0743	chr19	128743	HMEC|chr19:42617659-42618408	HMEC|chr19:42746776-42746777
1	0.0715	chr19	283246	HMEC|chr19:42617659-42618408	HMEC|chr19:42901279-42901280
1	0.0522	chr19	287700	HMEC|chr19:42617659-42618408	HMEC|chr19:42905733-42905734
1	0.485	chr19	56321	HMEC|chr19:42750378-42750740	HMEC|chr19:42806879-42806880
1	0.3932	chr19	55725	HMEC|chr19:42750378-42750740	HMEC|chr19:42806283-42806284
1	0.512	chr19	55885	HMEC|chr19:42750378-42750740	HMEC|chr19:42806443-42806444
1	0.485	chr19	56164	HMEC|chr19:42750378-42750740	HMEC|chr19:42806722-42806723
1	0.8871	chr4	183929	HMEC|chr4:103932692-103933179	HMEC|chr4:103749005-103749006
1	0.8805	chr4	183830	HMEC|chr4:103932692-103933179	HMEC|chr4:103749104-103749105
1	0.8805	chr4	183749	HMEC|chr4:103932692-103933179	HMEC|chr4:103749185-103749186
1	0.8805	chr4	183723	HMEC|chr4:103932692-103933179	HMEC|chr4:103749211-103749212
1	0.8805	chr4	183619	HMEC|chr4:103932692-103933179	HMEC|chr4:103749315-103749316
1	0.0647	chr19	285403	HMEC|chr19:42615416-42616338	HMEC|chr19:42901279-42901280
1	0.364	chr19	130900	HMEC|chr19:42615416-42616338	HMEC|chr19:42746776-42746777
1	0.364	chr19	130868	HMEC|chr19:42615416-42616338	HMEC|chr19:42746744-42746745
1	0.9367	chrX	39649	HMEC|chrX:106919904-106920059	HMEC|chrX:106959630-106959631
1	0.9341	chrX	100954	HMEC|chrX:106917820-106918305	HMEC|chrX:107019016-107019017
1	0.9266	chrX	101548	HMEC|chrX:106917275-106917663	HMEC|chrX:107019016-107019017
1	0.9186	chrX	102632	HMEC|chrX:106916144-106916625	HMEC|chrX:107019016-107019017
1	0.9475	chr7	76074	HMEC|chr7:106376888-106378145	HMEC|chr7:106301441-106301442
1	0.9728	chrX	40383	HMEC|chrX:106919904-106920059	HMEC|chrX:106960364-106960365
1	0.9297	chr7	140299	HMEC|chr7:106065168-106066165	HMEC|chr7:105925366-105925367
1	0.8674	chr7	140028	HMEC|chr7:106065168-106066165	HMEC|chr7:105925637-105925638
1	0.9367	chrX	39793	HMEC|chrX:106919904-106920059	HMEC|chrX:106959774-106959775
1	0.6794	chrX	99035	HMEC|chrX:106919904-106920059	HMEC|chrX:107019016-107019017
1	0.9366	chrX	39538	HMEC|chrX:106920617-106921037	HMEC|chrX:106960364-106960365
1	0.9531	chrX	38948	HMEC|chrX:106920617-106921037	HMEC|chrX:106959774-106959775
1	0.9531	chrX	38804	HMEC|chrX:106920617-106921037	HMEC|chrX:106959630-106959631
1	0.9621	chrX	40014	HMEC|chrX:106920118-106920584	HMEC|chrX:106960364-106960365
1	0.9507	chrX	39424	HMEC|chrX:106920118-106920584	HMEC|chrX:106959774-106959775
1	0.9417	chrX	39280	HMEC|chrX:106920118-106920584	HMEC|chrX:106959630-106959631
1	0.9228	chr7	159710	HMEC|chr7:24859865-24860234	HMEC|chr7:25019759-25019760
1	0.9228	chr7	159757	HMEC|chr7:24859865-24860234	HMEC|chr7:25019806-25019807
1	0.9256	chr7	159053	HMEC|chr7:24860498-24860915	HMEC|chr7:25019759-25019760
1	0.9256	chr7	159100	HMEC|chr7:24860498-24860915	HMEC|chr7:25019806-25019807
1	0.9302	chr7	158525	HMEC|chr7:24861000-24861469	HMEC|chr7:25019759-25019760
1	0.8979	chr7	158572	HMEC|chr7:24861000-24861469	HMEC|chr7:25019806-25019807
1	0.8331	chr7	154437	HMEC|chr7:24865082-24865563	HMEC|chr7:25019759-25019760
1	0.8331	chr7	154484	HMEC|chr7:24865082-24865563	HMEC|chr7:25019806-25019807
1	0.8374	chr7	153813	HMEC|chr7:24865650-24866244	HMEC|chr7:25019759-25019760
1	0.8374	chr7	153860	HMEC|chr7:24865650-24866244	HMEC|chr7:25019806-25019807
1	0.8364	chr7	150176	HMEC|chr7:24869355-24869813	HMEC|chr7:25019759-25019760
1	0.8364	chr7	150223	HMEC|chr7:24869355-24869813	HMEC|chr7:25019806-25019807
1	0.4123	chr3	3116	HMEC|chr3:149297026-149297285	HMEC|chr3:149294038-149294039
1	0.9652	chr19	59258	HMEC|chr19:16679516-16680002	HMEC|chr19:16739016-16739017
1	0.9441	chr3	63006	HMEC|chr3:15310868-15311391	HMEC|chr3:15374135-15374136
1	0.9442	chr3	62177	HMEC|chr3:15311770-15312009	HMEC|chr3:15374066-15374067
1	0.9542	chr3	62246	HMEC|chr3:15311770-15312009	HMEC|chr3:15374135-15374136
1	0.9668	chr3	36331	HMEC|chr3:150089419-150090162	HMEC|chr3:150126121-150126122
1	0.9734	chr3	37972	HMEC|chr3:150087840-150088459	HMEC|chr3:150126121-150126122
1	0.8357	chr3	77085	HMEC|chr3:149370990-149371258	HMEC|chr3:149294038-149294039
1	0.4681	chr3	4764	HMEC|chr3:149370990-149371258	HMEC|chr3:149375887-149375888
1	0.4503	chr3	4688	HMEC|chr3:149370990-149371258	HMEC|chr3:149375811-149375812
1	0.8439	chr3	76329	HMEC|chr3:149298949-149300169	HMEC|chr3:149375887-149375888
1	0.8439	chr3	76253	HMEC|chr3:149298949-149300169	HMEC|chr3:149375811-149375812
1	0.5325	chr3	5520	HMEC|chr3:149298949-149300169	HMEC|chr3:149294038-149294039
1	0.8073	chr3	77726	HMEC|chr3:149297925-149298398	HMEC|chr3:149375887-149375888
1	0.8236	chr3	77650	HMEC|chr3:149297925-149298398	HMEC|chr3:149375811-149375812
1	0.4301	chr3	4122	HMEC|chr3:149297925-149298398	HMEC|chr3:149294038-149294039
1	0.8211	chr3	78204	HMEC|chr3:149297445-149297922	HMEC|chr3:149375887-149375888
1	0.8211	chr3	78128	HMEC|chr3:149297445-149297922	HMEC|chr3:149375811-149375812
1	0.4175	chr3	3644	HMEC|chr3:149297445-149297922	HMEC|chr3:149294038-149294039
1	0.8159	chr3	78732	HMEC|chr3:149297026-149297285	HMEC|chr3:149375887-149375888
1	0.8767	chr3	78656	HMEC|chr3:149297026-149297285	HMEC|chr3:149375811-149375812
1	0.9427	chr19	44487	HMEC|chr19:18389325-18389462	HMEC|chr19:18433880-18433881
1	0.9427	chr19	44528	HMEC|chr19:18389325-18389462	HMEC|chr19:18433921-18433922
1	0.9411	chr19	44690	HMEC|chr19:18389325-18389462	HMEC|chr19:18434083-18434084
1	0.8952	chr7	92549	HMEC|chr7:32202633-32203413	HMEC|chr7:32110473-32110474
1	0.8952	chr7	92562	HMEC|chr7:32202633-32203413	HMEC|chr7:32110460-32110461
1	0.9057	chr7	93933	HMEC|chr7:32204308-32204507	HMEC|chr7:32110473-32110474
1	0.9057	chr7	93946	HMEC|chr7:32204308-32204507	HMEC|chr7:32110460-32110461
1	0.857	chr7	54916	HMEC|chr7:128919587-128920027	HMEC|chr7:128864890-128864891
1	0.857	chr7	54943	HMEC|chr7:128919587-128920027	HMEC|chr7:128864863-128864864
1	0.9313	chr4	52149	HMEC|chr4:140164512-140165104	HMEC|chr4:140216956-140216957
1	0.9057	chr4	53807	HMEC|chr4:140162020-140164280	HMEC|chr4:140216956-140216957
1	0.9099	chr7	71012	HMEC|chr7:137615742-137615840	HMEC|chr7:137686802-137686803
1	0.486	chr7	3060	HMEC|chr7:137683503-137683983	HMEC|chr7:137686802-137686803
1	0.9099	chr7	70876	HMEC|chr7:137615841-137616012	HMEC|chr7:137686802-137686803
1	0.9124	chr7	71315	HMEC|chr7:137615235-137615741	HMEC|chr7:137686802-137686803
1	0.2794	chr7	82280	HMEC|chr7:134199304-134199667	HMEC|chr7:134117204-134117205
1	0.2853	chr7	80894	HMEC|chr7:134197933-134198266	HMEC|chr7:134117204-134117205
1	0.7313	chr7	119393	HMEC|chr7:30442941-30443691	HMEC|chr7:30323922-30323923
1	0.7128	chr19	77721	HMEC|chr19:51435065-51435167	HMEC|chr19:51512836-51512837
1	0.764	chr19	77774	HMEC|chr19:51435065-51435167	HMEC|chr19:51512889-51512890
1	0.936	chr3	98831	HMEC|chr3:72396888-72397587	HMEC|chr3:72496068-72496069
1	0.9442	chr3	100179	HMEC|chr3:72395600-72396180	HMEC|chr3:72496068-72496069
1	0.7705	chr19	77302	HMEC|chr19:51435230-51435840	HMEC|chr19:51512836-51512837
1	0.7705	chr19	77355	HMEC|chr19:51435230-51435840	HMEC|chr19:51512889-51512890
1	0.8206	chr19	76669	HMEC|chr19:51436028-51436308	HMEC|chr19:51512836-51512837
1	0.8206	chr19	76722	HMEC|chr19:51436028-51436308	HMEC|chr19:51512889-51512890
1	0.8241	chr19	75792	HMEC|chr19:51436844-51437245	HMEC|chr19:51512836-51512837
1	0.8241	chr19	75845	HMEC|chr19:51436844-51437245	HMEC|chr19:51512889-51512890
1	0.959	chr7	54733	HMEC|chr7:55031855-55032106	HMEC|chr7:55086713-55086714
1	0.959	chr7	54813	HMEC|chr7:55031855-55032106	HMEC|chr7:55086793-55086794
1	0.959	chr7	54843	HMEC|chr7:55031855-55032106	HMEC|chr7:55086823-55086824
1	0.966	chr7	51424	HMEC|chr7:55034794-55035785	HMEC|chr7:55086713-55086714
1	0.966	chr7	51504	HMEC|chr7:55034794-55035785	HMEC|chr7:55086793-55086794
1	0.966	chr7	51534	HMEC|chr7:55034794-55035785	HMEC|chr7:55086823-55086824
1	0.8997	chr3	88681	HMEC|chr3:58202929-58203656	HMEC|chr3:58291973-58291974
1	0.9702	chr3	48134	HMEC|chr3:57790997-57791842	HMEC|chr3:57743284-57743285
1	0.9689	chr3	49462	HMEC|chr3:57790997-57791842	HMEC|chr3:57741956-57741957
1	0.8998	chr3	89262	HMEC|chr3:58202591-58202832	HMEC|chr3:58291973-58291974
1	0.8998	chr3	89277	HMEC|chr3:58202591-58202832	HMEC|chr3:58291988-58291989
1	0.904	chr3	89290	HMEC|chr3:58202591-58202832	HMEC|chr3:58292001-58292002
1	0.904	chr3	89329	HMEC|chr3:58202591-58202832	HMEC|chr3:58292040-58292041
1	0.904	chr3	89535	HMEC|chr3:58202591-58202832	HMEC|chr3:58292246-58292247
1	0.8997	chr3	88696	HMEC|chr3:58202929-58203656	HMEC|chr3:58291988-58291989
1	0.8895	chr3	88709	HMEC|chr3:58202929-58203656	HMEC|chr3:58292001-58292002
1	0.8895	chr3	88748	HMEC|chr3:58202929-58203656	HMEC|chr3:58292040-58292041
1	0.8895	chr3	88954	HMEC|chr3:58202929-58203656	HMEC|chr3:58292246-58292247
1	0.9397	chr3	72089	HMEC|chr3:57041032-57041462	HMEC|chr3:57113335-57113336
1	0.9495	chr3	71569	HMEC|chr3:57041552-57041981	HMEC|chr3:57113335-57113336
1	0.596	chr19	114448	HMEC|chr19:44288604-44288903	HMEC|chr19:44174304-44174305
1	0.8811	chr3	52962	HMEC|chr3:45688637-45688920	HMEC|chr3:45635815-45635816
1	0.8964	chr3	52427	HMEC|chr3:45688637-45688920	HMEC|chr3:45636350-45636351
1	0.9203	chr3	84596	HMEC|chr3:98704962-98705296	HMEC|chr3:98620532-98620533
1	0.9111	chr3	84260	HMEC|chr3:98704309-98704552	HMEC|chr3:98620169-98620170
1	0.9144	chr3	83897	HMEC|chr3:98704309-98704552	HMEC|chr3:98620532-98620533
1	0.4835	chr19	114827	HMEC|chr19:44289323-44289730	HMEC|chr19:44174698-44174699
1	0.4835	chr19	115024	HMEC|chr19:44289323-44289730	HMEC|chr19:44174501-44174502
1	0.5836	chr19	115208	HMEC|chr19:44289323-44289730	HMEC|chr19:44174317-44174318
1	0.5836	chr19	115221	HMEC|chr19:44289323-44289730	HMEC|chr19:44174304-44174305
1	0.8842	chr3	53609	HMEC|chr3:45241264-45241782	HMEC|chr3:45187913-45187914
1	0.8849	chr3	54142	HMEC|chr3:45241951-45242161	HMEC|chr3:45187913-45187914
1	0.9128	chr7	214339	HMEC|chr7:92251401-92251737	HMEC|chr7:92465907-92465908
1	0.7445	chr7	139272	HMEC|chr7:92323779-92324139	HMEC|chr7:92463230-92463231
1	0.6771	chr3	80377	HMEC|chr3:48309717-48310729	HMEC|chr3:48229845-48229846
1	0.7324	chr3	80767	HMEC|chr3:48309717-48310729	HMEC|chr3:48229455-48229456
1	0.9044	chr7	144798	HMEC|chr7:92320871-92321348	HMEC|chr7:92465907-92465908
1	0.8775	chr7	142121	HMEC|chr7:92320871-92321348	HMEC|chr7:92463230-92463231
1	0.9038	chr7	210779	HMEC|chr7:92254869-92255389	HMEC|chr7:92465907-92465908
1	0.7733	chr7	208102	HMEC|chr7:92254869-92255389	HMEC|chr7:92463230-92463231
