true	pred	chrom	distance	enhancer_name	promoter_name
1	0.81	chr2	139202	HeLa|chr2:182616999-182617377	HeLa|chr2:182756389-182756390
1	0.9214	chr2	139494	HeLa|chr2:182616999-182617377	HeLa|chr2:182756681-182756682
1	0.9214	chr2	139524	HeLa|chr2:182616999-182617377	HeLa|chr2:182756711-182756712
1	0.8574	chr2	139735	HeLa|chr2:182616999-182617377	HeLa|chr2:182756922-182756923
1	0.9278	chr2	140932	HeLa|chr2:182616999-182617377	HeLa|chr2:182758119-182758120
1	0.4209	chr2	158044	HeLa|chr2:182616999-182617377	HeLa|chr2:182775231-182775232
1	0.9697	chr17	82449	HeLa|chr17:41478588-41479181	HeLa|chr17:41561333-41561334
1	0.9697	chr17	82446	HeLa|chr17:41478588-41479181	HeLa|chr17:41561330-41561331
1	0.5346	chr2	167037	HeLa|chr2:182608052-182608338	HeLa|chr2:182775231-182775232
1	0.9249	chr2	149925	HeLa|chr2:182608052-182608338	HeLa|chr2:182758119-182758120
1	0.9027	chr2	148631	HeLa|chr2:182607602-182607916	HeLa|chr2:182756389-182756390
1	0.98	chr17	66248	HeLa|chr17:41494854-41495317	HeLa|chr17:41561333-41561334
1	0.98	chr17	66245	HeLa|chr17:41494854-41495317	HeLa|chr17:41561330-41561331
1	0.8964	chr2	148923	HeLa|chr2:182607602-182607916	HeLa|chr2:182756681-182756682
1	0.8964	chr2	148953	HeLa|chr2:182607602-182607916	HeLa|chr2:182756711-182756712
1	0.8964	chr2	149164	HeLa|chr2:182607602-182607916	HeLa|chr2:182756922-182756923
1	0.942	chr2	150361	HeLa|chr2:182607602-182607916	HeLa|chr2:182758119-182758120
1	0.603	chr2	167473	HeLa|chr2:182607602-182607916	HeLa|chr2:182775231-182775232
1	0.9035	chr2	148195	HeLa|chr2:182608052-182608338	HeLa|chr2:182756389-182756390
1	0.8971	chr2	148487	HeLa|chr2:182608052-182608338	HeLa|chr2:182756681-182756682
1	0.8971	chr2	148517	HeLa|chr2:182608052-182608338	HeLa|chr2:182756711-182756712
1	0.9306	chr2	148728	HeLa|chr2:182608052-182608338	HeLa|chr2:182756922-182756923
1	0.9596	chr17	115851	HeLa|chr17:41444977-41445989	HeLa|chr17:41561333-41561334
1	0.9596	chr17	115848	HeLa|chr17:41444977-41445989	HeLa|chr17:41561330-41561331
1	0.9357	chr2	42381	HeLa|chr2:85151296-85151664	HeLa|chr2:85109098-85109099
1	0.9508	chr2	43111	HeLa|chr2:85151296-85151664	HeLa|chr2:85108368-85108369
1	0.9508	chr2	43206	HeLa|chr2:85151296-85151664	HeLa|chr2:85108273-85108274
1	0.9508	chr2	43274	HeLa|chr2:85151296-85151664	HeLa|chr2:85108205-85108206
1	0.9668	chr17	114858	HeLa|chr17:41446029-41446923	HeLa|chr17:41561333-41561334
1	0.9668	chr17	114855	HeLa|chr17:41446029-41446923	HeLa|chr17:41561330-41561331
1	0.934	chr2	42887	HeLa|chr2:85151919-85152054	HeLa|chr2:85109098-85109099
1	0.5615	chr22	172121	HeLa|chr22:46718469-46718772	HeLa|chr22:46546498-46546499
1	0.6763	chr22	171002	HeLa|chr22:46717225-46717778	HeLa|chr22:46546498-46546499
1	0.9801	chr17	64988	HeLa|chr17:41496056-41496635	HeLa|chr17:41561333-41561334
1	0.9801	chr17	64985	HeLa|chr17:41496056-41496635	HeLa|chr17:41561330-41561331
1	0.9835	chr17	20018	HeLa|chr17:41496056-41496635	HeLa|chr17:41476326-41476327
1	0.883	chr22	163826	HeLa|chr22:46710135-46710516	HeLa|chr22:46546498-46546499
1	0.9322	chr2	43617	HeLa|chr2:85151919-85152054	HeLa|chr2:85108368-85108369
1	0.9127	chr17	58886	HeLa|chr17:40669390-40670106	HeLa|chr17:40610861-40610862
1	0.9127	chr17	58850	HeLa|chr17:40669390-40670106	HeLa|chr17:40610897-40610898
1	0.8059	chr17	2653	HeLa|chr17:40669390-40670106	HeLa|chr17:40672400-40672401
1	0.0089	chr2	656234	HeLa|chr2:27959308-27959561	HeLa|chr2:28615668-28615669
1	0.0089	chr2	656290	HeLa|chr2:27959308-27959561	HeLa|chr2:28615724-28615725
1	0.0163	chr2	658943	HeLa|chr2:27959308-27959561	HeLa|chr2:28618377-28618378
1	0.3418	chr2	640124	HeLa|chr2:27974983-27976107	HeLa|chr2:28615668-28615669
1	0.3418	chr2	640180	HeLa|chr2:27974983-27976107	HeLa|chr2:28615724-28615725
1	0.9322	chr2	43712	HeLa|chr2:85151919-85152054	HeLa|chr2:85108273-85108274
1	0.9631	chr2	44764	HeLa|chr2:85153757-85153969	HeLa|chr2:85109098-85109099
1	0.9629	chr2	45589	HeLa|chr2:85153757-85153969	HeLa|chr2:85108273-85108274
1	0.9629	chr2	45657	HeLa|chr2:85153757-85153969	HeLa|chr2:85108205-85108206
1	0.9595	chr2	45133	HeLa|chr2:85153988-85154476	HeLa|chr2:85109098-85109099
1	0.9627	chr2	45863	HeLa|chr2:85153988-85154476	HeLa|chr2:85108368-85108369
1	0.9627	chr2	45958	HeLa|chr2:85153988-85154476	HeLa|chr2:85108273-85108274
1	0.9627	chr2	46026	HeLa|chr2:85153988-85154476	HeLa|chr2:85108205-85108206
1	0.9629	chr2	45494	HeLa|chr2:85153757-85153969	HeLa|chr2:85108368-85108369
1	0.9042	chr2	21114	HeLa|chr2:85153757-85153969	HeLa|chr2:85132748-85132749
1	0.9322	chr2	43780	HeLa|chr2:85151919-85152054	HeLa|chr2:85108205-85108206
1	0.9339	chr2	43086	HeLa|chr2:85152059-85152312	HeLa|chr2:85109098-85109099
1	0.9312	chr2	43816	HeLa|chr2:85152059-85152312	HeLa|chr2:85108368-85108369
1	0.9312	chr2	43911	HeLa|chr2:85152059-85152312	HeLa|chr2:85108273-85108274
1	0.9312	chr2	43979	HeLa|chr2:85152059-85152312	HeLa|chr2:85108205-85108206
1	0.9042	chr2	20897	HeLa|chr2:85153608-85153685	HeLa|chr2:85132748-85132749
1	0.9631	chr2	44547	HeLa|chr2:85153608-85153685	HeLa|chr2:85109098-85109099
1	0.9629	chr2	45277	HeLa|chr2:85153608-85153685	HeLa|chr2:85108368-85108369
1	0.9244	chr2	45372	HeLa|chr2:85153608-85153685	HeLa|chr2:85108273-85108274
1	0.9244	chr2	45440	HeLa|chr2:85153608-85153685	HeLa|chr2:85108205-85108206
1	0.0095	chr2	657192	HeLa|chr2:27958076-27958877	HeLa|chr2:28615668-28615669
1	0.0095	chr2	657248	HeLa|chr2:27958076-27958877	HeLa|chr2:28615724-28615725
1	0.0187	chr2	659901	HeLa|chr2:27958076-27958877	HeLa|chr2:28618377-28618378
1	0.4482	chr2	290168	HeLa|chr2:73404526-73404788	HeLa|chr2:73114488-73114489
1	0.9384	chr17	56426	HeLa|chr17:47078473-47078724	HeLa|chr17:47022171-47022172
1	0.9384	chr17	56405	HeLa|chr17:47078473-47078724	HeLa|chr17:47022192-47022193
1	0.9509	chr2	37147	HeLa|chr2:73404064-73404342	HeLa|chr2:73441349-73441350
1	0.9401	chr2	92679	HeLa|chr2:73404064-73404342	HeLa|chr2:73311523-73311524
1	0.9539	chr17	65426	HeLa|chr17:43274958-43275624	HeLa|chr17:43209864-43209865
1	0.9539	chr17	65400	HeLa|chr17:43274958-43275624	HeLa|chr17:43209890-43209891
1	0.9647	chr17	50607	HeLa|chr17:43274958-43275624	HeLa|chr17:43224683-43224684
1	0.9679	chr17	38469	HeLa|chr17:43274958-43275624	HeLa|chr17:43236821-43236822
1	0.9666	chr17	37224	HeLa|chr17:43274958-43275624	HeLa|chr17:43238066-43238067
1	0.9779	chr17	26439	HeLa|chr17:43274958-43275624	HeLa|chr17:43248851-43248852
1	0.9506	chr2	36693	HeLa|chr2:73404526-73404788	HeLa|chr2:73441349-73441350
1	0.9438	chr17	90239	HeLa|chr17:73422338-73422969	HeLa|chr17:73512892-73512893
1	0.9438	chr17	89952	HeLa|chr17:73422338-73422969	HeLa|chr17:73512605-73512606
1	0.9445	chr2	93133	HeLa|chr2:73404526-73404788	HeLa|chr2:73311523-73311524
1	0.829	chr17	88687	HeLa|chr17:73422338-73422969	HeLa|chr17:73511340-73511341
1	0.9384	chr17	56411	HeLa|chr17:47078473-47078724	HeLa|chr17:47022186-47022187
