true	pred	chrom	distance	enhancer_name	promoter_name
1	0.6936	chr1	315683	HMEC|chr1:112933891-112934240	HMEC|chr1:113249748-113249749
1	0.6624	chr1	315990	HMEC|chr1:112933891-112934240	HMEC|chr1:113250055-113250056
1	0.6624	chr1	315959	HMEC|chr1:112933891-112934240	HMEC|chr1:113250024-113250025
1	0.6936	chr1	315715	HMEC|chr1:112933891-112934240	HMEC|chr1:113249780-113249781
1	0.6936	chr1	315691	HMEC|chr1:112933891-112934240	HMEC|chr1:113249756-113249757
1	0.6936	chr1	315689	HMEC|chr1:112933891-112934240	HMEC|chr1:113249754-113249755
1	0.6936	chr1	315681	HMEC|chr1:112933891-112934240	HMEC|chr1:113249746-113249747
1	0.6936	chr1	315676	HMEC|chr1:112933891-112934240	HMEC|chr1:113249741-113249742
1	0.6936	chr1	315672	HMEC|chr1:112933891-112934240	HMEC|chr1:113249737-113249738
1	0.6936	chr1	315658	HMEC|chr1:112933891-112934240	HMEC|chr1:113249723-113249724
1	0.6936	chr1	315635	HMEC|chr1:112933891-112934240	HMEC|chr1:113249700-113249701
1	0.4249	chr1	228375	HMEC|chr1:112933891-112934240	HMEC|chr1:113162440-113162441
1	0.4249	chr1	228361	HMEC|chr1:112933891-112934240	HMEC|chr1:113162426-113162427
1	0.6885	chr1	227729	HMEC|chr1:112933891-112934240	HMEC|chr1:113161794-113161795
1	0.6885	chr1	227682	HMEC|chr1:112933891-112934240	HMEC|chr1:113161747-113161748
1	0.6932	chr1	316434	HMEC|chr1:112933424-112933820	HMEC|chr1:113250055-113250056
1	0.7516	chr1	6640	HMEC|chr1:39564201-39564684	HMEC|chr1:39571082-39571083
1	0.9504	chr1	78534	HMEC|chr1:39649251-39649983	HMEC|chr1:39571082-39571083
1	0.0611	chr1	81859	HMEC|chr1:36102996-36103432	HMEC|chr1:36185072-36185073
1	0.9374	chr10	173141	HMEC|chr10:33798111-33798552	HMEC|chr10:33625189-33625190
1	0.9129	chr10	170727	HMEC|chr10:33795189-33796646	HMEC|chr10:33625189-33625190
1	0.9598	chr10	172084	HMEC|chr10:33795189-33796646	HMEC|chr10:33623832-33623833
1	0.9598	chr10	172347	HMEC|chr10:33795189-33796646	HMEC|chr10:33623569-33623570
1	0.9598	chr10	172353	HMEC|chr10:33795189-33796646	HMEC|chr10:33623563-33623564
1	0.958	chr10	172467	HMEC|chr10:33795189-33796646	HMEC|chr10:33623449-33623450
1	0.958	chr10	172607	HMEC|chr10:33795189-33796646	HMEC|chr10:33623309-33623310
1	0.9175	chr10	174498	HMEC|chr10:33798111-33798552	HMEC|chr10:33623832-33623833
1	0.862	chr10	174761	HMEC|chr10:33798111-33798552	HMEC|chr10:33623569-33623570
