true	pred	chrom	distance	enhancer_name	promoter_name
1	0.9015	chr7	145205	IMR90|chr7:42131035-42131778	IMR90|chr7:42276611-42276612
1	0.9423	chr7	139039	IMR90|chr7:42137297-42137848	IMR90|chr7:42276611-42276612
1	0.9681	chr7	136805	IMR90|chr7:42139394-42140220	IMR90|chr7:42276611-42276612
1	0.1382	chr4	608887	IMR90|chr4:77964905-77965375	IMR90|chr4:77356252-77356253
1	0.7437	chr19	150721	IMR90|chr19:42750378-42750740	IMR90|chr19:42901279-42901280
1	0.3267	chr19	212470	IMR90|chr19:18527179-18527530	IMR90|chr19:18314883-18314884
1	0.5524	chr19	283246	IMR90|chr19:42617659-42618408	IMR90|chr19:42901279-42901280
1	0.4457	chr19	211335	IMR90|chr19:18525711-18526727	IMR90|chr19:18314883-18314884
1	0.7945	chr19	213884	IMR90|chr19:42615416-42616338	IMR90|chr19:42829760-42829761
1	0.7985	chr19	214519	IMR90|chr19:42615416-42616338	IMR90|chr19:42830395-42830396
1	0.5018	chr19	285403	IMR90|chr19:42615416-42616338	IMR90|chr19:42901279-42901280
1	0.9286	chr4	174505	IMR90|chr4:6895097-6895741	IMR90|chr4:7069923-7069924
1	0.937	chr4	175717	IMR90|chr4:6893922-6894492	IMR90|chr4:7069923-7069924
1	0.8492	chr19	211727	IMR90|chr19:42617659-42618408	IMR90|chr19:42829760-42829761
1	0.8769	chr19	212362	IMR90|chr19:42617659-42618408	IMR90|chr19:42830395-42830396
1	0.912	chr3	109020	IMR90|chr3:137796895-137797316	IMR90|chr3:137906125-137906126
1	0.912	chr3	109041	IMR90|chr3:137796895-137797316	IMR90|chr3:137906146-137906147
1	0.912	chr3	109086	IMR90|chr3:137796895-137797316	IMR90|chr3:137906191-137906192
1	0.912	chr3	109265	IMR90|chr3:137796895-137797316	IMR90|chr3:137906370-137906371
1	0.912	chr3	109267	IMR90|chr3:137796895-137797316	IMR90|chr3:137906372-137906373
1	0.0963	chr19	210984	IMR90|chr19:18318772-18319552	IMR90|chr19:18530145-18530146
1	0.0963	chr19	211003	IMR90|chr19:18318772-18319552	IMR90|chr19:18530164-18530165
1	0.9537	chr19	33401	IMR90|chr19:10300360-10300578	IMR90|chr19:10333869-10333870
1	0.9157	chr3	108167	IMR90|chr3:137797640-137798320	IMR90|chr3:137906146-137906147
1	0.973	chr19	50354	IMR90|chr19:18168964-18169698	IMR90|chr19:18118976-18118977
1	0.9699	chr19	31633	IMR90|chr19:10301991-10302483	IMR90|chr19:10333869-10333870
1	0.9157	chr3	108146	IMR90|chr3:137797640-137798320	IMR90|chr3:137906125-137906126
1	0.9157	chr3	108212	IMR90|chr3:137797640-137798320	IMR90|chr3:137906191-137906192
1	0.2289	chr19	309016	IMR90|chr19:10055891-10056668	IMR90|chr19:10365295-10365296
1	0.2985	chr19	306406	IMR90|chr19:10055891-10056668	IMR90|chr19:10362685-10362686
1	0.2985	chr19	306363	IMR90|chr19:10055891-10056668	IMR90|chr19:10362642-10362643
1	0.2985	chr19	306360	IMR90|chr19:10055891-10056668	IMR90|chr19:10362639-10362640
1	0.9875	chr19	44487	IMR90|chr19:18389325-18389462	IMR90|chr19:18433880-18433881
1	0.9875	chr19	44528	IMR90|chr19:18389325-18389462	IMR90|chr19:18433921-18433922
1	0.9874	chr19	44690	IMR90|chr19:18389325-18389462	IMR90|chr19:18434083-18434084
1	0.9871	chr19	30193	IMR90|chr19:41829343-41829902	IMR90|chr19:41859815-41859816
1	0.4622	chr19	306623	IMR90|chr19:10055891-10056668	IMR90|chr19:10362902-10362903
1	0.9157	chr3	108391	IMR90|chr3:137797640-137798320	IMR90|chr3:137906370-137906371
1	0.9157	chr3	108393	IMR90|chr3:137797640-137798320	IMR90|chr3:137906372-137906373
1	0.9872	chr19	30711	IMR90|chr19:41828886-41829323	IMR90|chr19:41859815-41859816
1	0.6642	chr3	388610	IMR90|chr3:170527042-170528235	IMR90|chr3:170139027-170139028
1	0.868	chr3	193233	IMR90|chr3:154604129-154604694	IMR90|chr3:154797644-154797645
1	0.6654	chr3	433704	IMR90|chr3:45701058-45701890	IMR90|chr3:45267769-45267770
