true	pred	chrom	distance	enhancer_name	promoter_name
1	0.8032	chr17	141911	K562|chr17:25925451-25925851	K562|chr17:25783739-25783740
1	0.6622	chr17	12684	K562|chr17:25925451-25925851	K562|chr17:25938334-25938335
1	0.6582	chr17	11503	K562|chr17:25925451-25925851	K562|chr17:25937153-25937154
1	0.9009	chr9	60898	K562|chr9:131014580-131014888	K562|chr9:130953835-130953836
1	0.9009	chr9	60887	K562|chr9:131014580-131014888	K562|chr9:130953846-130953847
1	0.9009	chr9	60883	K562|chr9:131014580-131014888	K562|chr9:130953850-130953851
1	0.9009	chr9	60866	K562|chr9:131014580-131014888	K562|chr9:130953867-130953868
1	0.3601	chr17	2922	K562|chr17:25786500-25786824	K562|chr17:25783739-25783740
1	0.9009	chr9	60967	K562|chr9:131014580-131014888	K562|chr9:130953766-130953767
1	0.9009	chr9	60905	K562|chr9:131014580-131014888	K562|chr9:130953828-130953829
1	0.3646	chr17	5052	K562|chr17:25788578-25789007	K562|chr17:25783739-25783740
1	0.0034	chr17	1035169	K562|chr17:39823736-39823803	K562|chr17:38788599-38788600
1	0.0034	chr17	1035227	K562|chr17:39823736-39823803	K562|chr17:38788541-38788542
1	0.8436	chr9	61745	K562|chr9:131014580-131014888	K562|chr9:130952988-130952989
1	0.8558	chr9	61595	K562|chr9:131014580-131014888	K562|chr9:130953138-130953139
1	0.8569	chr17	145603	K562|chr17:25929250-25929437	K562|chr17:25783739-25783740
1	0.8781	chr17	7810	K562|chr17:25929250-25929437	K562|chr17:25937153-25937154
1	0.9227	chr17	8991	K562|chr17:25929250-25929437	K562|chr17:25938334-25938335
1	0.3598	chr2	2897	K562|chr2:191048325-191048648	K562|chr2:191045588-191045589
1	0.3598	chr2	2805	K562|chr2:191048325-191048648	K562|chr2:191045680-191045681
1	0.9674	chr9	85709	K562|chr9:131494873-131495215	K562|chr9:131580752-131580753
1	0.816	chr17	145101	K562|chr17:25928608-25929075	K562|chr17:25783739-25783740
1	0.9373	chr9	92057	K562|chr9:131494873-131495215	K562|chr9:131587100-131587101
1	0.8519	chr17	8312	K562|chr17:25928608-25929075	K562|chr17:25937153-25937154
1	0.918	chr17	9493	K562|chr17:25928608-25929075	K562|chr17:25938334-25938335
1	0.0035	chr17	1034804	K562|chr17:39823281-39823527	K562|chr17:38788599-38788600
1	0.0025	chr17	1034862	K562|chr17:39823281-39823527	K562|chr17:38788541-38788542
1	0.8411	chr22	102170	K562|chr22:23624355-23624780	K562|chr22:23522396-23522397
1	0.8149	chr22	102015	K562|chr22:23624355-23624780	K562|chr22:23522551-23522552
1	0.8507	chr9	60656	K562|chr9:131013490-131013800	K562|chr9:130952988-130952989
1	0.9136	chr9	60506	K562|chr9:131013490-131013800	K562|chr9:130953138-130953139
1	0.9294	chr9	59878	K562|chr9:131013490-131013800	K562|chr9:130953766-130953767
1	0.9294	chr9	59816	K562|chr9:131013490-131013800	K562|chr9:130953828-130953829
1	0.9294	chr9	59809	K562|chr9:131013490-131013800	K562|chr9:130953835-130953836
1	0.9294	chr9	59798	K562|chr9:131013490-131013800	K562|chr9:130953846-130953847
1	0.9294	chr9	59794	K562|chr9:131013490-131013800	K562|chr9:130953850-130953851
1	0.8318	chr17	224320	K562|chr17:39894203-39894788	K562|chr17:40118815-40118816
1	0.8318	chr17	224337	K562|chr17:39894203-39894788	K562|chr17:40118832-40118833
