true	pred	chrom	distance	enhancer_name	promoter_name
1	0.637828422104161	chr17	100747.0	NHEK|chr17:17841633-17842085	NHEK|chr17:17942605-17942606
1	0.8149632104991118	chr17	100664.0	NHEK|chr17:17841633-17842085	NHEK|chr17:17942522-17942523
1	0.8149632104991118	chr17	100623.0	NHEK|chr17:17841633-17842085	NHEK|chr17:17942481-17942482
1	0.8640688943330288	chr2	137847.5	NHEK|chr2:114651929-114652306	NHEK|chr2:114514269-114514270
1	0.8693797639936861	chr2	137717.5	NHEK|chr2:114651929-114652306	NHEK|chr2:114514399-114514400
1	0.8929833649173884	chr2	136236.5	NHEK|chr2:114650379-114650634	NHEK|chr2:114514269-114514270
1	0.8982159771233628	chr2	136106.5	NHEK|chr2:114650379-114650634	NHEK|chr2:114514399-114514400
1	0.7113951789479034	chr17	103416.5	NHEK|chr17:17838900-17839479	NHEK|chr17:17942605-17942606
1	0.8602334488929216	chr17	103333.5	NHEK|chr17:17838900-17839479	NHEK|chr17:17942522-17942523
1	0.8602334488929216	chr17	103292.5	NHEK|chr17:17838900-17839479	NHEK|chr17:17942481-17942482
1	0.7184198145111579	chr17	99088.5	NHEK|chr17:17843394-17843475	NHEK|chr17:17942522-17942523
1	0.7184198145111579	chr17	99047.5	NHEK|chr17:17843394-17843475	NHEK|chr17:17942481-17942482
1	0.6789997407816634	chr17	100378.5	NHEK|chr17:17842088-17842367	NHEK|chr17:17942605-17942606
1	0.8422780720596251	chr17	100295.5	NHEK|chr17:17842088-17842367	NHEK|chr17:17942522-17942523
1	0.8422780720596251	chr17	100254.5	NHEK|chr17:17842088-17842367	NHEK|chr17:17942481-17942482
1	0.9019572621711447	chr13	131977.5	NHEK|chr13:42490672-42491151	NHEK|chr13:42622888-42622889
1	0.8723339575759507	chr2	196129.5	NHEK|chr2:27860703-27862086	NHEK|chr2:27665264-27665265
1	0.8723339575759507	chr2	196146.5	NHEK|chr2:27860703-27862086	NHEK|chr2:27665247-27665248
1	0.5155267769462503	chr2	209887.5	NHEK|chr2:27860703-27862086	NHEK|chr2:27651506-27651507
1	0.5318700766142523	chr2	210737.5	NHEK|chr2:27860703-27862086	NHEK|chr2:27650656-27650657
1	0.549184275026272	chr9	551960.5	NHEK|chr9:99622049-99622494	NHEK|chr9:100174231-100174232
1	0.549184275026272	chr9	552104.5	NHEK|chr9:99622049-99622494	NHEK|chr9:100174375-100174376
1	0.831948453499783	chr2	194562.5	NHEK|chr2:27859676-27859979	NHEK|chr2:27665264-27665265
1	0.6209277143896289	chr13	133477.0	NHEK|chr13:42489259-42489565	NHEK|chr13:42622888-42622889
1	0.831948453499783	chr2	194579.5	NHEK|chr2:27859676-27859979	NHEK|chr2:27665247-27665248
1	0.3741072695137111	chr2	208320.5	NHEK|chr2:27859676-27859979	NHEK|chr2:27651506-27651507
1	0.37356152779360013	chr2	209170.5	NHEK|chr2:27859676-27859979	NHEK|chr2:27650656-27650657
1	0.40444515015743887	chr9	554840.0	NHEK|chr9:99619169-99619615	NHEK|chr9:100174231-100174232
1	0.40444515015743887	chr9	554984.0	NHEK|chr9:99619169-99619615	NHEK|chr9:100174375-100174376
1	0.5387835818503601	chr9	553741.5	NHEK|chr9:99620200-99620781	NHEK|chr9:100174231-100174232
1	0.5387835818503601	chr9	553885.5	NHEK|chr9:99620200-99620781	NHEK|chr9:100174375-100174376
1	0.5981376028712608	chr17	99171.5	NHEK|chr17:17843394-17843475	NHEK|chr17:17942605-17942606
1	0.20807951311241227	chr17	390001.5	NHEK|chr17:19655799-19655914	NHEK|chr17:19265854-19265855
1	0.29730273441987337	chr2	104869.5	NHEK|chr2:26572513-26572886	NHEK|chr2:26467829-26467830
1	0.29730273441987337	chr2	104882.5	NHEK|chr2:26572513-26572886	NHEK|chr2:26467816-26467817
1	0.29730273441987337	chr2	104936.5	NHEK|chr2:26572513-26572886	NHEK|chr2:26467762-26467763
1	0.4527750361219421	chr2	105105.5	NHEK|chr2:26572513-26572886	NHEK|chr2:26467593-26467594
1	0.6115410628913056	chr2	105697.0	NHEK|chr2:26573404-26573650	NHEK|chr2:26467829-26467830
1	0.6115410628913056	chr2	105710.0	NHEK|chr2:26573404-26573650	NHEK|chr2:26467816-26467817
1	0.6072556194657137	chr2	105764.0	NHEK|chr2:26573404-26573650	NHEK|chr2:26467762-26467763
1	0.7211969407416161	chr2	105933.0	NHEK|chr2:26573404-26573650	NHEK|chr2:26467593-26467594
1	0.1998451123756689	chr17	389810.5	NHEK|chr17:19655799-19655914	NHEK|chr17:19266045-19266046
1	0.0962654388010023	chr17	389742.5	NHEK|chr17:19655411-19655784	NHEK|chr17:19265854-19265855
1	0.0962654388010023	chr17	389571.5	NHEK|chr17:19655411-19655784	NHEK|chr17:19266025-19266026
1	0.0962654388010023	chr17	389551.5	NHEK|chr17:19655411-19655784	NHEK|chr17:19266045-19266046
1	0.5899601206031233	chr17	98987.5	NHEK|chr17:17843479-17843592	NHEK|chr17:17942522-17942523
1	0.48631549343046987	chr17	99070.5	NHEK|chr17:17843479-17843592	NHEK|chr17:17942605-17942606
1	0.5899601206031233	chr17	98946.5	NHEK|chr17:17843479-17843592	NHEK|chr17:17942481-17942482
1	0.8702232754313054	chr17	96109.5	NHEK|chr17:17846252-17846493	NHEK|chr17:17942481-17942482
1	0.8702232754313054	chr17	96150.5	NHEK|chr17:17846252-17846493	NHEK|chr17:17942522-17942523
1	0.8223483656509663	chr17	96233.5	NHEK|chr17:17846252-17846493	NHEK|chr17:17942605-17942606
1	0.5258710312568874	chr13	647964.5	NHEK|chr13:74282443-74282920	NHEK|chr13:73634716-73634717
1	0.5003548759201344	chr13	667318.5	NHEK|chr13:74296208-74296657	NHEK|chr13:73629113-73629114
1	0.3653505552713187	chr13	663502.5	NHEK|chr13:74296208-74296657	NHEK|chr13:73632929-73632930
1	0.5373934190591498	chr13	661715.5	NHEK|chr13:74296208-74296657	NHEK|chr13:73634716-73634717
1	0.5316625920996267	chr13	653567.5	NHEK|chr13:74282443-74282920	NHEK|chr13:73629113-73629114
1	0.3993733527231406	chr13	649751.5	NHEK|chr13:74282443-74282920	NHEK|chr13:73632929-73632930
1	0.5964688200415937	chr13	647799.5	NHEK|chr13:74276401-74277426	NHEK|chr13:73629113-73629114
