true	pred	chrom	distance	enhancer_name	promoter_name
1	0.8077	chr5	70243	IMR90|chr5:148591156-148591423	IMR90|chr5:148521045-148521046
1	0.9481	chr11	82113	IMR90|chr11:8749926-8750621	IMR90|chr11:8832386-8832387
1	0.5835	chr11	10666	IMR90|chr11:8749926-8750621	IMR90|chr11:8739606-8739607
1	0.6796	chr5	70497	IMR90|chr5:148591633-148592129	IMR90|chr5:148521383-148521384
1	0.6796	chr5	70567	IMR90|chr5:148591633-148592129	IMR90|chr5:148521313-148521314
1	0.6796	chr5	70704	IMR90|chr5:148591633-148592129	IMR90|chr5:148521176-148521177
1	0.8078	chr5	70827	IMR90|chr5:148591633-148592129	IMR90|chr5:148521053-148521054
1	0.8078	chr5	70835	IMR90|chr5:148591633-148592129	IMR90|chr5:148521045-148521046
1	0.8674	chr5	42099	IMR90|chr5:148767532-148767968	IMR90|chr5:148809848-148809849
1	0.6612	chr8	126397	IMR90|chr8:42269727-42270771	IMR90|chr8:42396645-42396646
1	0.6944	chr8	126507	IMR90|chr8:42269727-42270771	IMR90|chr8:42396755-42396756
1	0.6944	chr8	126605	IMR90|chr8:42269727-42270771	IMR90|chr8:42396853-42396854
1	0.9527	chr11	82614	IMR90|chr11:8749926-8750621	IMR90|chr11:8832887-8832888
1	0.8077	chr5	70235	IMR90|chr5:148591156-148591423	IMR90|chr5:148521053-148521054
1	0.8077	chr5	70112	IMR90|chr5:148591156-148591423	IMR90|chr5:148521176-148521177
1	0.9045	chr11	96120	IMR90|chr11:8835148-8836307	IMR90|chr11:8739606-8739607
1	0.3439	chr11	3340	IMR90|chr11:8835148-8836307	IMR90|chr11:8832386-8832387
1	0.3434	chr11	2839	IMR90|chr11:8835148-8836307	IMR90|chr11:8832887-8832888
1	0.7019	chr11	131769	IMR90|chr11:8835148-8836307	IMR90|chr11:8703957-8703958
1	0.7233	chr11	131392	IMR90|chr11:8835148-8836307	IMR90|chr11:8704334-8704335
1	0.7233	chr11	131391	IMR90|chr11:8835148-8836307	IMR90|chr11:8704335-8704336
1	0.7233	chr11	131388	IMR90|chr11:8835148-8836307	IMR90|chr11:8704338-8704339
1	0.7233	chr11	131370	IMR90|chr11:8835148-8836307	IMR90|chr11:8704356-8704357
1	0.7394	chr11	130979	IMR90|chr11:8835148-8836307	IMR90|chr11:8704747-8704748
1	0.7855	chr11	129921	IMR90|chr11:8835148-8836307	IMR90|chr11:8705805-8705806
1	0.1826	chr8	229516	IMR90|chr8:142085193-142086617	IMR90|chr8:141856388-141856389
1	0.8282	chr5	68644	IMR90|chr5:148589723-148590333	IMR90|chr5:148521383-148521384
1	0.8282	chr5	68714	IMR90|chr5:148589723-148590333	IMR90|chr5:148521313-148521314
1	0.8282	chr5	68851	IMR90|chr5:148589723-148590333	IMR90|chr5:148521176-148521177
1	0.8282	chr5	68974	IMR90|chr5:148589723-148590333	IMR90|chr5:148521053-148521054
1	0.8282	chr5	68982	IMR90|chr5:148589723-148590333	IMR90|chr5:148521045-148521046
1	0.8077	chr5	69905	IMR90|chr5:148591156-148591423	IMR90|chr5:148521383-148521384
1	0.8077	chr5	69975	IMR90|chr5:148591156-148591423	IMR90|chr5:148521313-148521314
1	0.6942	chr8	126820	IMR90|chr8:42269727-42270771	IMR90|chr8:42397068-42397069
1	0.0319	chr5	306802	IMR90|chr5:149521145-149522202	IMR90|chr5:149828475-149828476
1	0.0314	chr5	307585	IMR90|chr5:149521145-149522202	IMR90|chr5:149829258-149829259
1	0.0314	chr5	307636	IMR90|chr5:149521145-149522202	IMR90|chr5:149829309-149829310
1	0.0314	chr5	307645	IMR90|chr5:149521145-149522202	IMR90|chr5:149829318-149829319
1	0.0372	chr5	305671	IMR90|chr5:149522347-149523262	IMR90|chr5:149828475-149828476
1	0.0429	chr5	306454	IMR90|chr5:149522347-149523262	IMR90|chr5:149829258-149829259
1	0.0429	chr5	306505	IMR90|chr5:149522347-149523262	IMR90|chr5:149829309-149829310
1	0.0429	chr5	306514	IMR90|chr5:149522347-149523262	IMR90|chr5:149829318-149829319
1	0.5772	chr5	89476	IMR90|chr5:77934196-77934705	IMR90|chr5:77844973-77844974
