true	pred	chrom	distance	enhancer_name	promoter_name
1	0.9161	chr3	90910	HeLa|chr3:189949183-189949524	HeLa|chr3:190040263-190040264
1	0.9492	chr3	90378	HeLa|chr3:189949596-189950175	HeLa|chr3:190040263-190040264
1	0.0377	chr3	250990	HeLa|chr3:194053650-194053849	HeLa|chr3:194304739-194304740
1	0.0377	chr3	251161	HeLa|chr3:194053650-194053849	HeLa|chr3:194304910-194304911
1	0.0067	chr3	256925	HeLa|chr3:194053650-194053849	HeLa|chr3:194310674-194310675
1	0.4254	chr19	122325	HeLa|chr19:2578825-2579741	HeLa|chr19:2456957-2456958
1	0.0092	chr3	455868	HeLa|chr3:196245941-196246386	HeLa|chr3:195790294-195790295
1	0.0079	chr3	459043	HeLa|chr3:196245941-196246386	HeLa|chr3:195787119-195787120
1	0.4254	chr19	122289	HeLa|chr19:2578825-2579741	HeLa|chr19:2456993-2456994
1	0.2346	chr3	250293	HeLa|chr3:194054047-194054847	HeLa|chr3:194304739-194304740
1	0.2346	chr3	250464	HeLa|chr3:194054047-194054847	HeLa|chr3:194304910-194304911
1	0.0225	chr3	256228	HeLa|chr3:194054047-194054847	HeLa|chr3:194310674-194310675
1	0.6274	chr19	103158	HeLa|chr19:2578825-2579741	HeLa|chr19:2476124-2476125
1	0.0066	chr3	437149	HeLa|chr3:196227349-196227539	HeLa|chr3:195790294-195790295
1	0.0118	chr3	440324	HeLa|chr3:196227349-196227539	HeLa|chr3:195787119-195787120
1	0.9071	chr4	34697	HeLa|chr4:74999589-74999826	HeLa|chr4:74965009-74965010
1	0.8734	chr4	35085	HeLa|chr4:74999895-75000296	HeLa|chr4:74965009-74965010
1	0.0172	chr19	162796	HeLa|chr19:2950013-2951316	HeLa|chr19:3113460-3113461
1	0.853	chr19	9993	HeLa|chr19:42890794-42891780	HeLa|chr19:42901279-42901280
1	0.9756	chrX	59193	HeLa|chrX:40653783-40654170	HeLa|chrX:40594782-40594783
1	0.9751	chrX	58866	HeLa|chrX:40653783-40654170	HeLa|chrX:40595109-40595110
1	0.9756	chrX	58802	HeLa|chrX:40653394-40653777	HeLa|chrX:40594782-40594783
1	0.752	chr19	100977	HeLa|chr19:2576868-2577337	HeLa|chr19:2476124-2476125
1	0.3543	chr19	120108	HeLa|chr19:2576868-2577337	HeLa|chr19:2456993-2456994
