label,enhancer_distance_to_promoter,enhancer_chrom,enhancer_start,enhancer_end,enhancer_name,promoter_chrom,promoter_start,promoter_end,promoter_name
1,68227.0,chr11,518449,518565,HeLa|chr11:518449-518565,chr11,448780,450780,HeLa|chr11:450279-450280
1,112262.0,chr16,80958303,80958747,HeLa|chr16:80958303-80958747,chr16,81069287,81071287,HeLa|chr16:81070786-81070787
1,139202.0,chr2,182616999,182617377,HeLa|chr2:182616999-182617377,chr2,182755890,182757890,HeLa|chr2:182756389-182756390
1,139494.0,chr2,182616999,182617377,HeLa|chr2:182616999-182617377,chr2,182755182,182757182,HeLa|chr2:182756681-182756682
1,139524.0,chr2,182616999,182617377,HeLa|chr2:182616999-182617377,chr2,182755212,182757212,HeLa|chr2:182756711-182756712
1,139735.0,chr2,182616999,182617377,HeLa|chr2:182616999-182617377,chr2,182755423,182757423,HeLa|chr2:182756922-182756923
1,140932.0,chr2,182616999,182617377,HeLa|chr2:182616999-182617377,chr2,182756620,182758620,HeLa|chr2:182758119-182758120
1,158044.0,chr2,182616999,182617377,HeLa|chr2:182616999-182617377,chr2,182773732,182775732,HeLa|chr2:182775231-182775232
1,90910.5,chr3,189949183,189949524,HeLa|chr3:189949183-189949524,chr3,190039764,190041764,HeLa|chr3:190040263-190040264
1,87053.5,chr8,80996327,80997152,HeLa|chr8:80996327-80997152,chr8,81083293,81085293,HeLa|chr8:81083792-81083793
1,87154.5,chr8,80996327,80997152,HeLa|chr8:80996327-80997152,chr8,81083394,81085394,HeLa|chr8:81083893-81083894
1,90378.5,chr3,189949596,189950175,HeLa|chr3:189949596-189950175,chr3,190039764,190041764,HeLa|chr3:190040263-190040264
1,82449.5,chr17,41478588,41479181,HeLa|chr17:41478588-41479181,chr17,41559834,41561834,HeLa|chr17:41561333-41561334
1,82446.5,chr17,41478588,41479181,HeLa|chr17:41478588-41479181,chr17,41559831,41561831,HeLa|chr17:41561330-41561331
1,205349.5,chr12,69455405,69455942,HeLa|chr12:69455405-69455942,chr12,69249824,69251824,HeLa|chr12:69250323-69250324
1,250990.5,chr3,194053650,194053849,HeLa|chr3:194053650-194053849,chr3,194303240,194305240,HeLa|chr3:194304739-194304740
1,251161.5,chr3,194053650,194053849,HeLa|chr3:194053650-194053849,chr3,194303411,194305411,HeLa|chr3:194304910-194304911
1,112267.0,chr16,80958303,80958747,HeLa|chr16:80958303-80958747,chr16,81069292,81071292,HeLa|chr16:81070791-81070792
1,167037.0,chr2,182608052,182608338,HeLa|chr2:182608052-182608338,chr2,182773732,182775732,HeLa|chr2:182775231-182775232
1,190564.5,chr1,182570494,182571165,HeLa|chr1:182570494-182571165,chr1,182759894,182761894,HeLa|chr1:182761393-182761394
1,149925.0,chr2,182608052,182608338,HeLa|chr2:182608052-182608338,chr2,182756620,182758620,HeLa|chr2:182758119-182758120
1,30950.5,chr14,77525674,77526295,HeLa|chr14:77525674-77526295,chr14,77494534,77496534,HeLa|chr14:77495033-77495034
1,347858.0,chr1,110179319,110179581,HeLa|chr1:110179319-110179581,chr1,110525808,110527808,HeLa|chr1:110527307-110527308
