true	pred	chrom	distance	enhancer_name	promoter_name
1	0.4155009750726581	chr19	268205.0	K562|chr19:19486134-19486314	K562|chr19:19754428-19754429
1	0.41620610858459633	chr19	268252.0	K562|chr19:19486134-19486314	K562|chr19:19754475-19754476
1	0.009004321927291137	chr19	280169.0	K562|chr19:19486134-19486314	K562|chr19:19766392-19766393
1	0.5880388988904673	chr19	286701.0	K562|chr19:19486134-19486314	K562|chr19:19772924-19772925
1	0.3342352728225266	chr19	287817.0	K562|chr19:19486134-19486314	K562|chr19:19774040-19774041
1	0.2223571235303904	chr19	288278.0	K562|chr19:19486134-19486314	K562|chr19:19774501-19774502
1	0.44515577863019473	chr3	120172.0	K562|chr3:182434602-182434864	K562|chr3:182554904-182554905
1	0.1616643930372095	chr3	116728.0	K562|chr3:182434602-182434864	K562|chr3:182551460-182551461
1	0.4898742579897926	chr19	268186.0	K562|chr19:19486134-19486314	K562|chr19:19754409-19754410
1	0.4898742579897926	chr19	268183.0	K562|chr19:19486134-19486314	K562|chr19:19754406-19754407
1	0.5150704546732627	chr3	119815.5	K562|chr3:182434874-182435305	K562|chr3:182554904-182554905
1	0.2287816365257577	chr3	116371.5	K562|chr3:182434874-182435305	K562|chr3:182551460-182551461
1	0.9849394639615127	chr3	271394.5	K562|chr3:49481280-49481801	K562|chr3:49210145-49210146
1	0.9185507664854282	chr3	272496.5	K562|chr3:49481280-49481801	K562|chr3:49209043-49209044
1	0.848492884108658	chr3	277786.5	K562|chr3:49481280-49481801	K562|chr3:49203753-49203754
1	0.004375429936304604	chr19	650093.5	K562|chr19:9901073-9901226	K562|chr19:9251055-9251056
1	0.18236719842229845	chr7	110982.0	K562|chr7:2389635-2390087	K562|chr7:2278878-2278879
1	0.28431047768268136	chr7	107967.0	K562|chr7:2389635-2390087	K562|chr7:2281893-2281894
1	0.28431047768268136	chr7	108004.0	K562|chr7:2389635-2390087	K562|chr7:2281856-2281857
1	0.2514273222385908	chr7	108028.0	K562|chr7:2389635-2390087	K562|chr7:2281832-2281833
1	0.2514273222385908	chr7	108037.0	K562|chr7:2389635-2390087	K562|chr7:2281823-2281824
1	0.2514273222385908	chr7	108057.0	K562|chr7:2389635-2390087	K562|chr7:2281803-2281804
1	0.3948516941309815	chr3	120635.0	K562|chr3:182434240-182434300	K562|chr3:182554904-182554905
1	0.11752677632952958	chr3	117191.0	K562|chr3:182434240-182434300	K562|chr3:182551460-182551461
1	0.0044072048225106105	chr19	650076.5	K562|chr19:9901073-9901226	K562|chr19:9251072-9251073
1	0.25281265349927673	chr3	120498.5	K562|chr3:182434301-182434512	K562|chr3:182554904-182554905
1	0.010213575725703278	chr19	632401.5	K562|chr19:9901073-9901226	K562|chr19:9268747-9268748
1	0.008389378227469253	chr19	451217.5	K562|chr19:9901073-9901226	K562|chr19:9449931-9449932
1	0.08321253700714247	chr3	117054.5	K562|chr3:182434301-182434512	K562|chr3:182551460-182551461
1	0.8424451380652259	chr19	41226.5	K562|chr19:49702114-49702483	K562|chr19:49661071-49661072
