true	pred	chrom	distance	enhancer_name	promoter_name
1	0.9669	chr16	36769	IMR90|chr16:676807-676886	IMR90|chr16:640076-640077
1	0.6646	chr12	244193	IMR90|chr12:109199009-109199251	IMR90|chr12:108954936-108954937
1	0.6658	chr12	243965	IMR90|chr12:109199009-109199251	IMR90|chr12:108955164-108955165
1	0.6988	chr12	242753	IMR90|chr12:109199009-109199251	IMR90|chr12:108956376-108956377
1	0.6988	chr12	242748	IMR90|chr12:109199009-109199251	IMR90|chr12:108956381-108956382
1	0.8525	chr18	89237	IMR90|chr18:8794413-8795379	IMR90|chr18:8705658-8705659
1	0.5851	chr12	289878	IMR90|chr12:109244624-109245007	IMR90|chr12:108954936-108954937
1	0.5888	chr12	289650	IMR90|chr12:109244624-109245007	IMR90|chr12:108955164-108955165
1	0.7536	chr12	288438	IMR90|chr12:109244624-109245007	IMR90|chr12:108956376-108956377
1	0.7536	chr12	288433	IMR90|chr12:109244624-109245007	IMR90|chr12:108956381-108956382
1	0.5914	chr12	291664	IMR90|chr12:109247845-109248248	IMR90|chr12:108956381-108956382
1	0.7703	chr12	242450	IMR90|chr12:109197143-109197632	IMR90|chr12:108954936-108954937
1	0.7291	chr12	241010	IMR90|chr12:109197143-109197632	IMR90|chr12:108956376-108956377
1	0.7291	chr12	241005	IMR90|chr12:109197143-109197632	IMR90|chr12:108956381-108956382
1	0.7736	chr12	241723	IMR90|chr12:109196533-109196787	IMR90|chr12:108954936-108954937
1	0.7746	chr12	241495	IMR90|chr12:109196533-109196787	IMR90|chr12:108955164-108955165
1	0.7281	chr12	240283	IMR90|chr12:109196533-109196787	IMR90|chr12:108956376-108956377
1	0.7281	chr12	240278	IMR90|chr12:109196533-109196787	IMR90|chr12:108956381-108956382
1	0.7753	chr12	241249	IMR90|chr12:109195962-109196410	IMR90|chr12:108954936-108954937
1	0.7725	chr12	242222	IMR90|chr12:109197143-109197632	IMR90|chr12:108955164-108955165
1	0.9753	chr12	34539	IMR90|chr12:8123036-8123785	IMR90|chr12:8088870-8088871
1	0.725	chr12	243526	IMR90|chr12:109198115-109198812	IMR90|chr12:108954936-108954937
1	0.7259	chr12	243298	IMR90|chr12:109198115-109198812	IMR90|chr12:108955164-108955165
1	0.6823	chr12	242086	IMR90|chr12:109198115-109198812	IMR90|chr12:108956376-108956377
1	0.6823	chr12	242081	IMR90|chr12:109198115-109198812	IMR90|chr12:108956381-108956382
1	0.5914	chr12	291669	IMR90|chr12:109247845-109248248	IMR90|chr12:108956376-108956377
1	0.9162	chr18	104172	IMR90|chr18:33604986-33605358	IMR90|chr18:33709343-33709344
1	0.9162	chr18	104109	IMR90|chr18:33604986-33605358	IMR90|chr18:33709280-33709281
1	0.8797	chr18	104662	IMR90|chr18:33604986-33605358	IMR90|chr18:33709833-33709834
1	0.8797	chr18	104682	IMR90|chr18:33604986-33605358	IMR90|chr18:33709853-33709854
1	0.8403	chr18	96906	IMR90|chr18:33604986-33605358	IMR90|chr18:33702077-33702078
1	0.8797	chr18	104689	IMR90|chr18:33604986-33605358	IMR90|chr18:33709860-33709861
1	0.6632	chr12	292881	IMR90|chr12:109247845-109248248	IMR90|chr12:108955164-108955165
1	0.6933	chr18	551396	IMR90|chr18:9974307-9974963	IMR90|chr18:10526030-10526031
1	0.6655	chr12	293512	IMR90|chr12:109248283-109248615	IMR90|chr12:108954936-108954937
1	0.6632	chr12	293284	IMR90|chr12:109248283-109248615	IMR90|chr12:108955164-108955165
1	0.5914	chr12	292072	IMR90|chr12:109248283-109248615	IMR90|chr12:108956376-108956377
1	0.5914	chr12	292067	IMR90|chr12:109248283-109248615	IMR90|chr12:108956381-108956382
