true	pred	chrom	distance	enhancer_name	promoter_name
1	0.8388	chr1	190564	HeLa|chr1:182570494-182571165	HeLa|chr1:182761393-182761394
1	0.4683	chr1	347858	HeLa|chr1:110179319-110179581	HeLa|chr1:110527307-110527308
1	0.1989	chr1	367706	HeLa|chr1:110178799-110179295	HeLa|chr1:110546752-110546753
1	0.4683	chr1	348261	HeLa|chr1:110178799-110179295	HeLa|chr1:110527307-110527308
1	0.8575	chr1	144909	HeLa|chr1:46505094-46506165	HeLa|chr1:46650538-46650539
1	0.7757	chr1	135308	HeLa|chr1:46505094-46506165	HeLa|chr1:46640937-46640938
1	0.7757	chr1	135129	HeLa|chr1:46505094-46506165	HeLa|chr1:46640758-46640759
1	0.167	chr1	367303	HeLa|chr1:110179319-110179581	HeLa|chr1:110546752-110546753
1	0.3179	chr1	112089	HeLa|chr1:181103800-181104472	HeLa|chr1:180992046-180992047
1	0.304	chr1	112666	HeLa|chr1:181104619-181104808	HeLa|chr1:180992046-180992047
1	0.304	chr1	112708	HeLa|chr1:181104619-181104808	HeLa|chr1:180992004-180992005
1	0.3179	chr1	112131	HeLa|chr1:181103800-181104472	HeLa|chr1:180992004-180992005
1	0.826	chr1	286688	HeLa|chr1:180137859-180138412	HeLa|chr1:179851446-179851447
1	0.8947	chr1	291197	HeLa|chr1:180137859-180138412	HeLa|chr1:179846937-179846938
1	0.8947	chr1	291201	HeLa|chr1:180137859-180138412	HeLa|chr1:179846933-179846934
1	0.8947	chr1	291210	HeLa|chr1:180137859-180138412	HeLa|chr1:179846924-179846925
1	0.8947	chr1	291218	HeLa|chr1:180137859-180138412	HeLa|chr1:179846916-179846917
1	0.8081	chr1	303824	HeLa|chr1:180137859-180138412	HeLa|chr1:179834310-179834311
1	0.3402	chr1	118542	HeLa|chr1:181110502-181110677	HeLa|chr1:180992046-180992047
1	0.3402	chr1	118584	HeLa|chr1:181110502-181110677	HeLa|chr1:180992004-180992005
1	0.9824	chr1	52951	HeLa|chr1:181110502-181110677	HeLa|chr1:181057637-181057638
1	0.3402	chr1	118826	HeLa|chr1:181110681-181111066	HeLa|chr1:180992046-180992047
1	0.3402	chr1	118868	HeLa|chr1:181110681-181111066	HeLa|chr1:180992004-180992005
1	0.9824	chr1	53235	HeLa|chr1:181110681-181111066	HeLa|chr1:181057637-181057638
1	0.604	chr1	119686	HeLa|chr1:181111507-181111960	HeLa|chr1:180992046-180992047
1	0.604	chr1	119728	HeLa|chr1:181111507-181111960	HeLa|chr1:180992004-180992005
1	0.9824	chr1	54095	HeLa|chr1:181111507-181111960	HeLa|chr1:181057637-181057638
1	0.2495	chr1	112994	HeLa|chr1:181104914-181105169	HeLa|chr1:180992046-180992047
1	0.2495	chr1	113036	HeLa|chr1:181104914-181105169	HeLa|chr1:180992004-180992005
1	0.1785	chr1	367050	HeLa|chr1:110179583-110179822	HeLa|chr1:110546752-110546753
1	0.6969	chr1	347605	HeLa|chr1:110179583-110179822	HeLa|chr1:110527307-110527308
1	0.2495	chr1	113366	HeLa|chr1:181105246-181105581	HeLa|chr1:180992046-180992047
1	0.2495	chr1	113408	HeLa|chr1:181105246-181105581	HeLa|chr1:180992004-180992005
1	0.3873	chr1	117001	HeLa|chr1:181108886-181109211	HeLa|chr1:180992046-180992047
1	0.3873	chr1	117043	HeLa|chr1:181108886-181109211	HeLa|chr1:180992004-180992005
1	0.8972	chr1	147636	HeLa|chr1:46502686-46503120	HeLa|chr1:46650538-46650539
1	0.8275	chr1	243791	HeLa|chr1:207251116-207251487	HeLa|chr1:207495092-207495093
1	0.8275	chr1	243834	HeLa|chr1:207251116-207251487	HeLa|chr1:207495135-207495136
1	0.9163	chr10	105273	HeLa|chr10:95136138-95137217	HeLa|chr10:95241950-95241951
1	0.9095	chr10	105396	HeLa|chr10:95136138-95137217	HeLa|chr10:95242073-95242074
1	0.8898	chr10	98392	HeLa|chr10:95143342-95143775	HeLa|chr10:95241950-95241951
1	0.8832	chr10	98515	HeLa|chr10:95143342-95143775	HeLa|chr10:95242073-95242074
1	0.8898	chr10	97976	HeLa|chr10:95143811-95144138	HeLa|chr10:95241950-95241951
1	0.9009	chr10	98099	HeLa|chr10:95143811-95144138	HeLa|chr10:95242073-95242074
1	0.8275	chr1	243809	HeLa|chr1:207251116-207251487	HeLa|chr1:207495110-207495111
1	0.8275	chr1	243744	HeLa|chr1:207251116-207251487	HeLa|chr1:207495045-207495046
1	0.0663	chr1	188037	HeLa|chr1:204140721-204141292	HeLa|chr1:204329043-204329044
1	0.8275	chr1	243727	HeLa|chr1:207251116-207251487	HeLa|chr1:207495028-207495029
1	0.9361	chr15	36209	HeLa|chr15:41150299-41150612	HeLa|chr15:41186664-41186665
1	0.9361	chr15	36172	HeLa|chr15:41150299-41150612	HeLa|chr15:41186627-41186628
1	0.9656	chr15	16031	HeLa|chr15:41150299-41150612	HeLa|chr15:41166486-41166487
1	0.7793	chr1	132431	HeLa|chr1:94279536-94280097	HeLa|chr1:94147384-94147385
1	0.826	chr1	243551	HeLa|chr1:207251116-207251487	HeLa|chr1:207494852-207494853
1	0.826	chr1	243575	HeLa|chr1:207251116-207251487	HeLa|chr1:207494876-207494877
1	0.826	chr1	243686	HeLa|chr1:207251116-207251487	HeLa|chr1:207494987-207494988
1	0.8338	chr1	243153	HeLa|chr1:207251576-207251824	HeLa|chr1:207494852-207494853
1	0.8338	chr1	243177	HeLa|chr1:207251576-207251824	HeLa|chr1:207494876-207494877
1	0.8338	chr1	243288	HeLa|chr1:207251576-207251824	HeLa|chr1:207494987-207494988
1	0.82	chr1	142025	HeLa|chr1:45814181-45815444	HeLa|chr1:45956837-45956838
1	0.5709	chr1	241517	HeLa|chr1:207253139-207253533	HeLa|chr1:207494852-207494853
1	0.5709	chr1	241541	HeLa|chr1:207253139-207253533	HeLa|chr1:207494876-207494877
1	0.5709	chr1	241652	HeLa|chr1:207253139-207253533	HeLa|chr1:207494987-207494988
1	0.5722	chr1	241693	HeLa|chr1:207253139-207253533	HeLa|chr1:207495028-207495029
1	0.5722	chr1	241710	HeLa|chr1:207253139-207253533	HeLa|chr1:207495045-207495046
1	0.5722	chr1	241757	HeLa|chr1:207253139-207253533	HeLa|chr1:207495092-207495093
1	0.5722	chr1	241775	HeLa|chr1:207253139-207253533	HeLa|chr1:207495110-207495111
1	0.5722	chr1	241800	HeLa|chr1:207253139-207253533	HeLa|chr1:207495135-207495136
1	0.4845	chr1	150912	HeLa|chr1:45814181-45815444	HeLa|chr1:45965724-45965725
1	0.4845	chr1	150938	HeLa|chr1:45814181-45815444	HeLa|chr1:45965750-45965751
1	0.8353	chr1	243436	HeLa|chr1:207251576-207251824	HeLa|chr1:207495135-207495136
1	0.8353	chr1	243329	HeLa|chr1:207251576-207251824	HeLa|chr1:207495028-207495029
1	0.8353	chr1	243346	HeLa|chr1:207251576-207251824	HeLa|chr1:207495045-207495046
1	0.8353	chr1	243393	HeLa|chr1:207251576-207251824	HeLa|chr1:207495092-207495093
1	0.8353	chr1	243411	HeLa|chr1:207251576-207251824	HeLa|chr1:207495110-207495111
1	0.9597	chr10	11222	HeLa|chr10:95230671-95230786	HeLa|chr10:95241950-95241951
1	0.967	chr10	11345	HeLa|chr10:95230671-95230786	HeLa|chr10:95242073-95242074
1	0.9127	chr10	10830	HeLa|chr10:95230872-95231370	HeLa|chr10:95241950-95241951
1	0.9269	chr10	10953	HeLa|chr10:95230872-95231370	HeLa|chr10:95242073-95242074
1	0.0588	chr1	205786	HeLa|chr1:204140721-204141292	HeLa|chr1:204346792-204346793
1	0.9075	chr1	251962	HeLa|chr1:196368896-196369196	HeLa|chr1:196621007-196621008
1	0.9075	chr1	252140	HeLa|chr1:196368896-196369196	HeLa|chr1:196621185-196621186
1	0.9198	chr1	250846	HeLa|chr1:196369880-196370443	HeLa|chr1:196621007-196621008
1	0.9198	chr1	251024	HeLa|chr1:196369880-196370443	HeLa|chr1:196621185-196621186
1	0.9359	chr15	17694	HeLa|chr15:41183983-41184380	HeLa|chr15:41166486-41166487
1	0.73	chr1	247467	HeLa|chr1:196373259-196373823	HeLa|chr1:196621007-196621008
1	0.73	chr1	247645	HeLa|chr1:196373259-196373823	HeLa|chr1:196621185-196621186
1	0.4981	chr1	498585	HeLa|chr1:110075395-110075832	HeLa|chr1:110574198-110574199
1	0.9748	chr15	9731	HeLa|chr15:41196178-41196541	HeLa|chr15:41186627-41186628
1	0.9801	chr15	9694	HeLa|chr15:41196178-41196541	HeLa|chr15:41186664-41186665
1	0.3838	chr1	485440	HeLa|chr1:110075395-110075832	HeLa|chr1:110561053-110561054
1	0.7557	chr1	61478	HeLa|chr1:201416984-201417227	HeLa|chr1:201478583-201478584
1	0.8008	chr1	47005	HeLa|chr1:90355741-90356233	HeLa|chr1:90308981-90308982
1	0.9363	chr15	35015	HeLa|chr15:41151178-41152122	HeLa|chr15:41186664-41186665
1	0.9363	chr15	34978	HeLa|chr15:41151178-41152122	HeLa|chr15:41186627-41186628
1	0.9307	chr15	14837	HeLa|chr15:41151178-41152122	HeLa|chr15:41166486-41166487
1	0.5076	chr1	215103	HeLa|chr1:204131379-204132001	HeLa|chr1:204346792-204346793
1	0.4819	chr1	499179	HeLa|chr1:110074776-110075264	HeLa|chr1:110574198-110574199
1	0.3766	chr1	486034	HeLa|chr1:110074776-110075264	HeLa|chr1:110561053-110561054
1	0.9682	chr1	51948	HeLa|chr1:45982162-45982514	HeLa|chr1:46034285-46034286
1	0.9739	chr1	50883	HeLa|chr1:45982162-45982514	HeLa|chr1:46033220-46033221
1	0.9546	chr1	50203	HeLa|chr1:45982162-45982514	HeLa|chr1:46032540-46032541
1	0.9659	chr15	28350	HeLa|chr15:41158047-41158583	HeLa|chr15:41186664-41186665
1	0.9659	chr15	28313	HeLa|chr15:41158047-41158583	HeLa|chr15:41186627-41186628
1	0.8028	chr1	61075	HeLa|chr1:201417249-201417769	HeLa|chr1:201478583-201478584
1	0.8555	chr1	156057	HeLa|chr1:161351857-161352446	HeLa|chr1:161196093-161196094
1	0.8593	chr1	156667	HeLa|chr1:161352462-161353061	HeLa|chr1:161196093-161196094
1	0.9481	chr10	86564	HeLa|chr10:112170813-112171250	HeLa|chr10:112257595-112257596
1	0.8145	chr1	163877	HeLa|chr1:161359220-161360722	HeLa|chr1:161196093-161196094
1	0.9578	chr10	84907	HeLa|chr10:112172463-112172915	HeLa|chr10:112257595-112257596
1	0.922	chr21	67606	HeLa|chr21:43870422-43870515	HeLa|chr21:43802861-43802862
1	0.922	chr21	67386	HeLa|chr21:43870080-43870417	HeLa|chr21:43802861-43802862
1	0.9585	chr10	85862	HeLa|chr10:112171617-112171851	HeLa|chr10:112257595-112257596
1	0.5669	chr10	105331	HeLa|chr10:74088039-74088406	HeLa|chr10:73982890-73982891
1	0.069	chr1	493727	HeLa|chr1:178501185-178501423	HeLa|chr1:178995030-178995031
1	0.6961	chr10	105039	HeLa|chr10:74087821-74088039	HeLa|chr10:73982890-73982891
1	0.0288	chr1	488758	HeLa|chr1:178505968-178506577	HeLa|chr1:178995030-178995031
1	0.8027	chr10	114165	HeLa|chr10:74096905-74097207	HeLa|chr10:73982890-73982891
1	0.2575	chr21	266278	HeLa|chr21:43032900-43033708	HeLa|chr21:43299581-43299582
1	0.2576	chr21	267057	HeLa|chr21:43032354-43032695	HeLa|chr21:43299581-43299582
1	0.8848	chr1	285927	HeLa|chr1:180137195-180137554	HeLa|chr1:179851446-179851447
1	0.9229	chr1	290436	HeLa|chr1:180137195-180137554	HeLa|chr1:179846937-179846938
1	0.9229	chr1	290440	HeLa|chr1:180137195-180137554	HeLa|chr1:179846933-179846934
1	0.9229	chr1	290449	HeLa|chr1:180137195-180137554	HeLa|chr1:179846924-179846925
1	0.9229	chr1	290457	HeLa|chr1:180137195-180137554	HeLa|chr1:179846916-179846917
1	0.7479	chr1	303063	HeLa|chr1:180137195-180137554	HeLa|chr1:179834310-179834311
1	0.0288	chr1	488188	HeLa|chr1:178506634-178507051	HeLa|chr1:178995030-178995031
1	0.5699	chr1	228471	HeLa|chr1:110319490-110319918	HeLa|chr1:110091232-110091233
1	0.6102	chr15	261463	HeLa|chr15:74665999-74667211	HeLa|chr15:74928067-74928068
1	0.3214	chr1	164486	HeLa|chr1:179098168-179098709	HeLa|chr1:179262924-179262925
1	0.3214	chr1	164493	HeLa|chr1:179098168-179098709	HeLa|chr1:179262931-179262932
1	0.3214	chr1	164498	HeLa|chr1:179098168-179098709	HeLa|chr1:179262936-179262937
1	0.9413	chr10	87260	HeLa|chr10:112170023-112170649	HeLa|chr10:112257595-112257596
1	0.8016	chr1	316125	HeLa|chr1:112933424-112933820	HeLa|chr1:113249746-113249747
1	0.8016	chr1	316135	HeLa|chr1:112933424-112933820	HeLa|chr1:113249756-113249757
1	0.7994	chr1	316403	HeLa|chr1:112933424-112933820	HeLa|chr1:113250024-113250025
1	0.7994	chr1	316434	HeLa|chr1:112933424-112933820	HeLa|chr1:113250055-113250056
1	0.8409	chr1	107523	HeLa|chr1:234637371-234638124	HeLa|chr1:234745270-234745271
1	0.8016	chr1	316102	HeLa|chr1:112933424-112933820	HeLa|chr1:113249723-113249724
1	0.8068	chr1	114050	HeLa|chr1:234630791-234631650	HeLa|chr1:234745270-234745271
1	0.7759	chr1	108294	HeLa|chr1:234636790-234637163	HeLa|chr1:234745270-234745271
1	0.4321	chr1	201103	HeLa|chr1:110325973-110326437	HeLa|chr1:110527307-110527308
1	0.7805	chr1	108974	HeLa|chr1:234636046-234636548	HeLa|chr1:234745270-234745271
1	0.8085	chr1	94801	HeLa|chr1:28680496-28681182	HeLa|chr1:28586037-28586038
1	0.8034	chr1	315658	HeLa|chr1:112933891-112934240	HeLa|chr1:113249723-113249724
1	0.8034	chr1	315681	HeLa|chr1:112933891-112934240	HeLa|chr1:113249746-113249747
1	0.8034	chr1	315691	HeLa|chr1:112933891-112934240	HeLa|chr1:113249756-113249757
1	0.8403	chr1	315959	HeLa|chr1:112933891-112934240	HeLa|chr1:113250024-113250025
1	0.7927	chr1	74350	HeLa|chr1:33177771-33178198	HeLa|chr1:33252334-33252335
1	0.9166	chr1	105769	HeLa|chr1:33177771-33178198	HeLa|chr1:33283753-33283754
1	0.895	chr1	104933	HeLa|chr1:33177771-33178198	HeLa|chr1:33282917-33282918
1	0.9441	chr1	99610	HeLa|chr1:234645215-234646106	HeLa|chr1:234745270-234745271
1	0.4109	chr1	256954	HeLa|chr1:235001934-235002516	HeLa|chr1:234745270-234745271
1	0.8403	chr1	315990	HeLa|chr1:112933891-112934240	HeLa|chr1:113250055-113250056
1	0.7431	chr1	103786	HeLa|chr1:234641122-234641848	HeLa|chr1:234745270-234745271
1	0.8239	chr1	101118	HeLa|chr1:234643939-234644366	HeLa|chr1:234745270-234745271
1	0.8941	chr1	57953	HeLa|chr1:211809871-211810204	HeLa|chr1:211752083-211752084
1	0.9508	chr1	120433	HeLa|chr1:109819862-109820418	HeLa|chr1:109940572-109940573
1	0.8442	chr1	93616	HeLa|chr1:28679550-28679758	HeLa|chr1:28586037-28586038
1	0.9399	chr1	122800	HeLa|chr1:109817339-109818206	HeLa|chr1:109940572-109940573
1	0.8074	chr1	7964	HeLa|chr1:109817339-109818206	HeLa|chr1:109825736-109825737
1	0.8074	chr1	7996	HeLa|chr1:109817339-109818206	HeLa|chr1:109825768-109825769
1	0.8074	chr1	8017	HeLa|chr1:109817339-109818206	HeLa|chr1:109825789-109825790
1	0.8882	chr1	57592	HeLa|chr1:211809552-211809801	HeLa|chr1:211752083-211752084
1	0.9469	chr1	38892	HeLa|chr1:110075395-110075832	HeLa|chr1:110036720-110036721
1	0.94	chr1	207604	HeLa|chr1:110319490-110319918	HeLa|chr1:110527307-110527308
1	0.9573	chr1	31227	HeLa|chr1:33238557-33238870	HeLa|chr1:33207485-33207486
1	0.9615	chr1	38299	HeLa|chr1:110074776-110075264	HeLa|chr1:110036720-110036721
1	0.8185	chr1	94382	HeLa|chr1:28680381-28680460	HeLa|chr1:28586037-28586038
1	0.9679	chr1	12235	HeLa|chr1:212769513-212770040	HeLa|chr1:212782011-212782012
1	0.9263	chr1	16562	HeLa|chr1:207477910-207479237	HeLa|chr1:207495135-207495136
1	0.9263	chr1	16537	HeLa|chr1:207477910-207479237	HeLa|chr1:207495110-207495111
1	0.9263	chr1	16519	HeLa|chr1:207477910-207479237	HeLa|chr1:207495092-207495093
1	0.9263	chr1	16472	HeLa|chr1:207477910-207479237	HeLa|chr1:207495045-207495046
1	0.9263	chr1	16455	HeLa|chr1:207477910-207479237	HeLa|chr1:207495028-207495029
1	0.9252	chr1	16414	HeLa|chr1:207477910-207479237	HeLa|chr1:207494987-207494988
1	0.9252	chr1	16303	HeLa|chr1:207477910-207479237	HeLa|chr1:207494876-207494877
1	0.9252	chr1	16279	HeLa|chr1:207477910-207479237	HeLa|chr1:207494852-207494853
1	0.9689	chr1	12656	HeLa|chr1:212769228-212769483	HeLa|chr1:212782011-212782012
