true	pred	chrom	distance	enhancer_name	promoter_name
1	0.9999999860881066	chr11	234608.5	NHEK|chr11:113419739-113420136	NHEK|chr11:113185328-113185329
1	0.9999999967488322	chr11	238955.5	NHEK|chr11:113423847-113424382	NHEK|chr11:113185158-113185159
1	0.9999999887933361	chr11	238863.5	NHEK|chr11:113423847-113424382	NHEK|chr11:113185250-113185251
1	0.9999999887933361	chr11	238785.5	NHEK|chr11:113423847-113424382	NHEK|chr11:113185328-113185329
1	0.9999999959780679	chr11	235268.5	NHEK|chr11:113420317-113420538	NHEK|chr11:113185158-113185159
1	0.9999999861365376	chr11	235176.5	NHEK|chr11:113420317-113420538	NHEK|chr11:113185250-113185251
1	0.9999999861365376	chr11	235098.5	NHEK|chr11:113420317-113420538	NHEK|chr11:113185328-113185329
1	0.9999999959640176	chr11	234778.5	NHEK|chr11:113419739-113420136	NHEK|chr11:113185158-113185159
1	0.9999646126367869	chr8	96470.0	NHEK|chr8:17454137-17454617	NHEK|chr8:17550846-17550847
1	0.9999999967973994	chr6	139395.5	NHEK|chr6:116740274-116740649	NHEK|chr6:116601065-116601066
1	0.9999999984301386	chr6	139178.5	NHEK|chr6:116740274-116740649	NHEK|chr6:116601282-116601283
1	0.9999999860881066	chr11	234686.5	NHEK|chr11:113419739-113420136	NHEK|chr11:113185250-113185251
1	0.9999999987925308	chr6	146705.5	NHEK|chr6:116747780-116748197	NHEK|chr6:116601282-116601283
1	0.9999948876216894	chr6	267471.5	NHEK|chr6:112308550-112308923	NHEK|chr6:112041264-112041265
1	0.9999936597190051	chr6	265286.0	NHEK|chr6:112306249-112306853	NHEK|chr6:112041264-112041265
1	0.9999999953390764	chr6	258664.0	NHEK|chr6:42014036-42014092	NHEK|chr6:41755399-41755400
1	0.9999999953390764	chr6	258661.0	NHEK|chr6:42014036-42014092	NHEK|chr6:41755402-41755403
1	0.9999893891074744	chr6	258958.0	NHEK|chr6:112300046-112300400	NHEK|chr6:112041264-112041265
1	0.9999999957905747	chr11	234026.5	NHEK|chr11:113419055-113419316	NHEK|chr11:113185158-113185159
1	0.9999999854902553	chr11	233934.5	NHEK|chr11:113419055-113419316	NHEK|chr11:113185250-113185251
1	0.9999999854902553	chr11	233856.5	NHEK|chr11:113419055-113419316	NHEK|chr11:113185328-113185329
1	0.9999999960436641	chr11	232727.5	NHEK|chr11:113417496-113418277	NHEK|chr11:113185158-113185159
1	0.9999999863626452	chr11	232635.5	NHEK|chr11:113417496-113418277	NHEK|chr11:113185250-113185251
1	0.9999999863626452	chr11	232557.5	NHEK|chr11:113417496-113418277	NHEK|chr11:113185328-113185329
1	0.9999999969904643	chr11	215378.5	NHEK|chr11:113400406-113400669	NHEK|chr11:113185158-113185159
1	0.9999999888701362	chr11	215286.5	NHEK|chr11:113400406-113400669	NHEK|chr11:113185250-113185251
1	0.9999999888701362	chr11	215208.5	NHEK|chr11:113400406-113400669	NHEK|chr11:113185328-113185329
1	0.999999997860916	chr11	214744.5	NHEK|chr11:113399752-113400055	NHEK|chr11:113185158-113185159
1	0.9999999920892407	chr11	214652.5	NHEK|chr11:113399752-113400055	NHEK|chr11:113185250-113185251
1	0.9999999920892407	chr11	214574.5	NHEK|chr11:113399752-113400055	NHEK|chr11:113185328-113185329
1	0.9999999975260236	chr6	146922.5	NHEK|chr6:116747780-116748197	NHEK|chr6:116601065-116601066
1	0.9999999951962772	chr6	292229.0	NHEK|chr6:44030577-44030919	NHEK|chr6:43738518-43738519
1	0.9999999951962772	chr6	291928.0	NHEK|chr6:44030577-44030919	NHEK|chr6:43738819-43738820
1	0.9999999947628186	chr6	291764.0	NHEK|chr6:44030577-44030919	NHEK|chr6:43738983-43738984
1	0.9999999731265329	chr6	291019.0	NHEK|chr6:44030577-44030919	NHEK|chr6:43739728-43739729
1	0.9999999954513212	chr6	292798.0	NHEK|chr6:44030577-44030919	NHEK|chr6:43737949-43737950
1	0.9999999976823177	chr8	314455.5	NHEK|chr8:126130590-126132075	NHEK|chr8:126445787-126445788
1	0.9999999981278889	chr8	311230.5	NHEK|chr8:126130590-126132075	NHEK|chr8:126442562-126442563
1	0.9999999938149218	chr6	294392.5	NHEK|chr6:44032118-44032567	NHEK|chr6:43737949-43737950
1	0.9999999938149218	chr6	293823.5	NHEK|chr6:44032118-44032567	NHEK|chr6:43738518-43738519
1	0.9999999938149218	chr6	293522.5	NHEK|chr6:44032118-44032567	NHEK|chr6:43738819-43738820
1	0.9999999931963506	chr6	293358.5	NHEK|chr6:44032118-44032567	NHEK|chr6:43738983-43738984
1	0.9999999580704766	chr6	292613.5	NHEK|chr6:44032118-44032567	NHEK|chr6:43739728-43739729
1	0.999999997859208	chr11	109979.0	NHEK|chr11:122635936-122636788	NHEK|chr11:122526382-122526383
1	0.9999999952850949	chr6	201656.0	NHEK|chr6:26336508-26337446	NHEK|chr6:26538632-26538633
1	0.9999999976464293	chr11	109203.5	NHEK|chr11:122635369-122635804	NHEK|chr11:122526382-122526383
1	0.9999999977486822	chr11	103545.0	NHEK|chr11:122629775-122630081	NHEK|chr11:122526382-122526383
1	0.9999999936071715	chr6	629594.0	NHEK|chr6:27146068-27146542	NHEK|chr6:27775898-27775899
1	0.9999999972900135	chr5	94134.0	NHEK|chr5:53700261-53700831	NHEK|chr5:53606411-53606412
1	0.9999999972900135	chr5	94140.0	NHEK|chr5:53700261-53700831	NHEK|chr5:53606405-53606406
1	0.9999999973349589	chr5	105693.5	NHEK|chr5:53711558-53712653	NHEK|chr5:53606411-53606412
1	0.9999999973349589	chr5	105699.5	NHEK|chr5:53711558-53712653	NHEK|chr5:53606405-53606406
1	0.9999999978178871	chr8	5188.0	NHEK|chr8:27188035-27188333	NHEK|chr8:27182995-27182996
1	0.9999999944031943	chr6	304072.0	NHEK|chr6:116878986-116879680	NHEK|chr6:116575260-116575261
1	0.999999998085159	chr6	278050.0	NHEK|chr6:116878986-116879680	NHEK|chr6:116601282-116601283
1	0.9999999942302442	chr6	288848.0	NHEK|chr6:44026131-44027465	NHEK|chr6:43737949-43737950
1	0.9999999939067346	chr6	288279.0	NHEK|chr6:44026131-44027465	NHEK|chr6:43738518-43738519
1	0.9999999939067346	chr6	287978.0	NHEK|chr6:44026131-44027465	NHEK|chr6:43738819-43738820
1	0.9999999932973453	chr6	287814.0	NHEK|chr6:44026131-44027465	NHEK|chr6:43738983-43738984
1	0.9999999554867889	chr6	287069.0	NHEK|chr6:44026131-44027465	NHEK|chr6:43739728-43739729
1	0.999999994194384	chr6	302156.5	NHEK|chr6:116876995-116877840	NHEK|chr6:116575260-116575261
1	0.9999999980137186	chr6	276134.5	NHEK|chr6:116876995-116877840	NHEK|chr6:116601282-116601283
1	0.9999999949221556	chr6	650420.5	NHEK|chr6:27125017-27125940	NHEK|chr6:27775898-27775899
1	0.9999999944218039	chr6	291777.5	NHEK|chr6:44029585-44029870	NHEK|chr6:43737949-43737950
1	0.999999994109035	chr6	291208.5	NHEK|chr6:44029585-44029870	NHEK|chr6:43738518-43738519
1	0.999999994109035	chr6	290907.5	NHEK|chr6:44029585-44029870	NHEK|chr6:43738819-43738820
1	0.999999993519878	chr6	290743.5	NHEK|chr6:44029585-44029870	NHEK|chr6:43738983-43738984
1	0.9999999525116086	chr6	289998.5	NHEK|chr6:44029585-44029870	NHEK|chr6:43739728-43739729
1	0.9999999925002779	chr6	631099.0	NHEK|chr6:27144573-27145027	NHEK|chr6:27775898-27775899
1	0.9999999994775444	chr11	444298.5	NHEK|chr11:121526216-121527497	NHEK|chr11:121971154-121971155
1	0.9999999957961552	chr6	630349.5	NHEK|chr6:27145032-27146067	NHEK|chr6:27775898-27775899
1	0.9999999991167872	chr11	445411.0	NHEK|chr11:121525570-121525918	NHEK|chr11:121971154-121971155
1	0.9999999956205852	chr6	258240.5	NHEK|chr6:42013298-42013983	NHEK|chr6:41755399-41755400
1	0.9999999956205852	chr6	258237.5	NHEK|chr6:42013298-42013983	NHEK|chr6:41755402-41755403
1	0.9999999976046876	chr6	413363.0	NHEK|chr6:56768944-56769174	NHEK|chr6:57182421-57182422
1	0.9999999988825155	chr6	412887.0	NHEK|chr6:56769380-56769690	NHEK|chr6:57182421-57182422
1	0.9999940193652	chr11	280478.0	NHEK|chr11:111428040-111429060	NHEK|chr11:111709027-111709028
1	0.9999999952610481	chr5	479863.0	NHEK|chr5:111016341-111017111	NHEK|chr5:111496588-111496589
1	0.9999999891547594	chr5	390720.5	NHEK|chr5:73546277-73546780	NHEK|chr5:73937248-73937249
1	0.9999999907410856	chr5	390024.5	NHEK|chr5:73546277-73546780	NHEK|chr5:73936552-73936553
1	0.999994728666664	chr11	283656.0	NHEK|chr11:111425056-111425688	NHEK|chr11:111709027-111709028
1	0.9999999905288429	chr5	399503.5	NHEK|chr5:73537545-73537946	NHEK|chr5:73937248-73937249
1	0.9999999911979539	chr5	398807.5	NHEK|chr5:73537545-73537946	NHEK|chr5:73936552-73936553
1	0.9999999952610481	chr5	479905.0	NHEK|chr5:111016341-111017111	NHEK|chr5:111496630-111496631
1	0.9999999919252572	chr5	400486.0	NHEK|chr5:73536451-73537075	NHEK|chr5:73937248-73937249
1	0.9999999924957156	chr5	399790.0	NHEK|chr5:73536451-73537075	NHEK|chr5:73936552-73936553
1	0.999999992614778	chr5	479500.0	NHEK|chr5:111016341-111017111	NHEK|chr5:111496225-111496226
1	0.9999999791618888	chr8	222732.5	NHEK|chr8:28466405-28467026	NHEK|chr8:28243982-28243983
1	0.999999992614778	chr5	479497.0	NHEK|chr5:111016341-111017111	NHEK|chr5:111496222-111496223
1	0.9999999868945488	chr5	408903.0	NHEK|chr5:73528102-73528590	NHEK|chr5:73937248-73937249
1	0.9999999883821199	chr5	408207.0	NHEK|chr5:73528102-73528590	NHEK|chr5:73936552-73936553
1	0.9999999877786451	chr5	409555.0	NHEK|chr5:73527532-73527856	NHEK|chr5:73937248-73937249
1	0.9999949630277893	chr11	282938.0	NHEK|chr11:111425816-111426364	NHEK|chr11:111709027-111709028
1	0.9999999946659193	chr5	246188.5	NHEK|chr5:73690507-73691614	NHEK|chr5:73937248-73937249
1	0.9999999950427574	chr5	245492.5	NHEK|chr5:73690507-73691614	NHEK|chr5:73936552-73936553
1	0.9999999901445459	chr5	254412.5	NHEK|chr5:73682452-73683221	NHEK|chr5:73937248-73937249
1	0.9999999914852652	chr5	253716.5	NHEK|chr5:73682452-73683221	NHEK|chr5:73936552-73936553
1	0.9999999814424575	chr5	389182.0	NHEK|chr5:73547943-73548191	NHEK|chr5:73937248-73937249
1	0.999999984156857	chr5	388486.0	NHEK|chr5:73547943-73548191	NHEK|chr5:73936552-73936553
1	0.9999999843252045	chr5	390116.5	NHEK|chr5:73546908-73547357	NHEK|chr5:73937248-73937249
1	0.9999999866179465	chr5	389420.5	NHEK|chr5:73546908-73547357	NHEK|chr5:73936552-73936553
1	0.9999999969659752	chr6	256697.5	NHEK|chr6:42011906-42012289	NHEK|chr6:41755399-41755400
1	0.9999999969659752	chr6	256694.5	NHEK|chr6:42011906-42012289	NHEK|chr6:41755402-41755403
1	0.9999999707844922	chr6	276905.0	NHEK|chr6:150666881-150667391	NHEK|chr6:150390230-150390231
1	0.9999999666861481	chr6	267385.5	NHEK|chr6:150657327-150657848	NHEK|chr6:150390201-150390202
1	0.9999999710405867	chr6	267356.5	NHEK|chr6:150657327-150657848	NHEK|chr6:150390230-150390231
1	0.9999999875356919	chr6	266234.0	NHEK|chr6:150656321-150656609	NHEK|chr6:150390230-150390231
1	0.9999999856615149	chr6	266263.0	NHEK|chr6:150656321-150656609	NHEK|chr6:150390201-150390202
1	0.999999994866789	chr11	103203.0	NHEK|chr11:111852628-111853096	NHEK|chr11:111749658-111749659
1	0.9999999987117114	chr11	102958.0	NHEK|chr11:111852628-111853096	NHEK|chr11:111749903-111749904
1	0.9999999986215908	chr11	102596.0	NHEK|chr11:111852628-111853096	NHEK|chr11:111750265-111750266
1	0.9999932138779236	chr11	276266.0	NHEK|chr11:111432358-111433166	NHEK|chr11:111709027-111709028
1	0.9999998949118653	chr11	108007.5	NHEK|chr11:10929539-10930160	NHEK|chr11:10821841-10821842
1	0.999999971417138	chr6	277481.5	NHEK|chr6:150667563-150667862	NHEK|chr6:150390230-150390231
1	0.9999999671193189	chr6	277510.5	NHEK|chr6:150667563-150667862	NHEK|chr6:150390201-150390202
1	0.9999999963867199	chr5	489911.0	NHEK|chr5:111006482-111006958	NHEK|chr5:111496630-111496631
1	0.9999999921953152	chr5	109458.5	NHEK|chr5:131833882-131834241	NHEK|chr5:131724602-131724603
1	0.9999999937367028	chr6	363063.0	NHEK|chr6:138731380-138731808	NHEK|chr6:139094656-139094657
1	0.9999999933949486	chr6	362049.0	NHEK|chr6:138732339-138732877	NHEK|chr6:139094656-139094657
1	0.9999999925000566	chr5	108960.0	NHEK|chr5:131833411-131833715	NHEK|chr5:131724602-131724603
1	0.9999999979837719	chr6	182467.0	NHEK|chr6:138912017-138912363	NHEK|chr6:139094656-139094657
1	0.9999999922657624	chr8	345151.0	NHEK|chr8:80597343-80597403	NHEK|chr8:80942523-80942524
1	0.9999999904785629	chr5	109891.0	NHEK|chr5:131834339-131834649	NHEK|chr5:131724602-131724603
1	0.9999999924966058	chr8	345133.0	NHEK|chr8:80597343-80597403	NHEK|chr8:80942505-80942506
1	0.999999993595079	chr11	198373.0	NHEK|chr11:88269140-88269440	NHEK|chr11:88070916-88070917
1	0.999999993595079	chr11	198389.0	NHEK|chr11:88269140-88269440	NHEK|chr11:88070900-88070901
1	0.9999999179186617	chr11	207924.0	NHEK|chr11:88269140-88269440	NHEK|chr11:88061365-88061366
1	0.9999999945400493	chr11	200562.0	NHEK|chr11:88271368-88271666	NHEK|chr11:88070954-88070955
1	0.9999999945400493	chr11	200588.0	NHEK|chr11:88271368-88271666	NHEK|chr11:88070928-88070929
1	0.9999999945400493	chr11	200600.0	NHEK|chr11:88271368-88271666	NHEK|chr11:88070916-88070917
1	0.9999999945400493	chr11	200616.0	NHEK|chr11:88271368-88271666	NHEK|chr11:88070900-88070901
1	0.9999999179186617	chr11	210151.0	NHEK|chr11:88271368-88271666	NHEK|chr11:88061365-88061366
1	0.9999999483544504	chr5	176451.0	NHEK|chr5:140943709-140944097	NHEK|chr5:140767451-140767452
1	0.9999999929112258	chr5	106981.5	NHEK|chr5:131831438-131831731	NHEK|chr5:131724602-131724603
1	0.9999999898316004	chr6	169134.0	NHEK|chr6:139140156-139140372	NHEK|chr6:139309397-139309398
1	0.9999999898316004	chr6	169130.0	NHEK|chr6:139140156-139140372	NHEK|chr6:139309393-139309394
1	0.999999989692821	chr6	168648.0	NHEK|chr6:139140156-139140372	NHEK|chr6:139308911-139308912
1	0.9999999928399423	chr8	344826.0	NHEK|chr8:80597343-80597403	NHEK|chr8:80942198-80942199
1	0.999999989982704	chr5	180170.5	NHEK|chr5:79963866-79964239	NHEK|chr5:79783881-79783882
1	0.9999999956338879	chr6	180033.5	NHEK|chr6:138914291-138914956	NHEK|chr6:139094656-139094657
1	0.9999999893999975	chr5	174265.0	NHEK|chr5:79957931-79958363	NHEK|chr5:79783881-79783882
1	0.999999987850641	chr6	169735.0	NHEK|chr6:139138838-139139516	NHEK|chr6:139308911-139308912
1	0.9999999880142242	chr6	170217.0	NHEK|chr6:139138838-139139516	NHEK|chr6:139309393-139309394
1	0.9999999880142242	chr6	170221.0	NHEK|chr6:139138838-139139516	NHEK|chr6:139309397-139309398
1	0.999999993595079	chr11	198335.0	NHEK|chr11:88269140-88269440	NHEK|chr11:88070954-88070955
1	0.999999992993807	chr5	107473.0	NHEK|chr5:131831817-131832335	NHEK|chr5:131724602-131724603
1	0.999999993595079	chr11	198361.0	NHEK|chr11:88269140-88269440	NHEK|chr11:88070928-88070929
1	0.9999999975039862	chr6	206814.5	NHEK|chr6:26331708-26331929	NHEK|chr6:26538632-26538633
1	0.9999999979704879	chr6	469761.0	NHEK|chr6:134965265-134966325	NHEK|chr6:134496033-134496034
1	0.9999999915824319	chr6	464800.0	NHEK|chr6:134961251-134962607	NHEK|chr6:134497128-134497129
1	0.9999999986869983	chr6	465895.0	NHEK|chr6:134961251-134962607	NHEK|chr6:134496033-134496034
1	0.9999999865961153	chr6	468666.0	NHEK|chr6:134965265-134966325	NHEK|chr6:134497128-134497129
1	0.9999999975318852	chr6	138201.5	NHEK|chr6:138049743-138050556	NHEK|chr6:138188350-138188351
1	0.9999999972922999	chr6	157147.5	NHEK|chr6:138030909-138031498	NHEK|chr6:138188350-138188351
1	0.9999999972922999	chr6	157255.5	NHEK|chr6:138030909-138031498	NHEK|chr6:138188458-138188459
