true	pred	chrom	distance	enhancer_name	promoter_name
1	0.9918	chr12	35040	HMEC|chr12:120668218-120668781	HMEC|chr12:120703539-120703540
1	0.9919	chr12	36071	HMEC|chr12:120667359-120667624	HMEC|chr12:120703562-120703563
1	0.992	chr12	35726	HMEC|chr12:120667653-120668043	HMEC|chr12:120703573-120703574
1	0.992	chr12	35715	HMEC|chr12:120667653-120668043	HMEC|chr12:120703562-120703563
1	0.992	chr12	35692	HMEC|chr12:120667653-120668043	HMEC|chr12:120703539-120703540
1	0.9921	chr12	35647	HMEC|chr12:120667653-120668043	HMEC|chr12:120703494-120703495
1	0.6751	chr12	3546	HMEC|chr12:120667653-120668043	HMEC|chr12:120664301-120664302
1	0.6398	chr12	3250	HMEC|chr12:120667653-120668043	HMEC|chr12:120664597-120664598
1	0.6398	chr12	3201	HMEC|chr12:120667653-120668043	HMEC|chr12:120664646-120664647
1	0.9919	chr12	36082	HMEC|chr12:120667359-120667624	HMEC|chr12:120703573-120703574
1	0.9919	chr12	36048	HMEC|chr12:120667359-120667624	HMEC|chr12:120703539-120703540
1	0.9922	chr12	36003	HMEC|chr12:120667359-120667624	HMEC|chr12:120703494-120703495
1	0.6363	chr12	3189	HMEC|chr12:120667359-120667624	HMEC|chr12:120664301-120664302
1	0.6333	chr12	2893	HMEC|chr12:120667359-120667624	HMEC|chr12:120664597-120664598
1	0.6333	chr12	2844	HMEC|chr12:120667359-120667624	HMEC|chr12:120664646-120664647
1	0.9785	chr12	97304	HMEC|chr12:120524568-120525387	HMEC|chr12:120427672-120427673
1	0.9922	chr12	34995	HMEC|chr12:120668218-120668781	HMEC|chr12:120703494-120703495
1	0.9918	chr12	35063	HMEC|chr12:120668218-120668781	HMEC|chr12:120703562-120703563
1	0.9918	chr12	35074	HMEC|chr12:120668218-120668781	HMEC|chr12:120703573-120703574
1	0.9761	chr14	189322	HMEC|chr14:35684308-35684952	HMEC|chr14:35873951-35873952
1	0.9626	chr14	189879	HMEC|chr14:35682994-35683940	HMEC|chr14:35873345-35873346
1	0.9447	chr14	190439	HMEC|chr14:35682994-35683940	HMEC|chr14:35873905-35873906
1	0.9447	chr14	190485	HMEC|chr14:35682994-35683940	HMEC|chr14:35873951-35873952
1	0.9737	chr14	188716	HMEC|chr14:35684308-35684952	HMEC|chr14:35873345-35873346
1	0.9761	chr14	189276	HMEC|chr14:35684308-35684952	HMEC|chr14:35873905-35873906
1	0.683	chr12	5032	HMEC|chr12:120669108-120669560	HMEC|chr12:120664301-120664302
1	0.6358	chr12	5460	HMEC|chr12:120669662-120669863	HMEC|chr12:120664301-120664302
1	0.6002	chr12	5164	HMEC|chr12:120669662-120669863	HMEC|chr12:120664597-120664598
1	0.6002	chr12	5115	HMEC|chr12:120669662-120669863	HMEC|chr12:120664646-120664647
1	0.9919	chr12	33811	HMEC|chr12:120669662-120669863	HMEC|chr12:120703573-120703574
1	0.9919	chr12	33800	HMEC|chr12:120669662-120669863	HMEC|chr12:120703562-120703563
1	0.9919	chr12	33777	HMEC|chr12:120669662-120669863	HMEC|chr12:120703539-120703540
1	0.9918	chr12	33732	HMEC|chr12:120669662-120669863	HMEC|chr12:120703494-120703495
1	0.6419	chr12	4736	HMEC|chr12:120669108-120669560	HMEC|chr12:120664597-120664598
1	0.6472	chr12	3204	HMEC|chr12:120699995-120700677	HMEC|chr12:120703539-120703540
1	0.6419	chr12	4687	HMEC|chr12:120669108-120669560	HMEC|chr12:120664646-120664647
1	0.9918	chr12	34240	HMEC|chr12:120669108-120669560	HMEC|chr12:120703573-120703574
1	0.9918	chr12	34229	HMEC|chr12:120669108-120669560	HMEC|chr12:120703562-120703563
1	0.9918	chr12	34206	HMEC|chr12:120669108-120669560	HMEC|chr12:120703539-120703540
1	0.9921	chr12	34161	HMEC|chr12:120669108-120669560	HMEC|chr12:120703494-120703495
1	0.6886	chr12	4197	HMEC|chr12:120668218-120668781	HMEC|chr12:120664301-120664302
1	0.6312	chr12	3901	HMEC|chr12:120668218-120668781	HMEC|chr12:120664597-120664598
1	0.6312	chr12	3852	HMEC|chr12:120668218-120668781	HMEC|chr12:120664646-120664647
1	0.6184	chr12	3159	HMEC|chr12:120699995-120700677	HMEC|chr12:120703494-120703495
1	0.6472	chr12	3227	HMEC|chr12:120699995-120700677	HMEC|chr12:120703562-120703563
1	0.9863	chr12	36429	HMEC|chr12:120700926-120701226	HMEC|chr12:120664646-120664647
