true	pred	chrom	distance	enhancer_name	promoter_name
1	0.5174	chr1	315683	HMEC|chr1:112933891-112934240	HMEC|chr1:113249748-113249749
1	0.4839	chr1	315990	HMEC|chr1:112933891-112934240	HMEC|chr1:113250055-113250056
1	0.4839	chr1	315959	HMEC|chr1:112933891-112934240	HMEC|chr1:113250024-113250025
1	0.5174	chr1	315715	HMEC|chr1:112933891-112934240	HMEC|chr1:113249780-113249781
1	0.5174	chr1	315691	HMEC|chr1:112933891-112934240	HMEC|chr1:113249756-113249757
1	0.5174	chr1	315689	HMEC|chr1:112933891-112934240	HMEC|chr1:113249754-113249755
1	0.5174	chr1	315681	HMEC|chr1:112933891-112934240	HMEC|chr1:113249746-113249747
1	0.5174	chr1	315676	HMEC|chr1:112933891-112934240	HMEC|chr1:113249741-113249742
1	0.5174	chr1	315672	HMEC|chr1:112933891-112934240	HMEC|chr1:113249737-113249738
1	0.5174	chr1	315658	HMEC|chr1:112933891-112934240	HMEC|chr1:113249723-113249724
1	0.5174	chr1	315635	HMEC|chr1:112933891-112934240	HMEC|chr1:113249700-113249701
1	0.7416	chr1	228375	HMEC|chr1:112933891-112934240	HMEC|chr1:113162440-113162441
1	0.7416	chr1	228361	HMEC|chr1:112933891-112934240	HMEC|chr1:113162426-113162427
1	0.8023	chr1	227729	HMEC|chr1:112933891-112934240	HMEC|chr1:113161794-113161795
1	0.8023	chr1	227682	HMEC|chr1:112933891-112934240	HMEC|chr1:113161747-113161748
1	0.5139	chr1	316434	HMEC|chr1:112933424-112933820	HMEC|chr1:113250055-113250056
1	0.5096	chr1	6640	HMEC|chr1:39564201-39564684	HMEC|chr1:39571082-39571083
1	0.9237	chr1	78534	HMEC|chr1:39649251-39649983	HMEC|chr1:39571082-39571083
1	0.9	chr1	81859	HMEC|chr1:36102996-36103432	HMEC|chr1:36185072-36185073
1	0.9647	chr10	173141	HMEC|chr10:33798111-33798552	HMEC|chr10:33625189-33625190
1	0.956	chr10	170727	HMEC|chr10:33795189-33796646	HMEC|chr10:33625189-33625190
1	0.9287	chr10	172084	HMEC|chr10:33795189-33796646	HMEC|chr10:33623832-33623833
1	0.9287	chr10	172347	HMEC|chr10:33795189-33796646	HMEC|chr10:33623569-33623570
1	0.9287	chr10	172353	HMEC|chr10:33795189-33796646	HMEC|chr10:33623563-33623564
1	0.9228	chr10	172467	HMEC|chr10:33795189-33796646	HMEC|chr10:33623449-33623450
1	0.9228	chr10	172607	HMEC|chr10:33795189-33796646	HMEC|chr10:33623309-33623310
1	0.9609	chr10	174498	HMEC|chr10:33798111-33798552	HMEC|chr10:33623832-33623833
1	0.9496	chr10	174761	HMEC|chr10:33798111-33798552	HMEC|chr10:33623569-33623570
1	0.9496	chr10	174767	HMEC|chr10:33798111-33798552	HMEC|chr10:33623563-33623564
1	0.9484	chr10	174881	HMEC|chr10:33798111-33798552	HMEC|chr10:33623449-33623450
1	0.9484	chr10	175021	HMEC|chr10:33798111-33798552	HMEC|chr10:33623309-33623310
1	0.5139	chr1	316403	HMEC|chr1:112933424-112933820	HMEC|chr1:113250024-113250025
1	0.5228	chr1	316159	HMEC|chr1:112933424-112933820	HMEC|chr1:113249780-113249781
1	0.5228	chr1	316135	HMEC|chr1:112933424-112933820	HMEC|chr1:113249756-113249757
1	0.5228	chr1	316133	HMEC|chr1:112933424-112933820	HMEC|chr1:113249754-113249755
1	0.6899	chr10	142478	HMEC|chr10:105472524-105473121	HMEC|chr10:105615300-105615301
1	0.7261	chr10	142341	HMEC|chr10:105472524-105473121	HMEC|chr10:105615163-105615164
1	0.9697	chr1	82930	HMEC|chr1:111765498-111765835	HMEC|chr1:111682735-111682736
1	0.9697	chr1	82841	HMEC|chr1:111765498-111765835	HMEC|chr1:111682824-111682825
1	0.9697	chr1	82828	HMEC|chr1:111765498-111765835	HMEC|chr1:111682837-111682838
1	0.9697	chr1	82818	HMEC|chr1:111765498-111765835	HMEC|chr1:111682847-111682848
1	0.9659	chr1	82972	HMEC|chr1:111765187-111765469	HMEC|chr1:111682355-111682356
1	0.9698	chr1	82592	HMEC|chr1:111765187-111765469	HMEC|chr1:111682735-111682736
1	0.9698	chr1	82503	HMEC|chr1:111765187-111765469	HMEC|chr1:111682824-111682825
1	0.9698	chr1	82490	HMEC|chr1:111765187-111765469	HMEC|chr1:111682837-111682838
1	0.9698	chr1	82480	HMEC|chr1:111765187-111765469	HMEC|chr1:111682847-111682848
1	0.8248	chr10	149215	HMEC|chr10:112112792-112113788	HMEC|chr10:112262504-112262505
1	0.9717	chr15	64338	HMEC|chr15:40395441-40396014	HMEC|chr15:40331388-40331389
1	0.9717	chr15	64370	HMEC|chr15:40395441-40396014	HMEC|chr15:40331356-40331357
1	0.9717	chr15	64373	HMEC|chr15:40395441-40396014	HMEC|chr15:40331353-40331354
1	0.9717	chr15	64431	HMEC|chr15:40395441-40396014	HMEC|chr15:40331295-40331296
1	0.9691	chr1	83310	HMEC|chr1:111765498-111765835	HMEC|chr1:111682355-111682356
1	0.9154	chr10	148268	HMEC|chr10:112113935-112114538	HMEC|chr10:112262504-112262505
1	0.5228	chr1	316127	HMEC|chr1:112933424-112933820	HMEC|chr1:113249748-113249749
1	0.5228	chr1	316125	HMEC|chr1:112933424-112933820	HMEC|chr1:113249746-113249747
1	0.5228	chr1	316120	HMEC|chr1:112933424-112933820	HMEC|chr1:113249741-113249742
1	0.5228	chr1	316116	HMEC|chr1:112933424-112933820	HMEC|chr1:113249737-113249738
1	0.5228	chr1	316102	HMEC|chr1:112933424-112933820	HMEC|chr1:113249723-113249724
1	0.5228	chr1	316079	HMEC|chr1:112933424-112933820	HMEC|chr1:113249700-113249701
1	0.7394	chr1	228819	HMEC|chr1:112933424-112933820	HMEC|chr1:113162440-113162441
1	0.7394	chr1	228805	HMEC|chr1:112933424-112933820	HMEC|chr1:113162426-113162427
1	0.798	chr1	228173	HMEC|chr1:112933424-112933820	HMEC|chr1:113161794-113161795
1	0.798	chr1	228126	HMEC|chr1:112933424-112933820	HMEC|chr1:113161747-113161748
1	0.9612	chr10	98306	HMEC|chr10:112159068-112159512	HMEC|chr10:112257595-112257596
1	0.9598	chr10	96672	HMEC|chr10:112159068-112159512	HMEC|chr10:112255961-112255962
1	0.9611	chr10	99054	HMEC|chr10:112158300-112158784	HMEC|chr10:112257595-112257596
1	0.9519	chr10	97420	HMEC|chr10:112158300-112158784	HMEC|chr10:112255961-112255962
1	0.9498	chr10	101881	HMEC|chr10:112155448-112155981	HMEC|chr10:112257595-112257596
1	0.97	chr10	100247	HMEC|chr10:112155448-112155981	HMEC|chr10:112255961-112255962
1	0.8005	chr10	139794	HMEC|chr10:105475151-105475588	HMEC|chr10:105615163-105615164
1	0.4463	chr10	163407	HMEC|chr10:105475814-105476410	HMEC|chr10:105639518-105639519
1	0.7896	chr10	139189	HMEC|chr10:105475814-105476410	HMEC|chr10:105615300-105615301
1	0.7896	chr10	139052	HMEC|chr10:105475814-105476410	HMEC|chr10:105615163-105615164
1	0.4761	chr10	164149	HMEC|chr10:105475151-105475588	HMEC|chr10:105639518-105639519
1	0.8005	chr10	139931	HMEC|chr10:105475151-105475588	HMEC|chr10:105615300-105615301
1	0.9433	chr1	70266	HMEC|chr1:40435421-40435857	HMEC|chr1:40505904-40505905
1	0.9419	chr1	70616	HMEC|chr1:40435421-40435857	HMEC|chr1:40506254-40506255
1	0.7557	chr1	70765	HMEC|chr1:40435421-40435857	HMEC|chr1:40506403-40506404
1	0.7557	chr1	70766	HMEC|chr1:40435421-40435857	HMEC|chr1:40506404-40506405
1	0.7557	chr1	70782	HMEC|chr1:40435421-40435857	HMEC|chr1:40506420-40506421
1	0.7557	chr1	70786	HMEC|chr1:40435421-40435857	HMEC|chr1:40506424-40506425
1	0.7557	chr1	70794	HMEC|chr1:40435421-40435857	HMEC|chr1:40506432-40506433
1	0.7557	chr1	70798	HMEC|chr1:40435421-40435857	HMEC|chr1:40506436-40506437
1	0.7557	chr1	70813	HMEC|chr1:40435421-40435857	HMEC|chr1:40506451-40506452
1	0.7427	chr1	70915	HMEC|chr1:40435421-40435857	HMEC|chr1:40506553-40506554
1	0.6504	chr15	151613	HMEC|chr15:40482810-40483194	HMEC|chr15:40331388-40331389
1	0.6504	chr15	151645	HMEC|chr15:40482810-40483194	HMEC|chr15:40331356-40331357
1	0.6504	chr15	151648	HMEC|chr15:40482810-40483194	HMEC|chr15:40331353-40331354
1	0.6504	chr15	151706	HMEC|chr15:40482810-40483194	HMEC|chr15:40331295-40331296
1	0.9432	chr10	97076	HMEC|chr10:25109442-25109905	HMEC|chr10:25012596-25012597
1	0.9255	chr10	98817	HMEC|chr10:25109442-25109905	HMEC|chr10:25010855-25010856
1	0.4668	chr10	423964	HMEC|chr10:22715845-22717392	HMEC|chr10:22292653-22292654
1	0.5304	chr10	424860	HMEC|chr10:22717393-22717636	HMEC|chr10:22292653-22292654
1	0.7356	chr1	129715	HMEC|chr1:155901146-155901417	HMEC|chr1:156030996-156030997
1	0.7356	chr1	129669	HMEC|chr1:155901146-155901417	HMEC|chr1:156030950-156030951
1	0.6811	chr1	123359	HMEC|chr1:155901146-155901417	HMEC|chr1:156024640-156024641
1	0.6811	chr1	123330	HMEC|chr1:155901146-155901417	HMEC|chr1:156024611-156024612
1	0.8845	chr1	160468	HMEC|chr1:16402525-16402847	HMEC|chr1:16563153-16563154
1	0.8954	chr1	160971	HMEC|chr1:16402525-16402847	HMEC|chr1:16563656-16563657
1	0.6811	chr1	123301	HMEC|chr1:155901146-155901417	HMEC|chr1:156024582-156024583
1	0.6811	chr1	123261	HMEC|chr1:155901146-155901417	HMEC|chr1:156024542-156024543
1	0.6591	chr1	122303	HMEC|chr1:155901146-155901417	HMEC|chr1:156023584-156023585
