true	pred	chrom	distance	enhancer_name	promoter_name
1	0.8064	chr17	100747	NHEK|chr17:17841633-17842085	NHEK|chr17:17942605-17942606
1	0.8064	chr17	100664	NHEK|chr17:17841633-17842085	NHEK|chr17:17942522-17942523
1	0.8158	chr17	100623	NHEK|chr17:17841633-17842085	NHEK|chr17:17942481-17942482
1	0.9171	chr2	137847	NHEK|chr2:114651929-114652306	NHEK|chr2:114514269-114514270
1	0.9171	chr2	137717	NHEK|chr2:114651929-114652306	NHEK|chr2:114514399-114514400
1	0.9126	chr2	136236	NHEK|chr2:114650379-114650634	NHEK|chr2:114514269-114514270
1	0.9126	chr2	136106	NHEK|chr2:114650379-114650634	NHEK|chr2:114514399-114514400
1	0.6722	chr17	103416	NHEK|chr17:17838900-17839479	NHEK|chr17:17942605-17942606
1	0.6722	chr17	103333	NHEK|chr17:17838900-17839479	NHEK|chr17:17942522-17942523
1	0.6834	chr17	103292	NHEK|chr17:17838900-17839479	NHEK|chr17:17942481-17942482
1	0.832	chr17	99088	NHEK|chr17:17843394-17843475	NHEK|chr17:17942522-17942523
1	0.6835	chr17	99047	NHEK|chr17:17843394-17843475	NHEK|chr17:17942481-17942482
1	0.8489	chr17	100378	NHEK|chr17:17842088-17842367	NHEK|chr17:17942605-17942606
1	0.8489	chr17	100295	NHEK|chr17:17842088-17842367	NHEK|chr17:17942522-17942523
1	0.8557	chr17	100254	NHEK|chr17:17842088-17842367	NHEK|chr17:17942481-17942482
1	0.5742	chr13	131977	NHEK|chr13:42490672-42491151	NHEK|chr13:42622888-42622889
1	0.1566	chr2	196129	NHEK|chr2:27860703-27862086	NHEK|chr2:27665264-27665265
1	0.1566	chr2	196146	NHEK|chr2:27860703-27862086	NHEK|chr2:27665247-27665248
1	0.1385	chr2	209887	NHEK|chr2:27860703-27862086	NHEK|chr2:27651506-27651507
1	0.2111	chr2	210737	NHEK|chr2:27860703-27862086	NHEK|chr2:27650656-27650657
1	0.0683	chr9	551960	NHEK|chr9:99622049-99622494	NHEK|chr9:100174231-100174232
1	0.0683	chr9	552104	NHEK|chr9:99622049-99622494	NHEK|chr9:100174375-100174376
1	0.1725	chr2	194562	NHEK|chr2:27859676-27859979	NHEK|chr2:27665264-27665265
1	0.4588	chr13	133477	NHEK|chr13:42489259-42489565	NHEK|chr13:42622888-42622889
1	0.1725	chr2	194579	NHEK|chr2:27859676-27859979	NHEK|chr2:27665247-27665248
1	0.0457	chr2	208320	NHEK|chr2:27859676-27859979	NHEK|chr2:27651506-27651507
1	0.028	chr2	209170	NHEK|chr2:27859676-27859979	NHEK|chr2:27650656-27650657
1	0.1414	chr9	554840	NHEK|chr9:99619169-99619615	NHEK|chr9:100174231-100174232
1	0.1414	chr9	554984	NHEK|chr9:99619169-99619615	NHEK|chr9:100174375-100174376
1	0.1307	chr9	553741	NHEK|chr9:99620200-99620781	NHEK|chr9:100174231-100174232
1	0.1307	chr9	553885	NHEK|chr9:99620200-99620781	NHEK|chr9:100174375-100174376
1	0.7701	chr17	99171	NHEK|chr17:17843394-17843475	NHEK|chr17:17942605-17942606
1	0.1707	chr17	390001	NHEK|chr17:19655799-19655914	NHEK|chr17:19265854-19265855
1	0.9229	chr2	104869	NHEK|chr2:26572513-26572886	NHEK|chr2:26467829-26467830
1	0.9229	chr2	104882	NHEK|chr2:26572513-26572886	NHEK|chr2:26467816-26467817
1	0.9229	chr2	104936	NHEK|chr2:26572513-26572886	NHEK|chr2:26467762-26467763
1	0.9229	chr2	105105	NHEK|chr2:26572513-26572886	NHEK|chr2:26467593-26467594
1	0.875	chr2	105697	NHEK|chr2:26573404-26573650	NHEK|chr2:26467829-26467830
1	0.875	chr2	105710	NHEK|chr2:26573404-26573650	NHEK|chr2:26467816-26467817
1	0.875	chr2	105764	NHEK|chr2:26573404-26573650	NHEK|chr2:26467762-26467763
1	0.875	chr2	105933	NHEK|chr2:26573404-26573650	NHEK|chr2:26467593-26467594
1	0.1609	chr17	389810	NHEK|chr17:19655799-19655914	NHEK|chr17:19266045-19266046
1	0.1707	chr17	389742	NHEK|chr17:19655411-19655784	NHEK|chr17:19265854-19265855
1	0.1609	chr17	389571	NHEK|chr17:19655411-19655784	NHEK|chr17:19266025-19266026
1	0.1609	chr17	389551	NHEK|chr17:19655411-19655784	NHEK|chr17:19266045-19266046
1	0.7601	chr17	98987	NHEK|chr17:17843479-17843592	NHEK|chr17:17942522-17942523
1	0.7601	chr17	99070	NHEK|chr17:17843479-17843592	NHEK|chr17:17942605-17942606
1	0.7578	chr17	98946	NHEK|chr17:17843479-17843592	NHEK|chr17:17942481-17942482
1	0.5723	chr17	96109	NHEK|chr17:17846252-17846493	NHEK|chr17:17942481-17942482
1	0.5781	chr17	96150	NHEK|chr17:17846252-17846493	NHEK|chr17:17942522-17942523
1	0.5781	chr17	96233	NHEK|chr17:17846252-17846493	NHEK|chr17:17942605-17942606
1	0.5272	chr13	647964	NHEK|chr13:74282443-74282920	NHEK|chr13:73634716-73634717
1	0.5878	chr13	667318	NHEK|chr13:74296208-74296657	NHEK|chr13:73629113-73629114
1	0.4476	chr13	663502	NHEK|chr13:74296208-74296657	NHEK|chr13:73632929-73632930
1	0.3978	chr13	661715	NHEK|chr13:74296208-74296657	NHEK|chr13:73634716-73634717
1	0.7059	chr13	653567	NHEK|chr13:74282443-74282920	NHEK|chr13:73629113-73629114
1	0.6763	chr13	649751	NHEK|chr13:74282443-74282920	NHEK|chr13:73632929-73632930
1	0.7865	chr13	647799	NHEK|chr13:74276401-74277426	NHEK|chr13:73629113-73629114
1	0.571	chr13	643983	NHEK|chr13:74276401-74277426	NHEK|chr13:73632929-73632930
1	0.619	chr13	642196	NHEK|chr13:74276401-74277426	NHEK|chr13:73634716-73634717
1	0.5892	chr2	262355	NHEK|chr2:9921373-9921829	NHEK|chr2:10183955-10183956
1	0.9601	chr17	82449	NHEK|chr17:41478588-41479181	NHEK|chr17:41561333-41561334
1	0.2156	chr2	345909	NHEK|chr2:150998119-150998478	NHEK|chr2:151344207-151344208
1	0.8839	chr2	211447	NHEK|chr2:10799041-10799665	NHEK|chr2:10587905-10587906
1	0.8936	chr2	210918	NHEK|chr2:10799041-10799665	NHEK|chr2:10588434-10588435
1	0.5453	chr2	210723	NHEK|chr2:10799041-10799665	NHEK|chr2:10588629-10588630
1	0.2156	chr2	345944	NHEK|chr2:150998119-150998478	NHEK|chr2:151344242-151344243
1	0.7115	chr2	437649	NHEK|chr2:28177655-28178384	NHEK|chr2:28615668-28615669
1	0.3183	chr2	344925	NHEK|chr2:150998986-150999525	NHEK|chr2:151344180-151344181
1	0.3183	chr2	344952	NHEK|chr2:150998986-150999525	NHEK|chr2:151344207-151344208
1	0.3183	chr2	344987	NHEK|chr2:150998986-150999525	NHEK|chr2:151344242-151344243
1	0.4907	chr2	344340	NHEK|chr2:150999608-151000073	NHEK|chr2:151344180-151344181
1	0.7742	chr2	210842	NHEK|chr2:10798475-10799022	NHEK|chr2:10587905-10587906
1	0.8964	chr2	210313	NHEK|chr2:10798475-10799022	NHEK|chr2:10588434-10588435
1	0.5582	chr2	210118	NHEK|chr2:10798475-10799022	NHEK|chr2:10588629-10588630
1	0.4907	chr2	344367	NHEK|chr2:150999608-151000073	NHEK|chr2:151344207-151344208
1	0.4907	chr2	344402	NHEK|chr2:150999608-151000073	NHEK|chr2:151344242-151344243
1	0.7115	chr2	437705	NHEK|chr2:28177655-28178384	NHEK|chr2:28615724-28615725
1	0.7771	chr2	440559	NHEK|chr2:28177655-28178384	NHEK|chr2:28618578-28618579
1	0.2822	chr2	206390	NHEK|chr2:10794029-10794564	NHEK|chr2:10587905-10587906
1	0.3202	chr2	205861	NHEK|chr2:10794029-10794564	NHEK|chr2:10588434-10588435
1	0.3517	chr2	205666	NHEK|chr2:10794029-10794564	NHEK|chr2:10588629-10588630
1	0.6266	chr2	261469	NHEK|chr2:9922132-9922842	NHEK|chr2:10183955-10183956
1	0.7327	chr2	213122	NHEK|chr2:173078967-173079355	NHEK|chr2:173292282-173292283
1	0.7327	chr2	213153	NHEK|chr2:173078967-173079355	NHEK|chr2:173292313-173292314
1	0.7204	chr2	213356	NHEK|chr2:173078967-173079355	NHEK|chr2:173292516-173292517
1	0.5848	chr2	432353	NHEK|chr2:28183077-28183554	NHEK|chr2:28615668-28615669
1	0.4874	chr2	432409	NHEK|chr2:28183077-28183554	NHEK|chr2:28615724-28615725
1	0.4411	chr2	435263	NHEK|chr2:28183077-28183554	NHEK|chr2:28618578-28618579
1	0.2156	chr2	345882	NHEK|chr2:150998119-150998478	NHEK|chr2:151344180-151344181
1	0.8321	chr2	349984	NHEK|chr2:150993988-150994529	NHEK|chr2:151344242-151344243
1	0.8587	chr2	361109	NHEK|chr2:150982828-150983315	NHEK|chr2:151344180-151344181
1	0.8587	chr2	361136	NHEK|chr2:150982828-150983315	NHEK|chr2:151344207-151344208
1	0.8587	chr2	361171	NHEK|chr2:150982828-150983315	NHEK|chr2:151344242-151344243
1	0.5704	chr2	360170	NHEK|chr2:150983787-150984235	NHEK|chr2:151344180-151344181
1	0.5704	chr2	360197	NHEK|chr2:150983787-150984235	NHEK|chr2:151344207-151344208
1	0.5704	chr2	360232	NHEK|chr2:150983787-150984235	NHEK|chr2:151344242-151344243
1	0.5643	chr2	359468	NHEK|chr2:150984488-150984938	NHEK|chr2:151344180-151344181
1	0.5643	chr2	359495	NHEK|chr2:150984488-150984938	NHEK|chr2:151344207-151344208
1	0.5643	chr2	359530	NHEK|chr2:150984488-150984938	NHEK|chr2:151344242-151344243
1	0.7252	chr2	353891	NHEK|chr2:150990053-150990526	NHEK|chr2:151344180-151344181
1	0.7252	chr2	353918	NHEK|chr2:150990053-150990526	NHEK|chr2:151344207-151344208
1	0.7252	chr2	353953	NHEK|chr2:150990053-150990526	NHEK|chr2:151344242-151344243
