true	pred	chrom	distance	enhancer_name	promoter_name
1	0.6991	chr5	105873	K562|chr5:148824934-148825239	K562|chr5:148930959-148930960
1	0.0233	chr6	533319	K562|chr6:107306775-107307195	K562|chr6:106773665-106773666
1	0.0036	chr6	1646203	K562|chr6:27871485-27871687	K562|chr6:26225382-26225383
1	0.0132	chr6	1654421	K562|chr6:27871485-27871687	K562|chr6:26217164-26217165
1	0.0146	chr6	1654714	K562|chr6:27871485-27871687	K562|chr6:26216871-26216872
1	0.0055	chr6	1666728	K562|chr6:27871485-27871687	K562|chr6:26204857-26204858
1	0.006	chr6	1669202	K562|chr6:27871485-27871687	K562|chr6:26202383-26202384
1	0.0125	chr6	1671838	K562|chr6:27871485-27871687	K562|chr6:26199747-26199748
1	0.0125	chr6	1672065	K562|chr6:27871485-27871687	K562|chr6:26199520-26199521
1	0.0125	chr6	1672115	K562|chr6:27871485-27871687	K562|chr6:26199470-26199471
1	0.0785	chr11	256073	K562|chr11:66468921-66469679	K562|chr11:66725372-66725373
1	0.0687	chr11	256547	K562|chr11:66468921-66469679	K562|chr11:66725846-66725847
1	0.0415	chr11	148694	K562|chr11:61568978-61569318	K562|chr11:61717841-61717842
1	0.6959	chr5	105920	K562|chr5:148824934-148825239	K562|chr5:148931006-148931007
1	0.7956	chr5	105644	K562|chr5:148824934-148825239	K562|chr5:148930730-148930731
1	0.7956	chr5	105440	K562|chr5:148824934-148825239	K562|chr5:148930526-148930527
1	0.0038	chr6	1645130	K562|chr6:27870307-27870720	K562|chr6:26225382-26225383
1	0.0139	chr6	1653348	K562|chr6:27870307-27870720	K562|chr6:26217164-26217165
1	0.0148	chr6	1653641	K562|chr6:27870307-27870720	K562|chr6:26216871-26216872
1	0.006	chr6	1665655	K562|chr6:27870307-27870720	K562|chr6:26204857-26204858
1	0.0078	chr6	1668129	K562|chr6:27870307-27870720	K562|chr6:26202383-26202384
1	0.0204	chr6	1670765	K562|chr6:27870307-27870720	K562|chr6:26199747-26199748
1	0.0204	chr6	1670992	K562|chr6:27870307-27870720	K562|chr6:26199520-26199521
1	0.0185	chr6	1671042	K562|chr6:27870307-27870720	K562|chr6:26199470-26199471
1	0.8578	chr6	301107	K562|chr6:147224290-147224618	K562|chr6:147525560-147525561
1	0.8578	chr6	301215	K562|chr6:147224290-147224618	K562|chr6:147525668-147525669
1	0.8592	chr6	302656	K562|chr6:147224290-147224618	K562|chr6:147527109-147527110
1	0.7176	chr5	110091	K562|chr5:148819364-148820178	K562|chr5:148929861-148929862
