true	pred	chrom	distance	enhancer_name	promoter_name
1	0.9212764488181695	chr17	141911.0	K562|chr17:25925451-25925851	K562|chr17:25783739-25783740
1	0.4223382300710726	chr17	12684.0	K562|chr17:25925451-25925851	K562|chr17:25938334-25938335
1	0.5718231507185458	chr17	11503.0	K562|chr17:25925451-25925851	K562|chr17:25937153-25937154
1	0.8001840475451775	chr9	60898.0	K562|chr9:131014580-131014888	K562|chr9:130953835-130953836
1	0.8001840475451775	chr9	60887.0	K562|chr9:131014580-131014888	K562|chr9:130953846-130953847
1	0.8018833788927183	chr9	60883.0	K562|chr9:131014580-131014888	K562|chr9:130953850-130953851
1	0.8436791122330018	chr9	60866.0	K562|chr9:131014580-131014888	K562|chr9:130953867-130953868
1	0.9611856907426203	chr17	2922.0	K562|chr17:25786500-25786824	K562|chr17:25783739-25783740
1	0.6885778195765554	chr9	60967.0	K562|chr9:131014580-131014888	K562|chr9:130953766-130953767
1	0.8001840475451775	chr9	60905.0	K562|chr9:131014580-131014888	K562|chr9:130953828-130953829
1	0.606953773530188	chr17	5052.5	K562|chr17:25788578-25789007	K562|chr17:25783739-25783740
1	0.01511579650502926	chr17	1035169.5	K562|chr17:39823736-39823803	K562|chr17:38788599-38788600
1	0.017931304307796072	chr17	1035227.5	K562|chr17:39823736-39823803	K562|chr17:38788541-38788542
1	0.8902202944542736	chr9	61745.0	K562|chr9:131014580-131014888	K562|chr9:130952988-130952989
1	0.8890991999622793	chr9	61595.0	K562|chr9:131014580-131014888	K562|chr9:130953138-130953139
1	0.7394131357993828	chr17	145603.5	K562|chr17:25929250-25929437	K562|chr17:25783739-25783740
1	0.3652196830691265	chr17	7810.5	K562|chr17:25929250-25929437	K562|chr17:25937153-25937154
1	0.2423825689619162	chr17	8991.5	K562|chr17:25929250-25929437	K562|chr17:25938334-25938335
1	0.6131426800232743	chr2	2897.5	K562|chr2:191048325-191048648	K562|chr2:191045588-191045589
1	0.5966129195186823	chr2	2805.5	K562|chr2:191048325-191048648	K562|chr2:191045680-191045681
1	0.8210074259147375	chr9	85709.0	K562|chr9:131494873-131495215	K562|chr9:131580752-131580753
1	0.9927960812265303	chr17	145101.5	K562|chr17:25928608-25929075	K562|chr17:25783739-25783740
1	0.25058553664669575	chr9	92057.0	K562|chr9:131494873-131495215	K562|chr9:131587100-131587101
1	0.8804578481644422	chr17	8312.5	K562|chr17:25928608-25929075	K562|chr17:25937153-25937154
1	0.7562316147769205	chr17	9493.5	K562|chr17:25928608-25929075	K562|chr17:25938334-25938335
1	0.11266692498869292	chr17	1034804.0	K562|chr17:39823281-39823527	K562|chr17:38788599-38788600
1	0.13581863290787555	chr17	1034862.0	K562|chr17:39823281-39823527	K562|chr17:38788541-38788542
1	0.8278467526844003	chr22	102170.5	K562|chr22:23624355-23624780	K562|chr22:23522396-23522397
1	0.8447028875206501	chr22	102015.5	K562|chr22:23624355-23624780	K562|chr22:23522551-23522552
1	0.8156630217212812	chr9	60656.0	K562|chr9:131013490-131013800	K562|chr9:130952988-130952989
1	0.8191184074332837	chr9	60506.0	K562|chr9:131013490-131013800	K562|chr9:130953138-130953139
1	0.5890895956232738	chr9	59878.0	K562|chr9:131013490-131013800	K562|chr9:130953766-130953767
1	0.6852788082937554	chr9	59816.0	K562|chr9:131013490-131013800	K562|chr9:130953828-130953829
1	0.6852788082937554	chr9	59809.0	K562|chr9:131013490-131013800	K562|chr9:130953835-130953836
1	0.6852788082937554	chr9	59798.0	K562|chr9:131013490-131013800	K562|chr9:130953846-130953847
1	0.7053621789482829	chr9	59794.0	K562|chr9:131013490-131013800	K562|chr9:130953850-130953851
1	0.1721745289451887	chr17	224320.5	K562|chr17:39894203-39894788	K562|chr17:40118815-40118816
1	0.1721745289451887	chr17	224337.5	K562|chr17:39894203-39894788	K562|chr17:40118832-40118833
1	0.1721745289451887	chr17	224404.5	K562|chr17:39894203-39894788	K562|chr17:40118899-40118900
1	0.14125050752243282	chr17	224855.5	K562|chr17:39894203-39894788	K562|chr17:40119350-40119351
1	0.6861352350708989	chr9	59777.0	K562|chr9:131013490-131013800	K562|chr9:130953867-130953868
1	0.6791854791991953	chr22	336283.0	K562|chr22:19615480-19615564	K562|chr22:19279238-19279239
1	0.7481379390991622	chr22	60239.0	K562|chr22:50768982-50769140	K562|chr22:50708821-50708822
1	0.6571451044973244	chr22	60172.5	K562|chr22:50769322-50769415	K562|chr22:50709195-50709196
1	0.6677285670015363	chr22	60546.5	K562|chr22:50769322-50769415	K562|chr22:50708821-50708822
1	0.7936771469712356	chr22	59865.0	K562|chr22:50768982-50769140	K562|chr22:50709195-50709196
1	0.3857637292255717	chr2	916124.5	K562|chr2:176029428-176029673	K562|chr2:175113425-175113426
1	0.999154758554833	chr22	101586.5	K562|chr22:23623629-23624338	K562|chr22:23522396-23522397
1	0.9994468929630009	chr22	101431.5	K562|chr22:23623629-23624338	K562|chr22:23522551-23522552
1	0.5780963265569679	chr2	916462.5	K562|chr2:176029428-176029673	K562|chr2:175113087-175113088
1	0.5145723807701373	chr2	916347.5	K562|chr2:176029428-176029673	K562|chr2:175113202-175113203
1	0.3857637292255717	chr2	916223.5	K562|chr2:176029428-176029673	K562|chr2:175113326-175113327
1	0.02122950650637254	chr17	1035684.5	K562|chr17:39823964-39824605	K562|chr17:38788599-38788600
1	0.022396412806128536	chr17	1035742.5	K562|chr17:39823964-39824605	K562|chr17:38788541-38788542
1	0.9238519625830409	chr9	61149.0	K562|chr9:131013836-131014440	K562|chr9:130952988-130952989
1	0.9239458942564711	chr9	60999.0	K562|chr9:131013836-131014440	K562|chr9:130953138-130953139
1	0.7969826499751965	chr9	60371.0	K562|chr9:131013836-131014440	K562|chr9:130953766-130953767
1	0.8431506713736525	chr9	60309.0	K562|chr9:131013836-131014440	K562|chr9:130953828-130953829
1	0.8431506713736525	chr9	60302.0	K562|chr9:131013836-131014440	K562|chr9:130953835-130953836
1	0.8431506713736525	chr9	60291.0	K562|chr9:131013836-131014440	K562|chr9:130953846-130953847
1	0.8431506713736525	chr9	60287.0	K562|chr9:131013836-131014440	K562|chr9:130953850-130953851
1	0.848108401458422	chr9	60270.0	K562|chr9:131013836-131014440	K562|chr9:130953867-130953868
1	0.002220650646258483	chr9	148745.0	K562|chr9:140345403-140345493	K562|chr9:140196702-140196703
1	0.026883008989725142	chr17	1033691.0	K562|chr17:39822175-39822407	K562|chr17:38788599-38788600
1	0.03200221889187595	chr17	1033749.0	K562|chr17:39822175-39822407	K562|chr17:38788541-38788542
1	0.017240788212302426	chr9	232790.5	K562|chr9:140429304-140429683	K562|chr9:140196702-140196703
1	0.2764908060575511	chr17	579636.0	K562|chr17:46102363-46102913	K562|chr17:46682273-46682274
1	0.26165960177432795	chr17	589840.0	K562|chr17:46102363-46102913	K562|chr17:46692477-46692478
1	0.26165960177432795	chr17	589663.0	K562|chr17:46102363-46102913	K562|chr17:46692300-46692301
1	0.26165960177432795	chr17	589428.0	K562|chr17:46102363-46102913	K562|chr17:46692065-46692066
1	0.3368822516966	chr17	588203.0	K562|chr17:46102363-46102913	K562|chr17:46690840-46690841
1	0.12965587057829744	chr17	585741.0	K562|chr17:46102363-46102913	K562|chr17:46688378-46688379
1	0.11452552943993818	chr17	583050.0	K562|chr17:46102363-46102913	K562|chr17:46685687-46685688
1	0.27905596129825616	chr17	579716.0	K562|chr17:46102363-46102913	K562|chr17:46682353-46682354
1	0.2764908060575511	chr17	579696.0	K562|chr17:46102363-46102913	K562|chr17:46682333-46682334
1	0.04168781014572672	chr9	466501.0	K562|chr9:101072948-101073466	K562|chr9:101539707-101539708
1	0.9430588595174076	chr9	129754.0	K562|chr9:101010966-101011502	K562|chr9:100881479-100881480
1	0.9430588595174076	chr9	129816.0	K562|chr9:101010966-101011502	K562|chr9:100881417-100881418
1	0.3683616220060317	chr9	326382.0	K562|chr9:101010966-101011502	K562|chr9:100684851-100684852
1	0.22097593438591165	chr9	326480.0	K562|chr9:101010966-101011502	K562|chr9:100684753-100684754
1	0.014644561314530641	chr9	1408381.0	K562|chr9:132446792-132447012	K562|chr9:131038520-131038521
1	0.015295753227058336	chr9	1408683.0	K562|chr9:132446792-132447012	K562|chr9:131038218-131038219
1	0.01670837805667222	chr9	1408634.0	K562|chr9:132446792-132447012	K562|chr9:131038267-131038268
1	0.020069596932518297	chr9	1408628.0	K562|chr9:132446792-132447012	K562|chr9:131038273-131038274
1	0.036281649404601726	chr17	1033265.5	K562|chr17:39821728-39822003	K562|chr17:38788599-38788600
1	0.04286796753881271	chr17	1033323.5	K562|chr17:39821728-39822003	K562|chr17:38788541-38788542
1	0.014644561314530641	chr9	1408401.0	K562|chr9:132446792-132447012	K562|chr9:131038500-131038501
1	0.014644561314530641	chr9	1408379.0	K562|chr9:132446792-132447012	K562|chr9:131038522-131038523
1	0.013182841400136387	chr17	589133.0	K562|chr17:46102946-46103744	K562|chr17:46692477-46692478
1	0.013182841400136387	chr17	588956.0	K562|chr17:46102946-46103744	K562|chr17:46692300-46692301
1	0.013182841400136387	chr17	588721.0	K562|chr17:46102946-46103744	K562|chr17:46692065-46692066
1	0.013077060577120768	chr17	587496.0	K562|chr17:46102946-46103744	K562|chr17:46690840-46690841
1	0.00495719662051748	chr17	585034.0	K562|chr17:46102946-46103744	K562|chr17:46688378-46688379
1	0.011327015700220827	chr17	582343.0	K562|chr17:46102946-46103744	K562|chr17:46685687-46685688
1	0.01154071923499359	chr17	579009.0	K562|chr17:46102946-46103744	K562|chr17:46682353-46682354
1	0.011395764089202585	chr17	578989.0	K562|chr17:46102946-46103744	K562|chr17:46682333-46682334
1	0.011395764089202585	chr17	578929.0	K562|chr17:46102946-46103744	K562|chr17:46682273-46682274
1	0.009897139731296991	chr9	148274.0	K562|chr9:140344889-140345065	K562|chr9:140196702-140196703
1	0.0036942817328300755	chr9	1410770.0	K562|chr9:132446792-132447012	K562|chr9:131036131-131036132
1	0.007037892173161103	chr9	1409244.0	K562|chr9:132446792-132447012	K562|chr9:131037657-131037658
1	0.012740767144778346	chr17	590173.5	K562|chr17:46102279-46102330	K562|chr17:46692477-46692478
1	0.2697013832023634	chr9	97746.0	K562|chr9:33375817-33376547	K562|chr9:33473927-33473928
1	0.4925529603386891	chr2	3647.5	K562|chr2:191048985-191049672	K562|chr2:191045680-191045681
1	0.517230073983756	chr2	3739.5	K562|chr2:191048985-191049672	K562|chr2:191045588-191045589
1	0.994238478508134	chr17	8259.5	K562|chr17:25929595-25930556	K562|chr17:25938334-25938335
1	0.9958571207307034	chr17	7078.5	K562|chr17:25929595-25930556	K562|chr17:25937153-25937154
1	0.9573608042619318	chr17	146335.5	K562|chr17:25929595-25930556	K562|chr17:25783739-25783740
1	0.5090879944841029	chr9	98684.0	K562|chr9:33374782-33375706	K562|chr9:33473927-33473928
1	0.012825293515925124	chr17	589996.5	K562|chr17:46102279-46102330	K562|chr17:46692300-46692301
1	0.9637369201144635	chr2	121223.5	K562|chr2:65780408-65780661	K562|chr2:65659310-65659311
1	0.9775903116685796	chr17	114411.5	K562|chr17:62225982-62226369	K562|chr17:62340586-62340587
1	0.9898216503585798	chr9	52881.5	K562|chr9:80593302-80593683	K562|chr9:80646373-80646374
1	0.9648485317748366	chr9	52027.5	K562|chr9:80593302-80593683	K562|chr9:80645519-80645520
1	0.9930478374697862	chr9	53191.5	K562|chr9:80593078-80593287	K562|chr9:80646373-80646374
1	0.04409747996091761	chr17	590502.5	K562|chr17:46101763-46102188	K562|chr17:46692477-46692478
1	0.044380685222207186	chr17	590325.5	K562|chr17:46101763-46102188	K562|chr17:46692300-46692301
1	0.04501125663544496	chr17	590090.5	K562|chr17:46101763-46102188	K562|chr17:46692065-46692066
1	0.05559942133622836	chr17	588865.5	K562|chr17:46101763-46102188	K562|chr17:46690840-46690841
1	0.022602438020161986	chr17	586403.5	K562|chr17:46101763-46102188	K562|chr17:46688378-46688379
1	0.06937518143646372	chr17	583712.5	K562|chr17:46101763-46102188	K562|chr17:46685687-46685688
1	0.0398097901177906	chr17	580378.5	K562|chr17:46101763-46102188	K562|chr17:46682353-46682354
1	0.04395873549520216	chr17	580358.5	K562|chr17:46101763-46102188	K562|chr17:46682333-46682334
1	0.04395873549520216	chr17	580298.5	K562|chr17:46101763-46102188	K562|chr17:46682273-46682274
1	0.9797592152855648	chr9	52337.5	K562|chr9:80593078-80593287	K562|chr9:80645519-80645520
1	0.9773831589147923	chr17	114485.5	K562|chr17:62225982-62226369	K562|chr17:62340660-62340661
1	0.013013623943921316	chr17	589761.5	K562|chr17:46102279-46102330	K562|chr17:46692065-46692066
1	0.01918535205608258	chr17	588536.5	K562|chr17:46102279-46102330	K562|chr17:46690840-46690841
1	0.005489336728520046	chr17	586074.5	K562|chr17:46102279-46102330	K562|chr17:46688378-46688379
1	0.035301287934471216	chr17	583383.5	K562|chr17:46102279-46102330	K562|chr17:46685687-46685688
1	0.020131625712706495	chr17	580049.5	K562|chr17:46102279-46102330	K562|chr17:46682353-46682354
1	0.019404024386415177	chr17	580029.5	K562|chr17:46102279-46102330	K562|chr17:46682333-46682334
1	0.019404024386415177	chr17	579969.5	K562|chr17:46102279-46102330	K562|chr17:46682273-46682274
1	0.7219786457717668	chr9	91358.5	K562|chr9:131495430-131496055	K562|chr9:131587100-131587101
1	0.008796701967309943	chr17	1033993.0	K562|chr17:39822453-39822733	K562|chr17:38788599-38788600
1	0.010372890961229564	chr17	1034051.0	K562|chr17:39822453-39822733	K562|chr17:38788541-38788542
1	0.9865798526563803	chr9	85010.5	K562|chr9:131495430-131496055	K562|chr9:131580752-131580753
1	0.9527567331258048	chr2	120763.5	K562|chr2:65780408-65780661	K562|chr2:65659770-65659771
1	0.041566309890563896	chr17	411666.5	K562|chr17:61929760-61930027	K562|chr17:61518226-61518227
