true	pred	chrom	distance	enhancer_name	promoter_name
1	0.9999999992375708	chr17	100747.0	NHEK|chr17:17841633-17842085	NHEK|chr17:17942605-17942606
1	0.9999999986503221	chr17	100664.0	NHEK|chr17:17841633-17842085	NHEK|chr17:17942522-17942523
1	0.9999999985299919	chr17	100623.0	NHEK|chr17:17841633-17842085	NHEK|chr17:17942481-17942482
1	0.9999999961619697	chr2	137847.5	NHEK|chr2:114651929-114652306	NHEK|chr2:114514269-114514270
1	0.9999999961619697	chr2	137717.5	NHEK|chr2:114651929-114652306	NHEK|chr2:114514399-114514400
1	0.9999999952901351	chr2	136236.5	NHEK|chr2:114650379-114650634	NHEK|chr2:114514269-114514270
1	0.9999999952901351	chr2	136106.5	NHEK|chr2:114650379-114650634	NHEK|chr2:114514399-114514400
1	0.9999999994686009	chr17	103416.5	NHEK|chr17:17838900-17839479	NHEK|chr17:17942605-17942606
1	0.9999999990592994	chr17	103333.5	NHEK|chr17:17838900-17839479	NHEK|chr17:17942522-17942523
1	0.9999999989754313	chr17	103292.5	NHEK|chr17:17838900-17839479	NHEK|chr17:17942481-17942482
1	0.9999999989941735	chr17	99088.5	NHEK|chr17:17843394-17843475	NHEK|chr17:17942522-17942523
1	0.9999999988927952	chr17	99047.5	NHEK|chr17:17843394-17843475	NHEK|chr17:17942481-17942482
1	0.9999999995337066	chr17	100378.5	NHEK|chr17:17842088-17842367	NHEK|chr17:17942605-17942606
1	0.9999999991745518	chr17	100295.5	NHEK|chr17:17842088-17842367	NHEK|chr17:17942522-17942523
1	0.9999999991009592	chr17	100254.5	NHEK|chr17:17842088-17842367	NHEK|chr17:17942481-17942482
1	0.9999999970717783	chr13	131977.5	NHEK|chr13:42490672-42491151	NHEK|chr13:42622888-42622889
1	0.9999999952032115	chr2	196129.5	NHEK|chr2:27860703-27862086	NHEK|chr2:27665264-27665265
1	0.9999999952032115	chr2	196146.5	NHEK|chr2:27860703-27862086	NHEK|chr2:27665247-27665248
1	0.9999999993590618	chr2	209887.5	NHEK|chr2:27860703-27862086	NHEK|chr2:27651506-27651507
1	0.9999997444340667	chr2	210737.5	NHEK|chr2:27860703-27862086	NHEK|chr2:27650656-27650657
1	0.9999999875128248	chr9	551960.5	NHEK|chr9:99622049-99622494	NHEK|chr9:100174231-100174232
