true	pred	chrom	distance	enhancer_name	promoter_name
1	0.3373063077949804	chr19	268205.0	K562|chr19:19486134-19486314	K562|chr19:19754428-19754429
1	0.3373063077949804	chr19	268252.0	K562|chr19:19486134-19486314	K562|chr19:19754475-19754476
1	0.27660197587062274	chr19	280169.0	K562|chr19:19486134-19486314	K562|chr19:19766392-19766393
1	0.1048081688084292	chr19	286701.0	K562|chr19:19486134-19486314	K562|chr19:19772924-19772925
1	0.1526807717845897	chr19	287817.0	K562|chr19:19486134-19486314	K562|chr19:19774040-19774041
1	0.17886636064637793	chr19	288278.0	K562|chr19:19486134-19486314	K562|chr19:19774501-19774502
1	0.9043525497682745	chr3	120172.0	K562|chr3:182434602-182434864	K562|chr3:182554904-182554905
1	0.838686428061182	chr3	116728.0	K562|chr3:182434602-182434864	K562|chr3:182551460-182551461
1	0.27542094296787656	chr19	268186.0	K562|chr19:19486134-19486314	K562|chr19:19754409-19754410
1	0.27542094296787656	chr19	268183.0	K562|chr19:19486134-19486314	K562|chr19:19754406-19754407
1	0.9564130585800225	chr3	119815.5	K562|chr3:182434874-182435305	K562|chr3:182554904-182554905
1	0.938764034366408	chr3	116371.5	K562|chr3:182434874-182435305	K562|chr3:182551460-182551461
1	0.5910043434000313	chr3	271394.5	K562|chr3:49481280-49481801	K562|chr3:49210145-49210146
1	0.5007909215786589	chr3	272496.5	K562|chr3:49481280-49481801	K562|chr3:49209043-49209044
1	0.15138629281202767	chr3	277786.5	K562|chr3:49481280-49481801	K562|chr3:49203753-49203754
1	0.9241030997282201	chr19	650093.5	K562|chr19:9901073-9901226	K562|chr19:9251055-9251056
1	0.7823988512115498	chr7	110982.0	K562|chr7:2389635-2390087	K562|chr7:2278878-2278879
1	0.4169304770239654	chr7	107967.0	K562|chr7:2389635-2390087	K562|chr7:2281893-2281894
1	0.4169304770239654	chr7	108004.0	K562|chr7:2389635-2390087	K562|chr7:2281856-2281857
