true	pred	chrom	distance	enhancer_name	promoter_name
1	0.0177	chr1	265264	NHEK|chr1:27444141-27444917	NHEK|chr1:27709792-27709793
1	0.0091	chr15	384534	NHEK|chr15:74689730-74690062	NHEK|chr15:75074429-75074430
1	0.0091	chr15	384502	NHEK|chr15:74689730-74690062	NHEK|chr15:75074397-75074398
1	0.0644	chr1	271028	NHEK|chr1:27438451-27439079	NHEK|chr1:27709792-27709793
1	0.0105	chr15	382510	NHEK|chr15:74691800-74692039	NHEK|chr15:75074429-75074430
1	0.0105	chr15	382478	NHEK|chr15:74691800-74692039	NHEK|chr15:75074397-75074398
1	0.3784	chr1	183864	NHEK|chr1:150596879-150596991	NHEK|chr1:150780798-150780799
1	0.3777	chr1	183744	NHEK|chr1:150597027-150597083	NHEK|chr1:150780798-150780799
1	0.0091	chr15	385861	NHEK|chr15:74688374-74688763	NHEK|chr15:75074429-75074430
1	0.0091	chr15	385829	NHEK|chr15:74688374-74688763	NHEK|chr15:75074397-75074398
1	0.2631	chr1	181947	NHEK|chr1:150598607-150599096	NHEK|chr1:150780798-150780799
1	0.0691	chr10	560923	NHEK|chr10:112625110-112625647	NHEK|chr10:112064454-112064455
1	0.0863	chr10	560669	NHEK|chr10:112625110-112625647	NHEK|chr10:112064708-112064709
1	0.0092	chr15	396849	NHEK|chr15:74677405-74677756	NHEK|chr15:75074429-75074430
1	0.0086	chr15	396817	NHEK|chr15:74677405-74677756	NHEK|chr15:75074397-75074398
1	0.0842	chr10	561313	NHEK|chr10:112625902-112626143	NHEK|chr10:112064708-112064709
1	0.0856	chr10	561567	NHEK|chr10:112625902-112626143	NHEK|chr10:112064454-112064455
1	0.0098	chr15	384937	NHEK|chr15:74689312-74689674	NHEK|chr15:75074429-75074430
1	0.0098	chr15	384905	NHEK|chr15:74689312-74689674	NHEK|chr15:75074397-75074398
1	0.0091	chr15	381312	NHEK|chr15:74693055-74693116	NHEK|chr15:75074397-75074398
1	0.4384	chr1	167284	NHEK|chr1:26945705-26948698	NHEK|chr1:27114485-27114486
1	0.0091	chr15	381248	NHEK|chr15:74693118-74693181	NHEK|chr15:75074397-75074398
1	0.0091	chr15	381280	NHEK|chr15:74693118-74693181	NHEK|chr15:75074429-75074430
1	0.0101	chr15	374677	NHEK|chr15:74699384-74700121	NHEK|chr15:75074429-75074430
1	0.0101	chr15	374645	NHEK|chr15:74699384-74700121	NHEK|chr15:75074397-75074398
1	0.2781	chr1	186630	NHEK|chr1:150594008-150594330	NHEK|chr1:150780798-150780799
1	0.0091	chr15	381344	NHEK|chr15:74693055-74693116	NHEK|chr15:75074429-75074430
1	0.0105	chr15	382002	NHEK|chr15:74692207-74692584	NHEK|chr15:75074397-75074398
1	0.478	chr10	137619	NHEK|chr10:54077138-54077688	NHEK|chr10:54215031-54215032
1	0.5263	chr10	136822	NHEK|chr10:54077894-54078525	NHEK|chr10:54215031-54215032
1	0.5455	chr10	136020	NHEK|chr10:54078626-54079398	NHEK|chr10:54215031-54215032
1	0.3327	chr1	185555	NHEK|chr1:150595122-150595366	NHEK|chr1:150780798-150780799
1	0.7035	chr10	120499	NHEK|chr10:54094364-54094701	NHEK|chr10:54215031-54215032
1	0.3784	chr1	184155	NHEK|chr1:150596449-150596838	NHEK|chr1:150780798-150780799
1	0.1065	chr1	277602	NHEK|chr1:27432049-27432332	NHEK|chr1:27709792-27709793
1	0.0105	chr15	382034	NHEK|chr15:74692207-74692584	NHEK|chr15:75074429-75074430
1	0.0091	chr15	381391	NHEK|chr15:74692963-74693051	NHEK|chr15:75074397-75074398
1	0.0091	chr15	381423	NHEK|chr15:74692963-74693051	NHEK|chr15:75074429-75074430
1	0.0077	chr15	399526	NHEK|chr15:74674722-74675086	NHEK|chr15:75074429-75074430
1	0.0077	chr15	399494	NHEK|chr15:74674722-74675086	NHEK|chr15:75074397-75074398
1	0.098	chr1	394926	NHEK|chr1:151809264-151809948	NHEK|chr1:151414679-151414680
1	0.008	chr15	398087	NHEK|chr15:74676151-74676534	NHEK|chr15:75074429-75074430
1	0.008	chr15	398055	NHEK|chr15:74676151-74676534	NHEK|chr15:75074397-75074398
1	0.1213	chr1	394387	NHEK|chr1:151808874-151809260	NHEK|chr1:151414679-151414680
1	0.0086	chr15	397142	NHEK|chr15:74677192-74677384	NHEK|chr15:75074429-75074430
1	0.0086	chr15	397110	NHEK|chr15:74677192-74677384	NHEK|chr15:75074397-75074398
1	0.0086	chr15	397628	NHEK|chr15:74676640-74676963	NHEK|chr15:75074429-75074430
1	0.0086	chr15	397596	NHEK|chr15:74676640-74676963	NHEK|chr15:75074397-75074398
1	0.2684	chr1	188270	NHEK|chr1:150592287-150592770	NHEK|chr1:150780798-150780799
1	0.8262	chr15	210852	NHEK|chr15:80860664-80860999	NHEK|chr15:81071683-81071684
1	0.1818	chr15	342491	NHEK|chr15:80729015-80729370	NHEK|chr15:81071683-81071684
1	0.3795	chr1	250242	NHEK|chr1:85796074-85796329	NHEK|chr1:86046443-86046444
1	0.927	chr1	109351	NHEK|chr1:78579847-78579932	NHEK|chr1:78470537-78470538
1	0.3565	chr1	260067	NHEK|chr1:85786097-85786657	NHEK|chr1:86046443-86046444
1	0.4905	chr1	314541	NHEK|chr1:85410381-85411247	NHEK|chr1:85725354-85725355
1	0.4905	chr1	314511	NHEK|chr1:85410381-85411247	NHEK|chr1:85725324-85725325
1	0.4905	chr1	314502	NHEK|chr1:85410381-85411247	NHEK|chr1:85725315-85725316
1	0.2875	chr1	266002	NHEK|chr1:85238062-85238439	NHEK|chr1:84972247-84972248
1	0.208	chr1	266660	NHEK|chr1:85779451-85780117	NHEK|chr1:86046443-86046444
1	0.2785	chr1	260658	NHEK|chr1:85785662-85785909	NHEK|chr1:86046443-86046444
1	0.2628	chr1	262329	NHEK|chr1:85783763-85784466	NHEK|chr1:86046443-86046444
1	0.2941	chr1	251566	NHEK|chr1:85794651-85795104	NHEK|chr1:86046443-86046444
1	0.3283	chr1	259023	NHEK|chr1:85787281-85787560	NHEK|chr1:86046443-86046444
1	0.8226	chr15	129572	NHEK|chr15:51169011-51169589	NHEK|chr15:51039727-51039728
1	0.2979	chr15	231624	NHEK|chr15:50968864-50969627	NHEK|chr15:51200869-51200870
1	0.1787	chr1	196702	NHEK|chr1:150583734-150584459	NHEK|chr1:150780798-150780799
1	0.2682	chr1	194656	NHEK|chr1:150585770-150586516	NHEK|chr1:150780798-150780799
1	0.761	chr21	139966	NHEK|chr21:46847540-46848018	NHEK|chr21:46707812-46707813
1	0.761	chr21	139802	NHEK|chr21:46847540-46848018	NHEK|chr21:46707976-46707977
1	0.4967	chr1	472605	NHEK|chr1:89930883-89931245	NHEK|chr1:89458458-89458459
1	0.4967	chr1	472609	NHEK|chr1:89930883-89931245	NHEK|chr1:89458454-89458455
1	0.88	chr1	108485	NHEK|chr1:78578797-78579250	NHEK|chr1:78470537-78470538
1	0.2674	chr1	203563	NHEK|chr1:150576860-150577612	NHEK|chr1:150780798-150780799
1	0.2303	chr15	287434	NHEK|chr15:49160281-49160548	NHEK|chr15:49447848-49447849
1	0.2303	chr15	287443	NHEK|chr15:49160281-49160548	NHEK|chr15:49447857-49447858
1	0.2303	chr15	287541	NHEK|chr15:49160281-49160548	NHEK|chr15:49447955-49447956
1	0.2303	chr15	287583	NHEK|chr15:49160281-49160548	NHEK|chr15:49447997-49447998
1	0.2274	chr15	286875	NHEK|chr15:49160699-49161249	NHEK|chr15:49447848-49447849
1	0.2274	chr15	286884	NHEK|chr15:49160699-49161249	NHEK|chr15:49447857-49447858
1	0.2274	chr15	286982	NHEK|chr15:49160699-49161249	NHEK|chr15:49447955-49447956
1	0.2274	chr15	287024	NHEK|chr15:49160699-49161249	NHEK|chr15:49447997-49447998
1	0.9457	chr1	16660	NHEK|chr1:90081851-90082090	NHEK|chr1:90098630-90098631
1	0.9238	chr1	15584	NHEK|chr1:90082818-90083275	NHEK|chr1:90098630-90098631
1	0.8499	chr1	105213	NHEK|chr1:149933961-149934350	NHEK|chr1:150039368-150039369
1	0.6828	chr10	352317	NHEK|chr10:90695141-90695434	NHEK|chr10:90342969-90342970
1	0.8571	chr10	104463	NHEK|chr10:70556356-70556785	NHEK|chr10:70661033-70661034
1	0.2035	chr10	554526	NHEK|chr10:3269095-3270338	NHEK|chr10:3824242-3824243
1	0.281	chr10	552971	NHEK|chr10:3269095-3270338	NHEK|chr10:3822687-3822688
1	0.6253	chr15	166931	NHEK|chr15:101252455-101252845	NHEK|chr15:101419580-101419581
1	0.6117	chr15	167430	NHEK|chr15:101252455-101252845	NHEK|chr15:101420079-101420080
