true	pred	chrom	distance	enhancer_name	promoter_name
1	0.9788	chr3	107316	NHEK|chr3:43220474-43220953	NHEK|chr3:43328029-43328030
1	0.5997	chr7	264703	NHEK|chr7:115899834-115900438	NHEK|chr7:116164838-116164839
1	0.6344	chr7	184864	NHEK|chr7:98738530-98738807	NHEK|chr7:98923532-98923533
1	0.9788	chr3	107318	NHEK|chr3:43220474-43220953	NHEK|chr3:43328031-43328032
1	0.6109	chr7	264919	NHEK|chr7:115899834-115900438	NHEK|chr7:116165054-116165055
1	0.6109	chr7	264927	NHEK|chr7:115899834-115900438	NHEK|chr7:116165062-116165063
1	0.6104	chr7	265658	NHEK|chr7:115899834-115900438	NHEK|chr7:116165793-116165794
1	0.5243	chr7	188377	NHEK|chr7:98734809-98735503	NHEK|chr7:98923532-98923533
1	0.9722	chr3	105131	NHEK|chr3:43222489-43223313	NHEK|chr3:43328031-43328032
1	0.9722	chr3	105129	NHEK|chr3:43222489-43223313	NHEK|chr3:43328029-43328030
1	0.5934	chr7	254004	NHEK|chr7:115911852-115912834	NHEK|chr7:116166346-116166347
1	0.5934	chr7	253988	NHEK|chr7:115911852-115912834	NHEK|chr7:116166330-116166331
1	0.5934	chr7	253693	NHEK|chr7:115911852-115912834	NHEK|chr7:116166035-116166036
1	0.6045	chr7	253451	NHEK|chr7:115911852-115912834	NHEK|chr7:116165793-116165794
1	0.6608	chr7	252720	NHEK|chr7:115911852-115912834	NHEK|chr7:116165062-116165063
1	0.6608	chr7	252712	NHEK|chr7:115911852-115912834	NHEK|chr7:116165054-116165055
1	0.6676	chr7	252496	NHEK|chr7:115911852-115912834	NHEK|chr7:116164838-116164839
1	0.8989	chr7	230292	NHEK|chr7:54856280-54856724	NHEK|chr7:55086793-55086794
1	0.972	chr3	106357	NHEK|chr3:43221473-43221876	NHEK|chr3:43328031-43328032
1	0.972	chr3	106355	NHEK|chr3:43221473-43221876	NHEK|chr3:43328029-43328030
1	0.4911	chr7	220362	NHEK|chr7:54866331-54866532	NHEK|chr7:55086793-55086794
1	0.6734	chr7	266211	NHEK|chr7:115899834-115900438	NHEK|chr7:116166346-116166347
1	0.6734	chr7	266195	NHEK|chr7:115899834-115900438	NHEK|chr7:116166330-116166331
1	0.7079	chr7	216053	NHEK|chr7:54870467-54871015	NHEK|chr7:55086793-55086794
1	0.6734	chr7	265900	NHEK|chr7:115899834-115900438	NHEK|chr7:116166035-116166036
1	0.8628	chr19	159382	NHEK|chr19:17345671-17345939	NHEK|chr19:17186422-17186423
1	0.9316	chr3	156259	NHEK|chr3:99751172-99751438	NHEK|chr3:99595045-99595046
1	0.4995	chr19	144731	NHEK|chr19:17330979-17331330	NHEK|chr19:17186422-17186423
1	0.2478	chr7	620797	NHEK|chr7:42897170-42897648	NHEK|chr7:42276611-42276612
1	0.9787	chr3	107667	NHEK|chr3:43220264-43220465	NHEK|chr3:43328031-43328032
1	0.9787	chr3	107665	NHEK|chr3:43220264-43220465	NHEK|chr3:43328029-43328030
1	0.8345	chr19	160240	NHEK|chr19:17346267-17347059	NHEK|chr19:17186422-17186423
1	0.2515	chr7	621768	NHEK|chr7:42898173-42898588	NHEK|chr7:42276611-42276612
1	0.9491	chr19	85266	NHEK|chr19:18597087-18597721	NHEK|chr19:18682669-18682670
1	0.9441	chr19	86761	NHEK|chr19:18597087-18597721	NHEK|chr19:18684164-18684165
1	0.9441	chr19	86691	NHEK|chr19:18597087-18597721	NHEK|chr19:18684094-18684095
1	0.9441	chr19	86671	NHEK|chr19:18597087-18597721	NHEK|chr19:18684074-18684075
1	0.9444	chr19	86146	NHEK|chr19:18597087-18597721	NHEK|chr19:18683549-18683550
1	0.9491	chr19	85285	NHEK|chr19:18597087-18597721	NHEK|chr19:18682688-18682689
1	0.9491	chr19	85281	NHEK|chr19:18597087-18597721	NHEK|chr19:18682684-18682685
1	0.9491	chr19	85261	NHEK|chr19:18597087-18597721	NHEK|chr19:18682664-18682665
1	0.9491	chr19	85208	NHEK|chr19:18597087-18597721	NHEK|chr19:18682611-18682612
1	0.9263	chr19	103008	NHEK|chr19:18597087-18597721	NHEK|chr19:18700411-18700412
1	0.9292	chr19	102208	NHEK|chr19:18597087-18597721	NHEK|chr19:18699611-18699612
1	0.9292	chr19	102202	NHEK|chr19:18597087-18597721	NHEK|chr19:18699605-18699606
1	0.9016	chr19	102131	NHEK|chr19:18597087-18597721	NHEK|chr19:18699534-18699535
1	0.3192	chr7	198107	NHEK|chr7:98725283-98725569	NHEK|chr7:98923532-98923533
1	0.9521	chr3	76375	NHEK|chr3:98696308-98696783	NHEK|chr3:98620169-98620170
1	0.9521	chr3	76530	NHEK|chr3:98696308-98696783	NHEK|chr3:98620014-98620015
1	0.0374	chr3	391863	NHEK|chr3:98704309-98704552	NHEK|chr3:98312566-98312567
1	0.8384	chr4	145508	NHEK|chr4:123697999-123698506	NHEK|chr4:123843760-123843761
1	0.894	chr4	156751	NHEK|chr4:123686826-123687193	NHEK|chr4:123843760-123843761
1	0.0524	chr3	392562	NHEK|chr3:98704962-98705296	NHEK|chr3:98312566-98312567
1	0.3147	chr7	198767	NHEK|chr7:98724405-98725126	NHEK|chr7:98923532-98923533
1	0.4591	chr7	197646	NHEK|chr7:98725705-98726069	NHEK|chr7:98923532-98923533
1	0.5083	chr7	191730	NHEK|chr7:98731214-98732392	NHEK|chr7:98923532-98923533
1	0.9399	chr4	109214	NHEK|chr4:120024372-120024992	NHEK|chr4:120133895-120133896
1	0.9399	chr4	109109	NHEK|chr4:120024372-120024992	NHEK|chr4:120133790-120133791
1	0.9519	chr4	109907	NHEK|chr4:120023821-120024157	NHEK|chr4:120133895-120133896
1	0.9519	chr4	109802	NHEK|chr4:120023821-120024157	NHEK|chr4:120133790-120133791
1	0.9233	chr19	94246	NHEK|chr19:18589699-18590139	NHEK|chr19:18684164-18684165
1	0.9233	chr19	94176	NHEK|chr19:18589699-18590139	NHEK|chr19:18684094-18684095
1	0.9231	chr19	94156	NHEK|chr19:18589699-18590139	NHEK|chr19:18684074-18684075
1	0.9253	chr19	93631	NHEK|chr19:18589699-18590139	NHEK|chr19:18683549-18683550
1	0.9186	chr19	92770	NHEK|chr19:18589699-18590139	NHEK|chr19:18682688-18682689
1	0.9186	chr19	92766	NHEK|chr19:18589699-18590139	NHEK|chr19:18682684-18682685
1	0.9186	chr19	92751	NHEK|chr19:18589699-18590139	NHEK|chr19:18682669-18682670
1	0.9186	chr19	92746	NHEK|chr19:18589699-18590139	NHEK|chr19:18682664-18682665
1	0.9186	chr19	92693	NHEK|chr19:18589699-18590139	NHEK|chr19:18682611-18682612
1	0.8701	chr19	110493	NHEK|chr19:18589699-18590139	NHEK|chr19:18700411-18700412
1	0.9117	chr19	109693	NHEK|chr19:18589699-18590139	NHEK|chr19:18699611-18699612
1	0.9117	chr19	109687	NHEK|chr19:18589699-18590139	NHEK|chr19:18699605-18699606
1	0.9117	chr19	109616	NHEK|chr19:18589699-18590139	NHEK|chr19:18699534-18699535
1	0.935	chr3	157144	NHEK|chr3:99752027-99752354	NHEK|chr3:99595045-99595046
1	0.8768	chr4	219717	NHEK|chr4:40996758-40996905	NHEK|chr4:41216548-41216549
