true	pred	chrom	distance	enhancer_name	promoter_name
1	0.1177	chr11	234608	NHEK|chr11:113419739-113420136	NHEK|chr11:113185328-113185329
1	0.176	chr11	238955	NHEK|chr11:113423847-113424382	NHEK|chr11:113185158-113185159
1	0.176	chr11	238863	NHEK|chr11:113423847-113424382	NHEK|chr11:113185250-113185251
1	0.176	chr11	238785	NHEK|chr11:113423847-113424382	NHEK|chr11:113185328-113185329
1	0.1202	chr11	235268	NHEK|chr11:113420317-113420538	NHEK|chr11:113185158-113185159
1	0.1202	chr11	235176	NHEK|chr11:113420317-113420538	NHEK|chr11:113185250-113185251
1	0.1202	chr11	235098	NHEK|chr11:113420317-113420538	NHEK|chr11:113185328-113185329
1	0.1177	chr11	234778	NHEK|chr11:113419739-113420136	NHEK|chr11:113185158-113185159
1	0.3733	chr8	96470	NHEK|chr8:17454137-17454617	NHEK|chr8:17550846-17550847
1	0.8199	chr6	139395	NHEK|chr6:116740274-116740649	NHEK|chr6:116601065-116601066
1	0.8199	chr6	139178	NHEK|chr6:116740274-116740649	NHEK|chr6:116601282-116601283
1	0.1177	chr11	234686	NHEK|chr11:113419739-113420136	NHEK|chr11:113185250-113185251
1	0.8346	chr6	146705	NHEK|chr6:116747780-116748197	NHEK|chr6:116601282-116601283
1	0.7281	chr6	267471	NHEK|chr6:112308550-112308923	NHEK|chr6:112041264-112041265
1	0.6426	chr6	265286	NHEK|chr6:112306249-112306853	NHEK|chr6:112041264-112041265
1	0.4949	chr6	258664	NHEK|chr6:42014036-42014092	NHEK|chr6:41755399-41755400
1	0.4949	chr6	258661	NHEK|chr6:42014036-42014092	NHEK|chr6:41755402-41755403
1	0.7514	chr6	258958	NHEK|chr6:112300046-112300400	NHEK|chr6:112041264-112041265
1	0.1599	chr11	234026	NHEK|chr11:113419055-113419316	NHEK|chr11:113185158-113185159
1	0.1599	chr11	233934	NHEK|chr11:113419055-113419316	NHEK|chr11:113185250-113185251
1	0.1599	chr11	233856	NHEK|chr11:113419055-113419316	NHEK|chr11:113185328-113185329
1	0.1538	chr11	232727	NHEK|chr11:113417496-113418277	NHEK|chr11:113185158-113185159
1	0.1538	chr11	232635	NHEK|chr11:113417496-113418277	NHEK|chr11:113185250-113185251
1	0.1538	chr11	232557	NHEK|chr11:113417496-113418277	NHEK|chr11:113185328-113185329
1	0.1494	chr11	215378	NHEK|chr11:113400406-113400669	NHEK|chr11:113185158-113185159
1	0.1494	chr11	215286	NHEK|chr11:113400406-113400669	NHEK|chr11:113185250-113185251
1	0.1494	chr11	215208	NHEK|chr11:113400406-113400669	NHEK|chr11:113185328-113185329
1	0.1323	chr11	214744	NHEK|chr11:113399752-113400055	NHEK|chr11:113185158-113185159
1	0.1323	chr11	214652	NHEK|chr11:113399752-113400055	NHEK|chr11:113185250-113185251
1	0.1323	chr11	214574	NHEK|chr11:113399752-113400055	NHEK|chr11:113185328-113185329
1	0.8346	chr6	146922	NHEK|chr6:116747780-116748197	NHEK|chr6:116601065-116601066
1	0.0329	chr6	292229	NHEK|chr6:44030577-44030919	NHEK|chr6:43738518-43738519
1	0.0329	chr6	291928	NHEK|chr6:44030577-44030919	NHEK|chr6:43738819-43738820
1	0.0329	chr6	291764	NHEK|chr6:44030577-44030919	NHEK|chr6:43738983-43738984
1	0.0423	chr6	291019	NHEK|chr6:44030577-44030919	NHEK|chr6:43739728-43739729
1	0.0298	chr6	292798	NHEK|chr6:44030577-44030919	NHEK|chr6:43737949-43737950
1	0.9335	chr8	314455	NHEK|chr8:126130590-126132075	NHEK|chr8:126445787-126445788
1	0.8604	chr8	311230	NHEK|chr8:126130590-126132075	NHEK|chr8:126442562-126442563
1	0.0388	chr6	294392	NHEK|chr6:44032118-44032567	NHEK|chr6:43737949-43737950
1	0.0401	chr6	293823	NHEK|chr6:44032118-44032567	NHEK|chr6:43738518-43738519
1	0.0469	chr6	293522	NHEK|chr6:44032118-44032567	NHEK|chr6:43738819-43738820
1	0.0469	chr6	293358	NHEK|chr6:44032118-44032567	NHEK|chr6:43738983-43738984
1	0.0579	chr6	292613	NHEK|chr6:44032118-44032567	NHEK|chr6:43739728-43739729
1	0.6248	chr11	109979	NHEK|chr11:122635936-122636788	NHEK|chr11:122526382-122526383
1	0.1321	chr6	201656	NHEK|chr6:26336508-26337446	NHEK|chr6:26538632-26538633
1	0.5862	chr11	109203	NHEK|chr11:122635369-122635804	NHEK|chr11:122526382-122526383
1	0.2415	chr11	103545	NHEK|chr11:122629775-122630081	NHEK|chr11:122526382-122526383
1	0.1141	chr6	629594	NHEK|chr6:27146068-27146542	NHEK|chr6:27775898-27775899
1	0.8416	chr5	94134	NHEK|chr5:53700261-53700831	NHEK|chr5:53606411-53606412
1	0.8416	chr5	94140	NHEK|chr5:53700261-53700831	NHEK|chr5:53606405-53606406
1	0.8358	chr5	105693	NHEK|chr5:53711558-53712653	NHEK|chr5:53606411-53606412
1	0.8358	chr5	105699	NHEK|chr5:53711558-53712653	NHEK|chr5:53606405-53606406
1	0.5282	chr8	5188	NHEK|chr8:27188035-27188333	NHEK|chr8:27182995-27182996
1	0.3008	chr6	304072	NHEK|chr6:116878986-116879680	NHEK|chr6:116575260-116575261
1	0.5848	chr6	278050	NHEK|chr6:116878986-116879680	NHEK|chr6:116601282-116601283
1	0.0338	chr6	288848	NHEK|chr6:44026131-44027465	NHEK|chr6:43737949-43737950
1	0.04	chr6	288279	NHEK|chr6:44026131-44027465	NHEK|chr6:43738518-43738519
1	0.04	chr6	287978	NHEK|chr6:44026131-44027465	NHEK|chr6:43738819-43738820
1	0.04	chr6	287814	NHEK|chr6:44026131-44027465	NHEK|chr6:43738983-43738984
1	0.0425	chr6	287069	NHEK|chr6:44026131-44027465	NHEK|chr6:43739728-43739729
1	0.317	chr6	302156	NHEK|chr6:116876995-116877840	NHEK|chr6:116575260-116575261
1	0.6356	chr6	276134	NHEK|chr6:116876995-116877840	NHEK|chr6:116601282-116601283
1	0.0752	chr6	650420	NHEK|chr6:27125017-27125940	NHEK|chr6:27775898-27775899
1	0.027	chr6	291777	NHEK|chr6:44029585-44029870	NHEK|chr6:43737949-43737950
1	0.0282	chr6	291208	NHEK|chr6:44029585-44029870	NHEK|chr6:43738518-43738519
1	0.0282	chr6	290907	NHEK|chr6:44029585-44029870	NHEK|chr6:43738819-43738820
1	0.0282	chr6	290743	NHEK|chr6:44029585-44029870	NHEK|chr6:43738983-43738984
1	0.0754	chr6	289998	NHEK|chr6:44029585-44029870	NHEK|chr6:43739728-43739729
1	0.1046	chr6	631099	NHEK|chr6:27144573-27145027	NHEK|chr6:27775898-27775899
1	0.7214	chr11	444298	NHEK|chr11:121526216-121527497	NHEK|chr11:121971154-121971155
1	0.137	chr6	630349	NHEK|chr6:27145032-27146067	NHEK|chr6:27775898-27775899
1	0.6877	chr11	445411	NHEK|chr11:121525570-121525918	NHEK|chr11:121971154-121971155
1	0.4876	chr6	258240	NHEK|chr6:42013298-42013983	NHEK|chr6:41755399-41755400
1	0.4876	chr6	258237	NHEK|chr6:42013298-42013983	NHEK|chr6:41755402-41755403
1	0.5482	chr6	413363	NHEK|chr6:56768944-56769174	NHEK|chr6:57182421-57182422
1	0.5542	chr6	412887	NHEK|chr6:56769380-56769690	NHEK|chr6:57182421-57182422
1	0.2752	chr11	280478	NHEK|chr11:111428040-111429060	NHEK|chr11:111709027-111709028
1	0.8796	chr5	479863	NHEK|chr5:111016341-111017111	NHEK|chr5:111496588-111496589
1	0.6366	chr5	390720	NHEK|chr5:73546277-73546780	NHEK|chr5:73937248-73937249
1	0.6327	chr5	390024	NHEK|chr5:73546277-73546780	NHEK|chr5:73936552-73936553
1	0.4036	chr11	283656	NHEK|chr11:111425056-111425688	NHEK|chr11:111709027-111709028
1	0.6835	chr5	399503	NHEK|chr5:73537545-73537946	NHEK|chr5:73937248-73937249
1	0.6624	chr5	398807	NHEK|chr5:73537545-73537946	NHEK|chr5:73936552-73936553
1	0.8796	chr5	479905	NHEK|chr5:111016341-111017111	NHEK|chr5:111496630-111496631
1	0.5945	chr5	400486	NHEK|chr5:73536451-73537075	NHEK|chr5:73937248-73937249
1	0.7071	chr5	399790	NHEK|chr5:73536451-73537075	NHEK|chr5:73936552-73936553
1	0.8128	chr5	479500	NHEK|chr5:111016341-111017111	NHEK|chr5:111496225-111496226
1	0.0663	chr8	222732	NHEK|chr8:28466405-28467026	NHEK|chr8:28243982-28243983
1	0.8128	chr5	479497	NHEK|chr5:111016341-111017111	NHEK|chr5:111496222-111496223
1	0.6654	chr5	408903	NHEK|chr5:73528102-73528590	NHEK|chr5:73937248-73937249
1	0.5759	chr5	408207	NHEK|chr5:73528102-73528590	NHEK|chr5:73936552-73936553
1	0.5879	chr5	409555	NHEK|chr5:73527532-73527856	NHEK|chr5:73937248-73937249
1	0.4604	chr11	282938	NHEK|chr11:111425816-111426364	NHEK|chr11:111709027-111709028
1	0.8808	chr5	246188	NHEK|chr5:73690507-73691614	NHEK|chr5:73937248-73937249
